Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Observaciones
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rhodanthidium;NA;siculum ;Alhama;NA;Granada;España;00-06-1942;NA;NA;800m;NA;J.Dusmet;C Ornosa;NA;NA;1;NA;NA
Rhodanthidium;NA;siculum ;Puerto Santa María;NA;NA;España;NA;NA;NA;NA;NA;Dusmet;C Ornosa;NA;NA;1;NA;NA
Rhodanthidium;NA;siculum ;Jerez;NA;NA;España;NA;NA;NA;NA;NA;Pons;C Ornosa;NA;1;NA;NA;NA
Rhodanthidium;NA;siculum ;Cartagena;NA;NA;España;NA;NA;NA;NA;NA;Sánchez Gómez;C Ornosa;NA;1;NA;NA;NA
Rhodanthidium;NA;siculum ;Jerez;NA;NA;España;NA;NA;NA;NA;NA;Pons ?;C Ornosa;NA;1;NA;NA;NA
Rhodanthidium;NA;septemdentatum;Porto Pi;Mallorca;NA;España;10-06-1951;NA;NA;NA;NA;A.Compte;A.Compte;1958;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Esporlas;Mallorca;NA;España;05-06-1958;NA;NA;NA;NA;A.Compte;A.Compte;1958;1;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Rocafort;NA;Valencia;España;01-08-1960;NA;NA;NA;NA;S.V.Peris;E.Mingo;1963;NA;1;Peris;NA
Rhodanthidium;NA;septemdentatum;Coll d´en Rebassa;Mallorca;NA;España;31-05-1956;NA;NA;NA;NA;A.Compte;A.Compte;1958;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Mallorca;NA;NA;España;00-00-1895;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Son Suñer;Mallorca;Baleares;España;00-05-1890;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Son Suñer;Mallorca;Baleares;España;00-05-1890;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Mallorca;NA;NA;España;00-00-1895;NA;NA;NA;NA;NA;C. Ornosa;NA;NA;NA;A.Compte;NA
Rhodanthidium;NA;septemdentatum;Ruinas de Herculiano;NA;NA;Italia;07-09-1965;NA;NA;NA;NA;J.Alvarez;C.P-Iñigo;NA;1;NA;NA;NA
Rhodanthidium;NA;septemdentatum;Artana;NA;Castellón;España;14-03-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;1;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Artana;NA;Castellón;España;20-05-1947;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;24-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;1;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;27-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Artana;NA;Castellón;España;07-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Artana;NA;Castellón;España;20-05-1947;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Agres;NA;Alicante;España;01-08-1951;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Desierto Las Palmas;NA;Castellón;España;10-06-1951;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Artana;NA;Castellón;España;20-05-1947;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;27-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;27-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;23-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;septemdentatum;Peñagolosa;NA;Castellón;España;23-07-1946;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Cañada;NA;Valencia;España;NA;NA;NA;NA;NA;Giner Mari;E.Mingo;1961;1;NA;NA;NA
Rhodanthidium;NA;sticticum;S.J. de la Peña ;NA;Huesca;España;09-04-1977;NA;NA;NA;NA;C.Gavete;C.Ornosa;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;Cabo de Gata (zona de dunas);NA;Almería;España;14-04-1976;NA;NA;NA;NA;C.Ornosa;C Ornosa;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;Rostrogordo;NA;NA;España;00-00-1959;NA;NA;NA;NA;NA;NA;NA;NA;1;A.Compte;NA
Rhodanthidium;NA;sticticum;Rocafort;NA;Valencia;España;NA;04-02-1960;14-02-1960;NA;NA;M.A.Barón;E.Mingo;1965;NA;1;Peris;NA
Rhodanthidium;NA;sticticum;Benidorm;NA;Alicante;España;20-03-1965;NA;NA;NA;NA;NA;E.Mingo;1965;NA;1;Peris;NA
Rhodanthidium;NA;sticticum;Bétera;NA;Valencia;España;00-04-1940;NA;NA;NA;NA;Peris Torres;E.Mingo;1961;NA;1;Peris;NA
Rhodanthidium;NA;sticticum;Bétera;NA;Valencia;España;14-04-1941;NA;NA;NA;NA;Peris Torres;E.Mingo;1961;NA;1;Peris;NA
Rhodanthidium;NA;sticticum;Cuenca;NA;NA;España;26-06-1972;NA;NA;NA;NA;F.J.Haering;NA;NA;NA;NA;Alumnos;NA
Rhodanthidium;NA;sticticum;Villafán;NA;Castellón;España;01-05-1971;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;Carvajal;NA;Málaga;España;13-04-1974;NA;NA;NA;NA;M.J.Sanz;C.P-Iñigo;NA;NA;1;Alumnos;NA
Rhodanthidium;NA;sticticum;El Escorial;NA;Madrid;España;00-05-1977;NA;NA;NA;NA;A.Serrano;C Ornosa;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;20-05-1947;NA;NA;NA;NA;C.Marin;C Ornosa;NA;1;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;27-04-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;1;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;27-04-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;06-03-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;07-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;07-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;1;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;07-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Valencia;NA;NA;España;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;06-03-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;12-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;07-05-1945;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
