Longitude;Latitude;Visitor;Plant;Date;Day;Month;Year;Site;Data;MinEle;MaxEle;EleZone;clim
-0.04113;42.74037;Bombus terrestris complex;Carduus carlinoides;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1900;1900;1800-2000;10.5
-0.038612;42.74206;Bombus sichelii;Carduus defloratus;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1800;1800;1800-2000;10.9
-0.036181;42.70804;Bombus sichelii;Carduus carlinoides;15/8/1889;15;8;1889;weg naar de Breche de Roland (Gavarnie);MacLeod;2000;2000;2000-2200;9.9
-0.03585;42.74282;Bombus hortorum;Scutellaria alpina;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.03585;42.74282;Bombus lapidarius;Carduus carlinoides;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.03585;42.74282;Bombus terrestris complex;Carduus defloratus;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1700;1700;1600-1800;11.4
-0.034636;42.74376;Bombus humilis;Cirsium acaule;18/8/1889;18;8;1889;Port de Gavarnie;MacLeod;1600;1600;1600-1800;11.8
-0.02741;42.71274;Bombus terrestris complex;Carduus defloratus;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.02741;42.71274;Bombus mesomelas;Carduus carlinoides;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.02741;42.71274;Bombus hortorum;Cirsium glabrum;18/8/1889;18;8;1889;tussen Boucharol en den Port de Gavarnie, op de zuidelijke helling der pyreneeen;MacLeod;1800;1800;1800-2000;11
-0.016726;42.73138;Bombus wurflenii;Anthyllis vulneraria;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Trifolium pratense;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Anthyllis vulneraria;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus mesomelas;Carduus defloratus;17/8/1889;17;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus mesomelas;Carduus defloratus;23/8/1889;23;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Carduus defloratus;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;17/8/1889;17;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Aconitum sp.;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Aconitum sp.;16/8/1889;16;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Brunella vulgaris;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Brunella vulgaris;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Teucrium pyrenaicum;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Carduus carlinoides;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Geranium cinereum;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus sichelii;Lotus corniculatus;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus hortorum;Teucrium pyrenaicum;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Rhinanthus minor;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Sideritis hyssopifolia;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Phyteuma orbiculare;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus wurflenii;Lotus corniculatus;14/8/1889;14;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Sideritis hyssopifolia;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Knautia arvensis;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
-0.016726;42.73138;Bombus terrestris complex;Scabiosa columbaria;13/8/1889;13;8;1889;Gavarnie;MacLeod;1700;1700;1600-1800;11.6
