"Species_name","Number_of_records"
"Bombus terrestris",348
"Bombus pascuorum",302
"Xylocopa violacea",226
"Rhodanthidium septemdentatum",172
"Anthidium florentinum",105
"Rhodanthidium sticticum",92
"Osmia cornuta",69
"Halictus scabiosae",68
"Colletes nigricans",61
"Ceratina cucurbitina",57
