"Species_name","Number_of_records"
"Bombus terrestris",86
"Xylocopa violacea",64
"Anthidium florentinum",63
"Halictus scabiosae",42
"Andrena orbitalis",31
"Bombus pascuorum",22
"Rhodanthidium sticticum",21
"Amegilla quadrifasciata",14
"Andrena senecionis",13
"Andrena longibarbis",8
