"Species_name","Number_of_records"
"Flavipanurgus venustus",1255
"Bombus terrestris",1041
"Xylocopa cantabrita",759
"Dasypoda crassicornis",473
"Xylocopa violacea",460
"Dasypoda cingulata",437
"Andrena hispania",379
"Andrena flavipes",378
"Panurgus calcaratus",346
"Ceratina cucurbitina",318
