"Species_name","Number_of_records"
"Andrena trimmerana",48
"Andrena flavipes",33
"Osmia caerulescens",32
"Andrena cineraria",24
"Andrena fabrella",24
"Anthidium florentinum",20
"Bombus terrestris",20
"Xylocopa violacea",18
"Andrena ovatula",16
"Andrena similis",16
