"Species_name","Number_of_records"
"Bombus terrestris",60
"Bombus pascuorum",45
"Xylocopa violacea",24
"Halictus scabiosae",18
"Bombus lapidarius",10
"Andrena flavipes",8
"Osmia cornuta",7
"Bombus hortorum",6
"Colletes hederae",4
"Andrena bicolor",3
