"Species_name","Number_of_records"
"Osmia caerulescens",31
"Osmia niveata",21
"Osmia brevicornis",20
"Bombus pascuorum",16
"Anthidium florentinum",15
"Hylaeus pictipes",15
"Xylocopa violacea",13
"Bombus terrestris",10
"Hylaeus confusus",7
"Megachile rotundata",7
