"Species_name","Number_of_records"
"Lasioglossum leucopus",718
"Bombus terrestris",602
"Xylocopa violacea",142
"Andrena ovatula",74
"Halictus confusus",74
"Andrena flavipes",67
"Anthidium florentinum",63
"Lasioglossum subfasciatum",63
"Bombus lucorum",57
"Anthidium oblongatum",54
