"Species_name","Number_of_records"
"Bombus soroeensis",57
"Amegilla velocissima",41
"Xylocopa violacea",37
"Bombus lucorum",36
"Bombus pascuorum",36
"Andrena anthrisci",32
"Bombus lapidarius",31
"Bombus humilis",29
"Bombus terrestris",29
"Halictus scabiosae",19
