"Species_name","Number_of_records"
"Megachile willughbiella",553
"Melitta leporina",204
"Anthidium florentinum",178
"Bombus terrestris",142
"Andrena flavipes",108
"Xylocopa violacea",91
"Bombus pascuorum",58
"Megachile ericetorum",53
"Andrena saxonica",48
"Andrena funerea",37
