"Species_name","Number_of_records"
"Andrena flavipes",58
"Bombus terrestris",39
"Xylocopa violacea",33
"Andrena dorsata",23
"Anthidium florentinum",19
"Andrena pilipes",15
"Andrena intermedia",14
"Andrena propinqua",14
"Andrena albopunctata",13
"Megachile ericetorum",13
