"Species_name","Number_of_records"
"Bombus pascuorum",82
"Bombus terrestris",82
"Andrena dorsata",73
"Bombus hortorum",29
"Andrena lagopus",16
"Bombus pratorum",14
"Bombus sylvarum",14
"Bombus campestris",12
"Andrena minutula",9
"Halictus scabiosae",7
