"Species_name","Number_of_records"
"Bombus pascuorum",150
"Bombus terrestris",44
"Bombus lapidarius",28
"Xylocopa violacea",21
"Bombus ruderatus",4
"Bombus sylvarum",4
"Halictus scabiosae",4
"Anthophora plumipes",3
"Bombus hortorum",3
"Bombus lucorum",3
