"Species_name","Number_of_records"
"Bombus terrestris",18
"Xylocopa violacea",12
"Anthophora pubescens",10
"Andrena cyanomicans",9
"Rhodanthidium sticticum",9
"Andrena agilissima",8
"Anthidium florentinum",8
"Andrena flavipes",6
"Andrena lagopus",6
"Andrena nitidula",6
