"Species_name","Number_of_records"
"Lasioglossum malachurum",395
"Andrena ranunculi",307
"Lasioglossum pauxillum",285
"Bombus terrestris",281
"Andrena humilis",238
"Bombus pascuorum",171
"Lasioglossum calceatum",112
"Lasioglossum fulvicorne",105
"Andrena dorsata",101
"Andrena minutula",100
