"Species_name","Number_of_records"
"Bombus pascuorum",112
"Bombus terrestris",104
"Halictus scabiosae",53
"Xylocopa violacea",34
"Anthidium florentinum",10
"Xylocopa cantabrita",10
"Bombus pratorum",8
"Andrena fuscipes",6
"Anthidium oblongatum",6
"Bombus hortorum",5
