Country,Provincia_as_is,Provincia_final,centroid_lat,centroid_long
Spain,Albacete,Albacete,38.99588053,-1.85574745
Spain,Alicante,Alacant,38.34548705,-0.4831832
Spain,Alacant,Alacant,38.34548705,-0.4831832
Spain,Almería,Almería,36.83892362,-2.46413188
Spain,Araba,Araba,42.85058789,-2.67275685
Spain,Álava,Araba,42.85058789,-2.67275685
Spain,Asturias,Asturias,43.36232165,-5.84372206
Spain,Ávila,Ávila,40.65586958,-4.69771277
Spain,Badajoz,Badajoz,38.87874339,-6.97099704
Spain,Illes Balears,Illes Balears,39.57114699,2.65181698
Spain,Barcelona,Barcelona,41.38424664,2.17634927
Spain,Bizkaia,Bizkaia,43.25721957,-2.92390606
Spain,Burgos,Burgos,42.34113004,-3.70419805
Spain,Cáceres,Cáceres,39.47316762,-6.37121092
Spain,Cádiz,Cádiz,36.52171152,-6.28414575
Spain,Cantabria,Cantabria,43.46297885,-3.80474784
Spain,Castellón,Castelló,39.98640809,-0.03688142
Spain,Castelló,Castelló,39.98640809,-0.03688142
Spain,Ciudad Real,Ciudad Real,38.98651781,-3.93131981
Spain,Córdoba,Córdoba,37.87954225,-4.78032455
Spain,A Coruña,A Coruña,43.37012643,-8.39114853
Spain,Cuenca,Cuenca,40.07653762,-2.13152306
Spain,Gipuzkoa,Gipuzkoa,43.31717158,-1.98191785
Spain,Girona,Girona,41.98186075,2.82411899
Spain,Granada,Granada,37.17641932,-3.60001883
Spain,Guadalajara,Guadalajara,40.63435548,-3.16210273
Spain,Huelva,Huelva,37.26004113,-6.95040588
Spain,Huesca,Huesca,42.14062739,-0.40842276
Spain,Jaén,Jaén,37.7651913,-3.7903594
Spain,León,León,42.59912097,-5.56707631
Spain,Lleida,Lleida,41.61527355,0.62061934
Spain,Lugo,Lugo,43.0091282,-7.55817392
Spain,Madrid,Madrid,40.40841191,-3.68760088
Spain,Málaga,Málaga,36.72034267,-4.41997511
Spain,Murcia,Murcia,37.98436361,-1.1285408
Spain,Navarra,Navarra,42.814102,-1.6451528
Spain,Ourense,Ourense,42.33654919,-7.86368375
Spain,Palencia,Palencia,42.0078373,-4.53460106
Spain,Las Palmas,Las Palmas,28.099378545,-15.413368411
Spain,Pontevedra,Pontevedra,42.43381442,-8.64799018
Spain,La Rioja,La Rioja,42.46644945,-2.44565538
Spain,Salamanca,Salamanca,40.96736822,-5.66538084
Spain,Santa Cruz de Tenerife,Santa Cruz de Tenerife,28.462854082,-16.247206286
Spain,Segovia,Segovia,40.9498703,-4.12524116
Spain,Sevilla,Sevilla,37.38620512,-5.99251368
Spain,Soria,Soria,41.76327912,-2.46624798
Spain,Tarragona,Tarragona,41.11910287,1.2584219
Spain,Teruel,Teruel,40.34412951,-1.10927177
Spain,Toledo,Toledo,39.85715187,-4.02431421
Spain,València,València,39.47534441,-0.37565717
Spain,Valencia,València,39.47534441,-0.37565717
Spain,Valladolid,Valladolid,41.65232777,-4.72334924
Spain,Zamora,Zamora,41.49913956,-5.75494831
Spain,Zaragoza,Zaragoza,41.65645655,-0.87928652
Spain,Ceuta,Ceuta,35.88810209,-5.30675127
Spain,Melilla,Melilla,35.294731,-2.942281
Portugal,Lisboa,Lisboa,38.7452,-9.1604
Portugal,Leiría,Leiría,39.7444,-8.8072
Portugal,Santarém,Santarém,39.2369,-8.6850
Portugal,Setúbal,Setúbal,38.5243,-8.8926
Portugal,Beja,Beja,38.0333,-7.8833
Portugal,Faro,Faro,37.0161,-7.9350
Portugal,Évora,Évora,38.5667,-7.9000
Portugal,Portalegre,Portalegre,39.3167,-7.4167
Portugal,Castelo Branco,Castelo Branco,39.8230,-7.4931
Portugal,Guarda,Guarda,40.5364,-7.2683
Portugal,Coímbra,Coímbra,40.1508,-8.8618
Portugal,Aveiro,Aveiro,40.6389,-8.6553
Portugal,Viseu,Viseu,40.6667,-7.9167
Portugal,Braganza,Braganza,41.8000,-6.7500
Portugal,Vila Real,Vila Real,41.3002,-7.7398
Portugal,Oporto,Oporto,41.1495,-8.6108
Portugal,Braga,Braga,41.5333,-8.4167
Portugal,Viana do Castelo,Viana do Castelo,41.7000,-8.8333
