"Anthidium","Anthid","florentinum",NA,"Spain","Ávila","San Lorenzo de Tormes",NA,NA,NA,1988,"08","18",NA,NA,"F. Sanza","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_1"
"Anthidium","Proanthid","oblongatum",NA,"Spain","Ávila","Poyales del Hoyo",NA,NA,NA,1988,"08","20",NA,NA,"J. J. Pedrero","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_2"
"Anthidium","Anthid","manicatum",NA,"Spain","Ávila","Piedrahita",NA,NA,NA,1987,"08","12",NA,NA,"S. F. Gayubo","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_3"
"Anthidium","Anthid","cingulatum",NA,"Spain","Salamanca","Salto Aldeadávila",NA,NA,NA,1997,"08","02",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_4"
"Anthidium","Anthid","cingulatum",NA,"Spain","Zaragoza","Pina de Ebro",NA,NA,NA,1991,"08","07",NA,NA,"J. Blasco","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_5"
"Anthidium","Anthid","cingulatum",NA,"Spain","Palencia","Dueñas",NA,NA,NA,1985,"07","11",NA,NA,"A. Rueda","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_6"
"Anthidium",NA,"taeniatum",NA,"Spain","Ávila","La Aldehuela",NA,NA,NA,1987,"08","19",NA,NA,"S. F. Gayubo","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_7"
"Anthidium",NA,"taeniatum",NA,"Spain","Ávila","Navalsanz",NA,NA,NA,1987,"08","20",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_8"
"Anthidium",NA,"taeniatum",NA,"Spain","Palencia","Villamuera de la C.",NA,NA,NA,1987,"07","20",NA,NA,"A. Rueda","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_9"
"Anthidium",NA,"lituratum",NA,"Spain","Palencia","Tariego",NA,NA,NA,1985,"09","16",NA,NA,"A. Rueda","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_10"
"Anthidium",NA,"trematum",NA,"Spain","Salamanca","Salto Aldeadávila",NA,NA,NA,1997,"08","02",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_11"
"Anthidium",NA,"punctatum",NA,"Spain","Zaragoza","Pina de Ebro",NA,NA,NA,1991,"06","20",NA,NA,"J. Blasco","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_12"
"Anthidium",NA,"punctatum",NA,"Spain","Salamanca","Villarino",NA,NA,NA,1995,"07","21",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_13"
"Icteranthidium",NA,"grohmanni",NA,"Spain","Salamanca","Salamanca",NA,NA,NA,1986,"07","07",NA,NA,"F. Torres","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_14"
"Icteranthidium",NA,"grohmanni",NA,"Spain","Ávila","Mombeltrán",NA,NA,NA,1987,"07","24",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_15"
"Rhodanthidium",NA,"septempunctatum",NA,"Spain","Salamanca","Salto Aldeadávila",NA,NA,NA,1998,"06","20",NA,NA,"S. F. Gayubo","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_16"
"Paranthidiellum",NA,"lituratum",NA,"Spain","Salamanca","La Fregeneda",NA,NA,NA,1998,"08","30",NA,NA,"S. F. Gayubo","F. Torres",1,NA,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_17"
"Anthidiellum","Anthidiell","strigatum",NA,"Spain","Salamanca","Salto Saucelle",NA,NA,NA,1997,"08","31",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,NA,NA,NA,NA,"Felix Torres",NA,NA,"41_Torres_18"
