"Bombus",NA,"pascuorum",NA,"Spain","Cantabria","Suances",43.4416666666666,-4.04722222222222,"<5km",2007,NA,NA,"01-04-2007","31-05-2007","V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_1"
"Bombus",NA,"terrestris",NA,"Spain","Cantabria","Suances",43.4416666666666,-4.04722222222222,"<5km",2007,NA,NA,"01-04-2007","31-05-2007","V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_5"
"Bombus",NA,"pascuorum",NA,"Spain","Palencia","Ventanilla",42.8777777777777,-4.53305555555555,"<5km",2008,"06",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_9"
"Bombus",NA,"terrestris",NA,"Spain","Palencia","Ventanilla",42.8777777777777,-4.53305555555555,"<5km",2008,"06",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_13"
"Apis ",NA,"mellifera",NA,"Spain","Jaén","S. Magina",37.7016666666666,-3.46472222222222,"<5km",2007,"05",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora nitida",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_17"
"Eucera",NA,"longicornis",NA,"Spain","Jaén","S. Magina",37.7016666666666,-3.46472222222222,"<5km",2007,"05",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora nitida",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_21"
"Eucera",NA,"longicornis",NA,"Spain","Cádiz","La Alcaidesa",36.2547222222222,-5.36611111111111,"<5km",2006,"04",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora prostrata",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_25"
"Apis",NA,"mellifera",NA,"Spain","Cádiz","El Picacho",36.5219444444444,-5.65138888888888,"<5km",2006,"04",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora prostrata",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_29"
"Eucera",NA,"longicornis",NA,"Spain","Cádiz","El Picacho",36.5219444444444,-5.65138888888888,"<5km",2006,"04",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora prostrata",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_33"
"Bombus",NA,"pascuorum",NA,"Spain","La Coruña","Corrubedo",42.5766666666666,-9.08916666666666,"<5km",2008,NA,NA,"01-05-2008","30-05-2008","V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora prostrata",NA,"Victoria Ferrero",NA,NA,"53_Ferrero_37"
