fileName,name,contentUrl,encodingFormat
iberian_bees.csv.gz,clean data,https://github.com/ibartomeus/IberianBees/blob/master/Data/iberian_bees.csv.gz,csv.gz
removed.csv,removed data,https://github.com/ibartomeus/IberianBees/blob/master/Data/Processing_iberian_bees_raw/removed.csv,csv
