coord X;coord Y;LABEL;HABITAT/FIELD PLOTc_ODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;;;;;;;;
;;;Eo1e_Bd3_15;;2010-06-07;;0;;;;;;;;;;;;;
219988,483832;4460984,62576;Eo_01f;Eo1f_Bd1_16;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1f_Bd2_17;G. González Bornay;2010-05-26;Apis mellifera;5;;;;;;;;;;;;;
;;;Eo1f_Bd2_17;F. Javier Ortiz Sánchez;2010-05-26;Lasioglossum (Evy.) malachurum;1;;;;;;;;;;;;;
;;;Eo1f_Bd3_18;;2010-06-07;;0;;;;;;;;;;;;;
219564,353512;4459873,07655;Eo_01g;Eo1g_Bd1_19;G. González Bornay;2010-04-29;Apis mellifera;7;;;;;;;;;;;;;
;;;Eo1g_Bd2_20;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp. ;3;;;;;;;;;;;;;
;;;Eo1g_Bd2_20;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1g_Bd3_21;;2010-06-07;;0;;;;;;;;;;;;;
219582,633666;4459784,72248;Eo_01h;Eo1h_Bd1_22;G. González Bornay;2010-04-29;Apis mellifera;4;;;;;;;;;;;;;
;;;Eo1h_Bd2_23;F. Javier Ortiz Sánchez;2010-05-26;Anthophora plumipes;1;;;;;;;;;;;;;
;;;Eo1h_Bd2_23;F. Javier Ortiz Sánchez;2010-05-26;Anthophora salviae;1;;;;;;;;;;;;;
;;;Eo1h_Bd2_23;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1h_Bd3_24;;2010-06-07;;0;;;;;;;;;;;;;
220701,15236;4460848,42574;Eo_01j;Eo1j_Bd1_25;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1j_Bd2_26;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp. ;1;;;;;;;;;;;;;
;;;Eo1j_Bd2_26;F. Javier Ortiz Sánchez;2010-05-26;Colletes sp.;1;;;;;;;;;;;;;
;;;Eo1j_Bd2_26;F. Javier Ortiz Sánchez;2010-05-26;Panurgus calcaratus;2;;;;;;;;;;;;;
;;;Eo1j_Bd2_26;F. Javier Ortiz Sánchez;2010-05-26;Panurgus cephalotes;1;;;;;;;;;;;;;
;;;Eo1j_Bd3_27;;2010-06-07;;0;;;;;;;;;;;;;
220078,282584;4460913,10001;Eo_01la;Eo1la_Bd1_28;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1la_Bd2_29;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo1la_Bd2_29;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1la_Bd3_30;F. Javier Ortiz Sánchez;2010-06-07;Andrena pilipes;1;;;;;;;;;;;;;
;;;Eo1la_Bd3_30;F. Javier Ortiz Sánchez;2010-06-07;Anthidium punctatum;1;;;;;;;;;;;;;
;;;Eo1la_Bd3_30;G. González Bornay;2010-06-07;Apis mellifera;1;;;;;;;;;;;;;
219603,960512;4459735,9754;Eo_01lb;Eo1lb_Bd1_31;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1lb_Bd2_32;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;2;;;;;;;;;;;;;
;;;Eo1lb_Bd3_33;;2010-06-07;;0;;;;;;;;;;;;;
220961,042352;4461430,21646;Eo_02a;Eo2a_Bd1_34;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;3;;;;;;;;;;;;;
;;;Eo2a_Bd1_34;F. Javier Ortiz Sánchez;2010-04-29;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo2a_Bd2_35;;2010-05-26;;0;;;;;;;;;;;;;
;;;Eo2a_Bd3_36;F. Javier Ortiz Sánchez;2010-06-07;Andrena (Micr.) sp.;1;;;;;;;;;;;;;
;;;Eo2a_Bd3_36;F. Javier Ortiz Sánchez;2010-06-07;Lasioglossum (Lasiog.) sp.;1;;;;;;;;;;;;;
220918,881962;4461427,26523;Eo_02b;Eo2b_Bd1_37;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo2b_Bd2_38;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris terrestris;2;;;;;;;;;;;;;
;;;Eo2b_Bd3_39;F. Javier Ortiz Sánchez;2010-06-07;Nomada discrepans;1;;;;;;;;;;;;;
220922,254793;4461535,61743;Eo_02c;Eo2c_Bd1_40;G. González Bornay;2010-04-29;Apis mellifera;6;;;;;;;;;;;;;
;;;Eo2c_Bd2_41;G. González Bornay;2010-05-26;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo2c_Bd2_41;F. Javier Ortiz Sánchez;2010-05-26;Eucera barbiventris;1;;;;;;;;;;;;;
;;;Eo2c_Bd3_42;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;1;;;;;;;;;;;;;
;;;Eo2c_Bd3_42;G. González Bornay;2010-06-07;Apis mellifera;1;;;;;;;;;;;;;
220985,495377;4461372,03512;Eo_02d;Eo2d_Bd1_43;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;2;;;;;;;;;;;;;
;;;Eo2d_Bd2_44;F. Javier Ortiz Sánchez;2010-05-26;Synhalonia alternans;1;;;;;;;;;;;;;
;;;Eo2d_Bd3_45;;2010-06-07;;0;;;;;;;;;;;;;
215013,769318;4455446,23247;Eo_03a;Eo3a_Bd1_46;;2010-04-28;;0;;;;;;;;;;;;;
;;;Eo3a_Bd2_47;G. González Bornay;2010-05-26;Apis mellifera;5;;;;;;;;;;;;;
;;;Eo3a_Bd2_47;F. Javier Ortiz Sánchez;2010-05-26;Nomada sanguinea;1;;;;;;;;;;;;;
;;;Eo3a_Bd3_48;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum (Lasiog.) sp.;1;;;;;;;;;;;;;
;;;Eo3a_Bd3_48;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;1;;;;;;;;;;;;;
;;;Eo3a_Bd3_48;F. Javier Ortiz Sánchez;2010-06-08;Panurgus perezi;1;;;;;;;;;;;;;
215004,336983;4455347,19295;Eo_03c;Eo3c_Bd1_49;;2010-04-28;;0;;;;;;;;;;;;;
;;;Eo3c_Bd2_50;;2010-05-26;;0;;;;;;;;;;;;;
;;;Eo3c_Bd3_51;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo3c_Bd3_51;G. González Bornay;2010-06-08;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo3c_Bd3_51;F. Javier Ortiz Sánchez;2010-06-08;Eucera codinai;1;;;;;;;;;;;;;
215540,615844;4454867,46208;Eo_03d;Eo3d_Bd1_52;F. Javier Ortiz Sánchez;2010-04-28;Andrena sp.;2;;;;;;;;;;;;;
;;;Eo3d_Bd2_53;;2010-05-26;;0;;;;;;;;;;;;;
;;;Eo3d_Bd3_54;;2010-06-08;;0;;;;;;;;;;;;;
215477,948711;4454785,69639;Eo_03e;Eo3e_Bd1_55;F. Javier Ortiz Sánchez;2010-04-28;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo3e_Bd1_55;F. Javier Ortiz Sánchez;2010-04-28;Anthophora plumipes;1;;;;;;;;;;;;;
;;;Eo3e_Bd1_55;F. Javier Ortiz Sánchez;2010-04-28;Lasioglossum (Lasiog.) leucozonium;1;;;;;;;;;;;;;
;;;Eo3e_Bd2_56;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo3e_Bd2_56;F. Javier Ortiz Sánchez;2010-05-26;Lasioglossum costulatum;1;;;;;;;;;;;;;
;;;Eo3e_Bd3_57;F. Javier Ortiz Sánchez;2010-06-08;Halictus (Hal.) crenicornis;1;;;;;;;;;;;;;
;;;Eo3e_Bd3_57;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum (Evy.) malachurum;1;;;;;;;;;;;;;
;;;Eo3e_Bd3_57;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum costulatum;1;;;;;;;;;;;;;
;;;Eo3e_Bd3_57;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;3;;;;;;;;;;;;;
215553,209755;4454830,28799;Eo_03f;Eo3f_Bd1_58;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo3f_Bd1_58;F. Javier Ortiz Sánchez;2010-05-26;Anthophora plumipes;1;;;;;;;;;;;;;
;;;Eo3f_Bd1_58;G. González Bornay;2010-05-26;Apis mellifera;7;;;;;;;;;;;;;
;;;Eo3f_Bd1_58;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo3f_Bd1_58;F. Javier Ortiz Sánchez;2010-04-28;Ceratina cucurbitina;1;;;;;;;;;;;;;
;;;Eo3f_Bd2_59;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3f_Bd3_60;G. González Bornay;2010-06-08;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3f_Bd3_60;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum (Evy.) malachurum;2;;;;;;;;;;;;;
;;;Eo3f_Bd3_60;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;3;;;;;;;;;;;;;
;;;Eo3f_Bd3_60;F. Javier Ortiz Sánchez;2010-06-08;Panurgus perezi;1;;;;;;;;;;;;;
215643,270576;4454774,95345;Eo_03g;Eo3g_Bd1_61;G. González Bornay;2010-04-28;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3g_Bd2_62;G. González Bornay;2010-05-26;Apis mellifera;2;;;;;;;;;;;;;
;;;Eo3g_Bd2_62;F. Javier Ortiz Sánchez;2010-05-26;Osmia fulviventris;1;;;;;;;;;;;;;
;;;Eo3g_Bd3_63;G. González Bornay;2010-06-14;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3g_Bd3_63;F. Javier Ortiz Sánchez;2010-06-14;Eucera codinai;7;;;;;;;;;;;;;
;;;Eo3g_Bd3_63;F. Javier Ortiz Sánchez;2010-06-14;Eucera eucnemidea;1;;;;;;;;;;;;;
216611,179368;4453514,11311;Eo_03h;Eo3h_Bd1_64;G. González Bornay;2010-04-28;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3h_Bd2_65;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3h_Bd2_65;F. Javier Ortiz Sánchez;2010-05-26;Synhalonia alternans;1;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Halictus (Hal.) fulvipes;1;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum (Evy.) sp.;1;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;6;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Panurgus cephalotes;1;;;;;;;;;;;;;
;;;Eo3h_Bd3_66;F. Javier Ortiz Sánchez;2010-06-08;Panurgus perezi;1;;;;;;;;;;;;;
214925,636658;4454998,26972;Eo_03lc;Eo3lc_Bd1_67;;2010-04-28;;0;;;;;;;;;;;;;
;;;Eo3lc_Bd2_68;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo3lc_Bd3_69;;2010-06-08;;0;;;;;;;;;;;;;
;;;Eo3ld_Bd1_70;F. Javier Ortiz Sánchez;2010-04-28;Eucera codinai;1;;;;;;;;;;;;;
216660,07235;4453514,05704;Eo_03ld;Eo3ld_Bd2_71;;2010-05-26;;0;;;;;;;;;;;;;
;;;Eo3ld_Bd3_72;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo3ld_Bd3_72;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum costulatum;1;;;;;;;;;;;;;
;;;Eo3ld_Bd3_72;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;4;;;;;;;;;;;;;
;;;Eo3ld_Bd3_72;F. Javier Ortiz Sánchez;2010-06-08;Panurgus cephalotes ;1;;;;;;;;;;;;;
232677,910247;4465418,59201;Eo_04a;Eo4a_Bd1_73;;2010-04-27;;0;;;;;;;;;;;;;
;;;Eo4a_Bd2_74;;2010-05-24;;0;;;;;;;;;;;;;
;;;Eo4a_Bd3_75;F. Javier Ortiz Sánchez;2010-06-04;Colletes sp.;1;;;;;;;;;;;;;
;;;Eo4a_Bd3_75;F. Javier Ortiz Sánchez;2010-06-04;Lasioglossum (Lasiog.) sp. ;1;;;;;;;;;;;;;
;;;Eo4a_Bd3_75;F. Javier Ortiz Sánchez;2010-06-04;Panurgus canescens;1;;;;;;;;;;;;;
228921,835616;4468219,57427;Eo_04b;Eo4b_Bd1_76;;2010-04-27;;0;;;;;;;;;;;;;
;;;Eo4b_Bd2_77;F. Javier Ortiz Sánchez;2010-05-24;Andrena (Micr.) sp.;1;;;;;;;;;;;;;
;;;Eo4b_Bd2_77;F. Javier Ortiz Sánchez;2010-05-24;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo4b_Bd2_77;F. Javier Ortiz Sánchez;2010-05-24;Hylaeus (Prosopis) pictus;1;;;;;;;;;;;;;
;;;Eo4b_Bd3_78;;2010-06-04;;0;;;;;;;;;;;;;
228893,290582;4468262,83849;Eo_04c;Eo4c_Bd1_79;F. Javier Ortiz Sánchez;2010-04-27;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo4c_Bd1_79;F. Javier Ortiz Sánchez;2010-04-27;Halictus (Hal.) crenicornis;1;;;;;;;;;;;;;
;;;Eo4c_Bd2_80;G. González Bornay;2010-06-04;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo4c_Bd3_81;;2010-06-04;;0;;;;;;;;;;;;;
228215,474326;4467907,27295;Eo_04d;Eo4d_Bd1_82;;2010-04-27;;0;;;;;;;;;;;;;
;;;Eo4d_Bd2_83;F. Javier Ortiz Sánchez;2010-04-27;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo4d_Bd2_83;F. Javier Ortiz Sánchez;2010-04-27;Anthophora plumipes;1;;;;;;;;;;;;;
;;;Eo4d_Bd2_83;G. González Bornay;2010-05-24;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo4d_Bd2_83;F. Javier Ortiz Sánchez;2010-05-24;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo4d_Bd2_83;F. Javier Ortiz Sánchez;2010-04-27;Lasioglossum (Lasiog.) leucozonium;1;;;;;;;;;;;;;
;;;Eo4d_Bd3_84;F. Javier Ortiz Sánchez;2010-06-04;Bombus (Megabombus) sp.;3;;;;;;;;;;;;;
;;;Eo4d_Bd3_84;F. Javier Ortiz Sánchez;2010-06-04;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo4d_Bd3_84;F. Javier Ortiz Sánchez;2010-06-04;Lasioglossum (Lasiog.) leucozonium;1;;;;;;;;;;;;;
232970,237705;4464751,5603;Eo_04lb;Eo4lb_Bd1_85;G. González Bornay;2010-04-27;Apis mellifera;27;;;;;;;;;;;;;
;;;Eo4lb_Bd2_86;G. González Bornay;2010-06-04;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo4lb_Bd2_86;F. Javier Ortiz Sánchez;2010-05-24;Bombus (Megabombus) sp.;1;;;;;;;;;;;;;
;;;Eo4lb_Bd2_86;F. Javier Ortiz Sánchez;2010-05-24;Panurgus cephalotes;1;;;;;;;;;;;;;
;;;Eo4lb_Bd3_87;;2010-06-04;;0;;;;;;;;;;;;;
233000,911766;4464776,31273;Eo_04lc;Eo4lc_Bd1_88;F. Javier Ortiz Sánchez;2010-04-27;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo4lc_Bd1_88;F. Javier Ortiz Sánchez;2010-04-27;Lasioglossum (Evy.) malachurum;1;;;;;;;;;;;;;
;;;Eo4lc_Bd2_89;G. González Bornay;2010-05-24;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo4lc_Bd2_89;F. Javier Ortiz Sánchez;2010-06-04;Panurgus canescens;1;;;;;;;;;;;;;
;;;Eo4lc_Bd3_90;;2010-06-04;;0;;;;;;;;;;;;;
233918,279327;4468241,10576;Eo_05a;Eo5a_Bd1_91;G. González Bornay;2010-04-27;Apis mellifera;6;;;;;;;;;;;;;
;;;Eo5a_Bd2_92;F. Javier Ortiz Sánchez;2010-05-24;Melecta festiva;1;;;;;;;;;;;;;
;;;Eo5a_Bd3_93;F. Javier Ortiz Sánchez;2010-06-04;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo5a_Bd3_93;F. Javier Ortiz Sánchez;2010-06-04;Halictus (Hal.) crenicornis;1;;;;;;;;;;;;;
;;;Eo5a_Bd3_93;F. Javier Ortiz Sánchez;2010-06-04;Hoplosmia ligurica;1;;;;;;;;;;;;;
;;;Eo5a_Bd3_93;F. Javier Ortiz Sánchez;2010-06-04;Lasioglossum (Evy.) sp.;1;;;;;;;;;;;;;
;;;Eo5a_Bd3_93;F. Javier Ortiz Sánchez;2010-06-04;Panurgus canescens;1;;;;;;;;;;;;;
233949,766125;4468241,10576;Eo_05b;Eo5b_Bd1_94;F. Javier Ortiz Sánchez;2010-04-27;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo5b_Bd2_95;F. Javier Ortiz Sánchez;2010-05-24;Andrena sp.;2;;;;;;;;;;;;;
;;;Eo5b_Bd3_96;G. González Bornay;2010-06-04;Apis mellifera;4;;;;;;;;;;;;;
;;;Eo5b_Bd3_96;F. Javier Ortiz Sánchez;2010-06-04;Bombus terrestris lusitanicus;3;;;;;;;;;;;;;
233198,783011;4464569,99602;Eo_05c;Eo5c_Bd1_97;G. González Bornay;2010-04-27;Apis mellifera;7;;;;;;;;;;;;;
;;;Eo5c_Bd1_97;F. Javier Ortiz Sánchez;2010-04-27;Osmia leaiana;1;;;;;;;;;;;;;
;;;Eo5c_Bd2_98;G. González Bornay;2010-05-24;Apis mellifera;5;;;;;;;;;;;;;
;;;Eo5c_Bd3_99;;2010-06-04;;0;;;;;;;;;;;;;
233351,545847;4466312,59641;Eo_06a;Eo6a_Bd1_100;F. Javier Ortiz Sánchez;2010-04-27;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo6a_Bd1_100;F. Javier Ortiz Sánchez;2010-04-27;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
;;;Eo6a_Bd2_101;;2010-05-24;;0;;;;;;;;;;;;;
;;;Eo6a_Bd3_102;;2010-06-04;;0;;;;;;;;;;;;;
228830,272291;4468637,47491;Eo_06b;Eo6b_Bd1_103;;2010-04-27;;0;;;;;;;;;;;;;
;;;Eo6b_Bd2_104;F. Javier Ortiz Sánchez;2010-04-27;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo6b_Bd2_104;G. González Bornay;2010-05-24;Apis mellifera;7;;;;;;;;;;;;;
;;;Eo6b_Bd2_104;F. Javier Ortiz Sánchez;2010-05-24;Eucera clypeata;1;;;;;;;;;;;;;
;;;Eo6b_Bd3_105;;2010-06-04;;;;;;;;;;;;;;;
230938,23707;4468662,41365;Eo_06d;Eo6d_Bd1_106;F. Javier Ortiz Sánchez;2010-04-27;Apis mellifera;4;;;;;;;;;;;;;
;;;Eo6d_Bd2_107;G. González Bornay;2010-05-24;Apis mellifera;2;;;;;;;;;;;;;
;;;Eo6d_Bd2_107;F. Javier Ortiz Sánchez;2010-05-24;Bombus terrestris terrestris;1;;;;;;;;;;;;;
;;;Eo6d_Bd2_107;F. Javier Ortiz Sánchez;2010-05-24;Lasioglossum (Lasiog.) albocinctum;1;;;;;;;;;;;;;
;;;Eo6d_Bd3_108;;2010-06-04;;0;;;;;;;;;;;;;
232981,921341;4464989,14164;Eo_06e;Eo6e_Bd1_109;G. González Bornay;2010-04-27;Apis mellifera;17;;;;;;;;;;;;;
;;;Eo6e_Bd2_110;G. González Bornay;2010-05-24;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo6e_Bd2_110;F. Javier Ortiz Sánchez;2010-05-24;Bombus (Megabombus) sp.;2;;;;;;;;;;;;;
;;;Eo6e_Bd3_111;F. Javier Ortiz Sánchez;2010-06-04;Bombus terrestris lusitanicus;5;;;;;;;;;;;;;
228746,212459;4468544,92419;Eo_06la;Eo6la_Bd1_112;F. Javier Ortiz Sánchez;2010-04-27;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo6la_Bd2_113;F. Javier Ortiz Sánchez;2010-05-24;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo6la_Bd2_113;F. Javier Ortiz Sánchez;2010-05-24;Eucera nigrifacies;1;;;;;;;;;;;;;
;;;Eo6la_Bd3_114;G. González Bornay;2010-06-04;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo6la_Bd3_114;F. Javier Ortiz Sánchez;2010-06-04;Bombus (Megabombus) sp.;1;;;;;;;;;;;;;
;;;Eo6la_Bd3_114;G. González Bornay;2010-06-04;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo6la_Bd3_114;F. Javier Ortiz Sánchez;2010-06-04;Bombus terrestris lusitanicus;1;;;;;;;;;;;;;
228497,169836;4460951,16823;Eo_07a;Eo7a_Bd1_115;F. Javier Ortiz Sánchez;26/04/2010;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo7a_Bd1_115;F. Javier Ortiz Sánchez;26/04/2010;Eucera nigrilabris;1;;;;;;;;;;;;;
;;;Eo7a_Bd2_116;G. González Bornay;2010-05-27;Apis mellifera;8;;;;;;;;;;;;;
;;;Eo7a_Bd2_116;F. Javier Ortiz Sánchez;2010-05-27;Osmia fulviventris;1;;;;;;;;;;;;;
;;;Eo7a_Bd3_117;G. González Bornay;2010-06-04;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo7a_Bd3_117;F. Javier Ortiz Sánchez;2010-06-04;Lasioglossum (Evy.) sp.;1;;;;;;;;;;;;;
;;;Eo7a_Bd3_117;F. Javier Ortiz Sánchez;2010-06-04;Lasioglossum (Lasiog.) sp.;1;;;;;;;;;;;;;
;;;Eo7a_Bd3_117;F. Javier Ortiz Sánchez;2010-06-04;Panurgus calcaratus;1;;;;;;;;;;;;;
;;;Eo7a_Bd3_117;F. Javier Ortiz Sánchez;2010-06-04;Panurgus cephalotes;1;;;;;;;;;;;;;
228163,901522;4462519,80354;Eo_07b;Eo7b_Bd1_118;;26/04/2010;;0;;;;;;;;;;;;;
;;;Eo7b_Bd2_119;G. González Bornay;2010-05-27;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo7b_Bd3_120;;2010-06-04;;0;;;;;;;;;;;;;
235371,980165;4450691,51994;Eo_08a;Eo8a_Bd1_121;G. González Bornay;2010-04-30;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo8a_Bd2_122;F. Javier Ortiz Sánchez;2010-05-27;Andrena sp.;4;;;;;;;;;;;;;
;;;Eo8a_Bd2_122;G. González Bornay;2010-05-27;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo8a_Bd2_122;F. Javier Ortiz Sánchez;2010-05-27;Lasioglossum malachurum;1;;;;;;;;;;;;;
;;;Eo8a_Bd3_123;F. Javier Ortiz Sánchez;2010-06-08;Andrena (Micr.) sp.;1;;;;;;;;;;;;;
;;;Eo8a_Bd3_123;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo8a_Bd3_123;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum malachurum;1;;;;;;;;;;;;;
235323,457279;4450664,89153;Eo_08b;Eo8b_Bd1_124;G. González Bornay;2010-04-30;Apis mellifera;2;;;;;;;;;;;;;
;;;Eo8b_Bd2_125;G. González Bornay;2010-05-27;Apis mellifera;8;;;;;;;;;;;;;
;;;Eo8b_Bd2_125;F. Javier Ortiz Sánchez;2010-05-27;Nomada femoralis;1;;;;;;;;;;;;;
