coord X;coord Y;LABEL;HABITAT/FIELD PLOTc_ODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;;;;;;;;
222886,0634;4460760,83692;Eo_01a;Eo1a_Bd1_1;G. González Bornay;2010-04-29;Apis mellifera;3;;;;;;;;;;;;;
;;;Eo1a_Bd2_2;F. Javier Ortiz Sánchez;2010-05-26;Andrena (cara amarilla) sp.;1;;;;;;;;;;;;;
;;;Eo1a_Bd2_2;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo1a_Bd2_2;G. González Bornay;2010-05-26;Apis mellifera;4;;;;;;;;;;;;;
;;;Eo1a_Bd2_2;F. Javier Ortiz Sánchez;2010-05-26;Eucera barbiventris;1;;;;;;;;;;;;;
;;;Eo1a_Bd3_3;G. González Bornay;2010-06-07;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1a_Bd3_3;F. Javier Ortiz Sánchez;2010-06-07;Eucera notata;1;;;;;;;;;;;;;
222944,043547;4460791,50409;Eo_01b;Eo1b_Bd1_4;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1b_Bd2_5;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo1b_Bd2_5;G. González Bornay;2010-05-26;Apis mellifera;2;;;;;;;;;;;;;
;;;Eo1b_Bd2_5;F. Javier Ortiz Sánchez;2010-05-26;Eucera cf. Hispaliensis;1;;;;;;;;;;;;;
;;;Eo1b_Bd2_5;F. Javier Ortiz Sánchez;2010-05-26;Eucera notata;1;;;;;;;;;;;;;
;;;Eo1b_Bd3_6;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;1;;;;;;;;;;;;;
;;;Eo1b_Bd3_6;G. González Bornay;2010-06-07;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1b_Bd3_6;F. Javier Ortiz Sánchez;2010-06-07;Panurgus cephalotes;1;;;;;;;;;;;;;
220715,87804;4460871,27594;Eo_01c;Eo1c_Bd1_7;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;1;;;;;;;;;;;;;
;;;Eo1c_Bd1_7;G. González Bornay;2010-04-29;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1c_Bd2_8;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;2;;;;;;;;;;;;;
;;;Eo1c_Bd2_8;G. González Bornay;2010-05-26;Apis mellifera;1;;;;;;;;;;;;;
;;;Eo1c_Bd3_9;G. González Bornay;2010-05-26;Apis mellifera;4;;;;;;;;;;;;;
;;;Eo1c_Bd3_9;F. Javier Ortiz Sánchez;2010-06-07;Panurgus canescens;1;;;;;;;;;;;;;
220017,198549;4460960,08773;Eo_01d;Eo1d_Bd1_10;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1d_Bd2_11;;2010-05-26;;0;;;;;;;;;;;;;
;;;Eo1d_Bd3_12;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;9;;;;;;;;;;;;;
;;;Eo1d_Bd3_12;G. González Bornay;2010-06-07;Apis mellifera;1;;;;;;;;;;;;;
222943,564373;4460748,85755;Eo_01e;Eo1e_Bd1_13;;2010-04-29;;0;;;;;;;;;;;;;
;;;Eo1e_Bd2_14;G. González Bornay;2010-05-26;Apis mellifera;2;;;;;;;;;;;;;
;;;Eo1e_Bd2_14;F. Javier Ortiz Sánchez;2010-05-26;Bombus (Megabombus) sp.;1;;;;;;;;;;;;;
