"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Chalicodoma ","parietina",NA,"Spain","Granada","Hoya de la Mora. Sierra Nevada",37.0894444444444,-3.38277777777778,"GPS",2009,"June",30,"J.L. Blanco","C. Ornosa",NA,NA,NA,21,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Alicante","Petrel. Arenal de Petrel",38.5097833333333,-0.779047222222222,"GPS",2010,"March",26,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria depauperata",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946111111111,"GPS",2010,"April",27,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946111111111,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria platycalyx","13JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10/f3pm57.","Linaria platycalyx","16JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","andrenoides",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"April",29,"J.L. Blanco","C. Ornosa",3,2,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","19JB10, 20JB10, 22JB10, 23JB10, 24JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",30,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",1,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","26JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",1,"J.L. Blanco","C. Ornosa",1,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","27JB10, 28JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",17,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina ","cucurbitina",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",17,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2010,"May",20,"J.L. Blanco","C. Ornosa",NA,NA,NA,34,"https://doi.org/10/f3pm57.","Linaria almijarensis","39JB10, 40JB10, 42JB19, 43JB10, 51JB10, 54JB10, 55JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2010,"May",20,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,"Linaria almijarensis","45JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2010,"May",20,"J.L. Blanco","J.L. Blanco",NA,NA,NA,4,NA,"Linaria almijarensis","46JB10, 47JB10, 54JB10, 55JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2010,"May",20,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,"Linaria almijarensis","49JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2010,"May",20,"J.L. Blanco","J.L. Blanco",NA,NA,NA,3,NA,"Linaria almijarensis","50JB10, 52JB10, 53JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Priego de Córdoba",37.4084833333333,-4.30057777777778,"GPS",2010,"May",21,"J.L. Blanco","C. Ornosa",NA,NA,NA,8,"https://doi.org/10/f3pm57.","Linaria almijarensis",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Zahara de la Sierra. En el parque junto a pantano y mirador en zona baja",36.8435833333333,-5.39294444444444,"GPS",2010,"May",24,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx","60JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. En el parque junto a pantano y mirador en zona baja",36.8435833333333,-5.39294444444444,"GPS",2010,"May",24,"J.L. Blanco","C. Ornosa",NA,NA,NA,8,"https://doi.org/10/f3pm57.","Linaria platycalyx","61JB10, 62JB10, 64JB10, 66JB10, 67JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Cádiz","Zahara de la Sierra. En el parque junto a pantano y mirador en zona baja",36.8435833333333,-5.39294444444444,"GPS",2010,"May",24,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","El Chorro, Bobastro",36.91032,-4.78956,"GPS",2010,"May",25,"J.L. Blanco & M. Fernández-Mazuecos","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1093/aob/mct214","Linaria becerrae","72JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plumipes",NA,"Spain","Málaga","El Torcal de Antequera. Antequera",36.9517027777778,-4.54986111111111,"GPS",2010,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,28,"https://doi.org/10/f3pm57.","Linaria anticaria","75JB10, 76JB10, 77JB10, 81JB10, 85JB10, 86JB10, 87JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","dentiventris",NA,"Spain","Málaga","El Torcal de Antequera. Antequera",36.9517027777778,-4.54986111111111,"GPS",2010,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria anticaria","82JB10, 84JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina ","cucurbitina",NA,"Spain","Málaga","El Torcal de Antequera. Antequera",36.9517027777778,-4.54986111111111,"GPS",2010,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria anticaria","83JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","andrenoides",NA,"Spain","Málaga","El Torcal de Antequera. Antequera",36.9517027777778,-4.54986111111111,"GPS",2010,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,27,"https://doi.org/10/f3pm57.","Linaria anticaria",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","El Torcal de Antequera. Antequera",36.9517027777778,-4.54986111111111,"GPS",2010,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria anticaria",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","Canillas de Aceituno. Sierra Tejeda",NA,NA,NA,2010,"May",26,"J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10/f3pm57.","Linaria amoi","91JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Güejar-Sierra",37.1569888888889,-3.43184722222222,"GPS",2010,"June",24,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,"Antirrhinum rupestre","96JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Granada","Güejar-Sierra",37.1569888888889,-3.43184722222222,"GPS",2010,"June",24,"J.L. Blanco","J.L. Blanco",NA,NA,NA,4,NA,"Antirrhinum rupestre","98JB10, 99JB10, 101JB10, 105JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidium","manicatum",NA,"Spain","Granada","Güejar-Sierra",37.1569888888889,-3.43184722222222,"GPS",2010,"June",24,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"103JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","terrestris",NA,"Spain","Granada","Güejar-Sierra",37.1569888888889,-3.43184722222222,"GPS",2010,"June",24,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"104JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","crassipes",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"June",25,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"108JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"June",25,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"109JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"June",25,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"111JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"June",30,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"117JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"June",30,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"118JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",1,"J.L. Blanco","C. Ornosa",NA,NA,NA,6,"https://doi.org/10/f3pm57.","Linaria aeruginea","123JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","gallarum",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",1,"J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","parietina",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",1,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","crassipes",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",1,"J.L. Blanco","J.L. Blanco",NA,NA,NA,3,NA,NA,"123JB10, 124JB10, 125JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","gallarum",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",8,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","albonotata",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",8,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Hoplitis","paestrans",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",8,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","albonotata",NA,"Spain","Granada","Las Sabinas. Sierra Nevada",37.1282944444444,-3.42976944444444,"GPS",2010,"July",8,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,NA,NA,"129JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","albonotata",NA,"Spain","Granada","Pradollano. Sierra Nevada",37.1,-3.40777777777778,"GPS",2010,"July",9,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,NA,NA,"135JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Granada","Pradollano. Sierra Nevada",37.1,-3.40777777777778,"GPS",2010,"July",9,"J.L. Blanco","J.L. Blanco",NA,NA,NA,4,NA,NA,"136JB10, 137JB10, 138JB10, 139JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","crassipes",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"July",10,"J.L. Blanco","J.L. Blanco",NA,NA,NA,3,NA,NA,"142JB10, 143JB10, 144JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",37.0888861111111,-3.48721388888889,"GPS",2010,"July",10,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"145bJB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","crassipes",NA,"Spain","Granada","Los Peñones. Sierra Nevada",37.1033333333333,-3.39583333333333,"GPS",2010,"July",15,"J.L. Blanco","C. Ornosa",NA,NA,NA,23,"https://doi.org/10/f3pm57.","Linaria verticillata","150JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","parietina",NA,"Spain","Granada","Borreguiles. Sierra Nevada",NA,NA,NA,2010,"July",15,"J.L. Blanco","C. Ornosa",NA,NA,NA,7,"https://doi.org/10/f3pm57.","Linaria verticillata",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","parietina",NA,"Spain","Granada","Borreguiles. Sierra Nevada",NA,NA,NA,2010,"July",16,"J.L. Blanco","J.L. Blanco",NA,NA,NA,6,NA,NA,"155JB10, 156JB10, 157JB10, 158JB10, 159JB10, 160JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",37.0636111111111,-3.35861111111111,"GPS",2010,"July",27,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"163JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","Sierra Tejeda. Canillas de Aceituno",NA,NA,NA,2011,"April",27,"J.L. Blanco","C. Ornosa",NA,NA,NA,5,"https://doi.org/10/f3pm57.","Linaria amoi","5JB11, 6JB11, 7JB11, 8JB11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","andrenoides",NA,"Spain","Málaga","Sierra Tejeda. Canillas de Aceituno",NA,NA,NA,2011,"April",27,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria amoi",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","submicans",NA,"Spain","Málaga","Sierra Tejeda. Canillas de Aceituno",NA,NA,NA,2011,"April",27,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria amoi",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","pascuorum",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,"June",11,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,NA,NA,"21JB11, 22JB11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","atroalba",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,"June",12,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,NA,NA,"23JB11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,"June",12,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"24JB11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Los Alcornocalea, Laguna del Picacho",NA,NA,NA,2012,"May",17,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"3JB12","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Los Alcornocalea, Laguna del Picacho",NA,NA,NA,2012,"May",18,"J.L. Blanco","J.L. Blanco",NA,NA,NA,1,NA,NA,"11JB12","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2012,"May",18,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","andrenoides",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2012,"May",18,"J.L. Blanco","C. Ornosa",NA,NA,NA,15,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma ","pyrenaica",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2012,"May",18,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2012,"May",18,"J.L. Blanco","C. Ornosa",NA,NA,NA,20,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","caerulescens",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2012,"May",18,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2012,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,8,"https://doi.org/10/f3pm57.","Linaria almijarensis",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidium","manicatum",NA,"Spain","Córdoba","Hermita Virgen de la Sierra. Picacho. Cabra",37.4913333333333,-4.38115277777778,"GPS",2012,"May",25,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria almijarensis",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
