"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Amegilla","quadrifasciata",NA,"Spain","Málaga","Alhaurín de la Torre, Jarapalo",36.64063,-4.60447,"GPS",2014,"May",30,"M. Fernández-Mazuecos & J.L. Blanco","M. Fernández-Mazuecos",NA,NA,NA,NA,NA,"Linaria clementei",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","Alhaurín de la Torre, Jarapalo",36.64063,-4.60447,"GPS",2014,"May",30,"M. Fernández-Mazuecos & J.L. Blanco","M. Fernández-Mazuecos",NA,NA,NA,NA,NA,"Linaria clementei",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Xylocopa","cantabrita",NA,"Spain","Málaga","Monda",36.62782,-4.80923,"GPS",2014,"June",3,"M. Fernández-Mazuecos","C. Ornosa",NA,NA,NA,1,NA,"Linaria clementei","6MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","mocsaryi",NA,"Spain","Málaga","Monda",36.62782,-4.80923,"GPS",2014,"June",3,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","7MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidiellum","strigatum",NA,"Spain","Málaga","Monda",36.62782,-4.80923,"GPS",2014,"June",3,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","8MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Andrena","nigroaenea",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2014,"June",4,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","11MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Pseudapis","bispinosa","albocincta ","Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2014,"June",4,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","12MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2014,"June",4,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","13MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidium","manicatum",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2014,"June",4,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","14MF14","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plumipes",NA,"Spain","Málaga","El Chorro, Bobastro",36.90859,-4.7866,"GPS",2015,"April",27,"M. Fernández-Mazuecos","C. Ornosa",NA,NA,NA,1,NA,"Linaria becerrae","1MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
