Catalogue;N_EJS;FAMILIA;SUBFAMILIA;GENERO;SUBGEN;ESPECIE;AUT_TAXON;LOCALIDAD_ORIG;LOCALIDAD_ACTUAL;MUNICIPIO;PROVINCIA;AUTONOMIA;PAIS;Fecha colecta en etiqueta;fecha standard;COLECTOR;ALTITUD;UTM;SEXO;PROCEDENCIA;DETERM;ANHO_DETERM
MNCN_Ent 342862;1;Halictidae;Halictinae;Lasioglossum;Hemihalictus;pauperatum;(Brullé, 1832);Aldealengua (SA);Aldealengua;Aldealengua;Salamanca;Castilla y León;España;26-VI-2013;26/06/2013;Gayubo y Fresno;;;hembra;ex. Colección F. Fresno;P. [Piluca] Álvarez;2022
MNCN_Ent 342865;1;Halictidae;Halictinae;Halictus;Tytthalictus;maculatus;Smith, 1848;Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;27-VII-2011;07/07/2011;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 342869;1;Halictidae;Halictinae;Halictus;Tytthalictus;maculatus;Smith, 1848;Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;24.07.2016;24/07/2016;F. Fresno;305 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 342870;1;Halictidae;Halictinae;Halictus;Tytthalictus;maculatus;Smith, 1848;Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;20.08.2016;20/08/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 342871;1;Halictidae;Halictinae;Halictus;Tytthalictus;maculatus;Smith, 1848;Valle la Peral (Lena, Asturias);Valle la Peral;Lena;Asturias;Asturias;España;11.08.2016;11/08/2016;F. Fresno;913 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 342879;1;Andrenidae;Andreninae;Andrena;Melandrena;flavipes;Panzer, 1799;Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;1-V-2007;01/05/2007;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 344914;1;Andrenidae;Panurginae;Panurgus;Panurgus;calcaratus;(Scopoli, 1763);Vega del Ciego (Lena) (Asturias);Vega del Ciego;Lena;Asturias;Asturias;España;16-VII-2022;16/07/2022;F. Fresno;;;macho;;P. [Piluca] Álvarez;2022
MNCN_Ent 344921;1;Andrenidae;Andreninae;Andrena;Trachandrena;haemorrhoa;(Fabricius, 1781);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;7-V-2022;07/05/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347342;1;Apidae;Xylocopinae;Ceratina;Ceratina;cucurbitina;(Rossi, 1792);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;7-V-2022;07/05/2022;Miguel Moya;;;macho;;P. Álvarez;2022
MNCN_Ent 347343;1;Apidae;Xylocopinae;Ceratina;Euceratina;dentiventris;Gerstäcker, 1869;Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;22-VIII-2022;22/08/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347346;1;Apidae;Xylocopinae;Ceratina;Euceratina;dentiventris;Gerstäcker, 1869;Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;31-VIII-2022;31/08/2022;Miguel Moya;;;macho;;P. Álvarez;2022
MNCN_Ent 347348;1;Colletidae;Hylaeinae;Hylaeus;Prosopis;variegatus;(Fabricius, 1798);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;19-VII-2022;19/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347349;1;Colletidae;Hylaeinae;Hylaeus;Prosopis;variegatus;(Fabricius, 1798);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;19-VII-2022;19/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347350;1;Colletidae;Hylaeinae;Hylaeus;Prosopis;variegatus;(Fabricius, 1798);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;22-VIII-2022;22/08/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347351;1;Colletidae;Hylaeinae;Hylaeus;Prosopis;variegatus;(Fabricius, 1798);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;31-VIII-2022;31/08/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347381;1;Halictidae;Halictinae;Halictus;Hexataenites;scabiosae;(Rossi,1790);Columbiello (Lena) (Asturias);Columbiello;Lena;Asturias;Asturias;España;2-VII-2022;02/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347382;1;Halictidae;Halictinae;Halictus;Hexataenites;scabiosae;(Rossi,1790);Oviedo. Parque del Oeste (Asturias);Oviedo, Parque del Oeste;Oviedo;Asturias;Asturias;España;13-VIII-2022;13/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347383;1;Halictidae;Halictinae;Halictus;Hexataenites;scabiosae;(Rossi,1790);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;14-VIII-2022;14/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347384;1;Halictidae;Halictinae;Halictus;Hexataenites;scabiosae;(Rossi,1790);"La Carrera (Morcín; Asturias)";La Carrera;Morcín;Asturias;Asturias;España;15-VIII-2022;15/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347385;1;Halictidae;Halictinae;Halictus;Hexataenites;scabiosae;(Rossi,1790);El Cogollo (Morcín) (Asturias);El Cogollo;Morcín;Asturias;Asturias;España;15-VIII-2022;15/08/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347402;1;Halictidae;Halictinae;Halictus;Halictus;quadricinctus;(Fabricius, 1776);Columbiello (Lena) (Asturias);Columbiello;Lena;Asturias;Asturias;España;19-VII-2022;19/07/2022;F. Fresno;;;hembra;;P. Álvarez;2023
MNCN_Ent 347446;1;Halictidae;Halictinae;Lasioglossum;Lasioglossum;zonulus;(Smith, 1848);El Cogollo (Morcín) (Asturias);El Cogollo;Morcín;Asturias;Asturias;España;15-VIII-2022;15/08/2022;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 347447;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;malachurum;(Kirby, 1802);La Isla (Colunga) (Asturias);La Isla;Colunga;Asturias;Asturias;España;8-VIII-2022;08/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347448;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;malachurum;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;14-VIII-2022;14/08/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347449;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;malachurum;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;4-IX-2022;04/09/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347450;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;malachurum;(Kirby, 1802);Vega del Ciego (Lena) (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;21-VIII-2022;21/08/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347451;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;malachurum;(Kirby, 1802);Columbiello (Lena) (Asturias);Pola de Lena;Columbiello;Asturias;Asturias;España;21-VIII-2022;21/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347452;1;Halictidae;Halictinae;Lasioglossum;Biennilaeus;marginatum;(Brullé, 1832);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;7-V-2022;07/05/2022;Miguel Moya;;;hembra;;P. Álvarez;2023
MNCN_Ent 347453;1;Halictidae;Halictinae;Seladonia;Pachyceble;tumulorum;(Linnaeus, 1758);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;4-IX-2022;04/09/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347454;1;Halictidae;Halictinae;Seladonia;Pachyceble;tumulorum;(Linnaeus, 1758);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;4-IX-2022;04/09/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347455;1;Halictidae;Halictinae;Seladonia;Pachyceble;tumulorum;(Linnaeus, 1758);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;4-IX-2022;04/09/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347457;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;albipes;(Fabricius, 1781);La Isla (Colunga) (Asturias);La Isla;Colunga;Asturias;Asturias;España;8-VIII-2022;08/08/2022;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 347458;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;albipes;(Fabricius, 1781);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;14-VIII-2022;14/08/2022;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 347461;1;Halictidae;Halictinae;Lasioglossum;Sphecodogastra;albipes;(Fabricius, 1781);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;19-VIII-2022;19/08/2022;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 347501;1;Halictidae;Halictinae;Seladonia;Seladonia;subaurata;(Rossi, 1792);Vega del Ciego (Lena) (Asturias);Vega del Ciego;Lena;Asturias;Asturias;España;16-VII-2022;16/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347502;1;Halictidae;Halictinae;Seladonia;Seladonia;subaurata;(Rossi, 1792);Vega del Ciego (Lena) (Asturias);Vega del Ciego;Lena;Asturias;Asturias;España;16-VII-2022;16/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347503;1;Halictidae;Halictinae;Seladonia;Seladonia;subaurata;(Rossi, 1792);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;19-VII-2022;19/07/2022;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 347510;1;Halictidae;Halictinae;Seladonia;Seladonia;subaurata;(Rossi, 1792);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;5-VIII-2022;05/08/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347511;1;Halictidae;Halictinae;Seladonia;Seladonia;subaurata;(Rossi, 1792);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;5-VIII-2022;05/08/2022;Miguel Moya;;;hembra;;P. Álvarez;2022
MNCN_Ent 347517;1;Halictidae;Halictinae;Lasioglossum;Hemihalictus;villosulum;(Kirby, 1802);Columbiello (Lena) (Asturias);Columbiello;Lena;Asturias;Asturias;España;2-VIII-2022;02/08/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347518;1;Megachilidae;Megachilinae;Anthidium;Anthidium;septemspinosum;Lepeletier, 1841;Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;12-VII-2022;12/07/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347521;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Ciego (Lena) (Asturias);Vega del Ciego;Lena;Asturias;Asturias;España;16-VII-2022;16/07/2022;F. Fresno;;;macho;;P. Álvarez;2022
MNCN_Ent 347523;1;Megachilidae;Megachilinae;Chelostoma;Chelostoma;florisomne;(Linnaeus, 1758);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;7-V-2022;07/05/2022;Miguel Moya;;;macho;;P. Álvarez;2023
MNCN_Ent 347524;1;Megachilidae;Megachilinae;Chelostoma;Chelostoma;florisomne;(Linnaeus, 1758);Villarrodrigo de Ordás (León);Villarrodrigo de Ordás;Santa María de Ordás;León;Castilla y León;España;7-V-2022;07/05/2022;Miguel Moya;;;macho;;P. Álvarez;2023
MNCN_Ent 348851;1;Megachilidae;Megachilinae;Dioxys;;cinctus;(Jurine, 1807);Montarco;Rivas-Vaciamadrid;Rivas-Vaciamadrid;Madrid;Madrid;España;25-5-902;25/05/1902;G. Mercet;;;hembra;Colección Gª Mercet;P. Álvarez;2023
MNCN_Ent 348855;1;Megachilidae;Megachilinae;Dioxys;;cinctus;(Jurine, 1807);Córdoba;Córdoba;Córdoba;Córdoba;Andalucía;España;12-5-41;12/05/1941;Dusmet;;;hembra;Colección Dusmet;P. Álvarez;2023
MNCN_Ent 348857;1;Megachilidae;Megachilinae;Dioxys;;cinctus;(Jurine, 1807);España/Camin Albufera, Mahon;España;España;Islas Baleares;Islas Baleares;España;20-4-[19]19;20/04/1919;Vidal y Lopez;;;macho;Colección Dusmet;P. Álvarez;2023
MNCN_Ent 348860;1;Megachilidae;Megachilinae;Dioxys;;cinctus;(Jurine, 1807);Madrid;Madrid;Madrid;Madrid;Madrid;España;6-6-9;06/06/1909;G. Mercet;;;hembra;;P. Álvarez;2023
MNCN_Ent 348861;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Titulcia (Madrid);Titulcia;Titulcia;Madrid;Madrid;España;28-IX-2009;28/09/2009;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348862;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Titulcia (Madrid);Titulcia;Titulcia;Madrid;Madrid;España;2-X-2010;02/10/2010;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348863;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Salinas (Alicante);Salinas;Salinas;Alicante;Comunidad Valenciana;España;14-VII-1983;14/07/1983;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348864;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Aldea del Fresno (M);Aldea del Fresno;Aldea del Fresno;Madrid;Madrid;España;10-VI-2009;10/06/2009;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348865;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Aldea del Fresno (M);Aldea del Fresno;Aldea del Fresno;Madrid;Madrid;España;10-VI-2009;10/06/2009;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348866;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;22.VIII.1990;22/08/1990;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348867;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;9-VIII-1997;09/08/1997;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348868;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;20-VIII-2000;20/08/2000;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348869;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;28.VIII.1990;28/08/1990;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348870;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;31.VIII.1990;31/08/1990;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348871;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Fuengirola (Málaga);Fuengirola;Fuengirola;Málaga;Andalucía;España;13-IX-1990;13/09/1990;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348872;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Valderacete (Madrid);Valderacete;Valderacete;Madrid;Madrid;España;12-VII-2008;12/07/2008;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348873;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Tielmes (Madrid);Tielmes;Tielmes;Madrid;Madrid;España;2-VII-2009;02/07/2009;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348874;1;Megachilidae;Megachilinae;Icteranthidium;;ferrugineum;(Fabricius, 1787);Ibi (Alicante);Ibi;Ibi;Alicante;Comunidad Valenciana;España;2-VII-2009;02/07/2009;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 348875;1;Andrenidae;Andreninae;Andrena;Biareolina;lagopus;Latreille, 1809;Barcelona, Moncada;Barcelona;Barcelona;Barcelona;Cataluña;España;27.II.[18]98;27/02/1898;sin datos;;;macho;;P. Álvarez;2022
MNCN_Ent 348876;1;Andrenidae;Andreninae;Andrena;Biareolina;lagopus;Latreille, 1809;Barcelona, Vallvidrera;Barcelona;Barcelona;Barcelona;Cataluña;España;4.IV.[18]98;04/04/1898;sin datos;;;macho;;P. Álvarez;2022
MNCN_Ent 348877;1;Andrenidae;Andreninae;Andrena;Biareolina;lagopus;Latreille, 1809;Barcelona, Vallvidrera;Barcelona;Barcelona;Barcelona;Cataluña;España;4.IV.[18]98;04/04/1898;sin datos;;;macho;;P. Álvarez;2022
MNCN_Ent 348925;1;Melittidae;Dasypodainae;Dasypoda;Dasypoda;dusmeti;Quilis, 1928;Aranjuez;Aranjuez;Aranjuez;Madrid;Madrid;España;17-VI-06;17/06/1906;sin datos [Cabrera?];;;macho;Colección Cabrera;P. Álvarez;2023
MNCN_Ent 351935;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Soto de Agues (Asturias);Soto de Agues;Sobrescobio;Asturias;Asturias;España;21-VII-2017;21/07/2017;F. Fresno;415 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351936;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Soto de Agues (Asturias);Soto de Agues;Sobrescobio;Asturias;Asturias;España;3-VIII-2017;03/08/2017;F. Fresno;415 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351937;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Telledo (Lena) (Asturias);Telledo;Lena;Asturias;Asturias;España;12.VIII.2006;12/08/2006;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351938;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Maramuñiz (Lena, Asturias);Maramuñiz;Lena;Asturias;Asturias;España;18.VII.2017;18/07/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351939;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Colunga (Asturias);Colunga;Colunga;Asturias;Asturias;España;17.VIII.2007;17/08/2007;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351940;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Colunga (Asturias);Colunga;Colunga;Asturias;Asturias;España;26.VIII.2008;26/08/2008;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351941;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Colunga (Asturias);Colunga;Colunga;Asturias;Asturias;España;26.VIII.2008;26/08/2008;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351942;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Colunga (Asturias);Colunga;Colunga;Asturias;Asturias;España;26.VIII.2008;26/08/2008;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351943;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Colunga (Asturias);Colunga;Colunga;Asturias;Asturias;España;9.VIII.2008;09/08/2008;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351944;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;31-VII-2009;31/07/2009;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351945;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;21.VIII.2010;21/08/2010;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351946;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;14-IX-2011;14/09/2011;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351947;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;4-VIII-2009;04/08/2009;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351948;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;7-VIII-2011;07/08/2011;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351949;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);La Isla (Asturias);La Isla;Colunga;Asturias;Asturias;España;17.VIII.2010;17/08/2010;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351952;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;13-X-2006;13/10/2006;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351953;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;13-X-2006;13/10/2006;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351954;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;27-VII-2011;27/07/2011;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351955;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;27-VII-2011;27/07/2011;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351956;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;27-VII-2011;27/07/2011;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351957;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;26-III-2010;26/03/2010;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351958;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;26-III-2010;26/03/2010;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351959;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;26-III-2010;26/03/2010;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351960;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;16.04.2017;10/04/2017;F. Fresno;305 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351961;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;16.04.2017;10/04/2017;F. Fresno;305 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 351983;1;Halictidae;Halictinae;Lasioglossum;Dialictus;morio;(Fabricius, 1793);Campo de Caso (Asturias);Campo de Caso;Caso;Asturias;Asturias;España;28.07.2017;28/07/2017;F. Fresno;560 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 355287;1;Apidae;Xylocopinae;Ceratina;Ceratina;cucurbitina;(Rossi, 1792);Córdoba;Córdoba;Córdoba;Córdoba;Andalucía;España;31-III-42;31/03/1942;Andréu;;;macho;;P. Álvarez;2022
MNCN_Ent 356771;1;Melittidae;Dasypodainae;Dasypoda;Microdasypoda;crassicornis;Friese, 1896;Tres Cantos (Madrid);Tres Cantos;Tres Cantos;Madrid;Madrid;España;21-IV-2023;21/04/2023;F. Fresno;;;hembra;;P. Álvarez;2023
MNCN_Ent 356780;1;Andrenidae;Andreninae;Andrena;Chlorandrena;cinerea;Brullé, 1832;Tres Cantos (Madrid);Tres Cantos;Tres Cantos;Madrid;Madrid;España;21-IV-2023;21/04/2023;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 356781;1;Andrenidae;Andreninae;Andrena;Chlorandrena;rhenana;Stöckhert, 1930;Tres Cantos (Madrid);Tres Cantos;Tres Cantos;Madrid;Madrid;España;21.IV.2022;21/04/2023;F. Fresno;;;hembra;;P. Álvarez;2023
MNCN_Ent 356782;1;Apidae;Apinae;Eucera;Eucera;elongatula;Vachal, 1907;Tres Cantos (Madrid);Tres Cantos;Tres Cantos;Madrid;Madrid;España;21-IV-2023;21/04/2023;F. Fresno;;;macho;;P. Álvarez;2023
MNCN_Ent 356783;1;Halictidae;Rhophitinae;Dufourea;Dufourea;trautmanni;Dusmet, 1935;Tres Cantos (Madrid);Tres Cantos;Tres Cantos;Madrid;Madrid;España;21-IV-2023;21/04/2023;F. Fresno;;;macho;;P. Álvarez;2023
