Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Xylocopa;violacea;NA;Spain;Balears, Illes;Son Sardina;39.6229083;2.6546303;<10m;2020;2;4;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;1;0;0;NA;NA;NA;Joan Díaz-Calafat;in copula while flying;NA
Anthophora;subterranea;NA;Spain;Balears, Illes;Marratxí;39.621461;2.748314;<10m;2020;2;10;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Capdepera;39.683652;3.4494031;<20m;2020;2;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Oxalis pes-caprae;NA;Joan Díaz-Calafat;NA;NA
Xylocopa;violacea;NA;Spain;Balears, Illes;Binissalem;39.700753;2.834015;<10m;2020;2;15;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus fistulosus;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Alcúdia;39.838341;3.119707;<1km;2020;2;16;NA;NA;Sebastià Jaume Ramis;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;Found dead;NA
Osmia;cornuta;NA;Spain;Balears, Illes;Marratxí;39.62104;2.747968;<10m;2020;2;17;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;flavipes;NA;Spain;Balears, Illes;Inca;39.7162062;2.9236813;<20m;2020;2;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;Sinapis;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Inca;39.7253517;2.9052064;<15m;2020;2;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Inca;39.7268213;2.9041054;<10m;2020;2;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Oxalis pes-caprae;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Marratxí;39.621086;2.74809;<15m;2020;2;20;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
