Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Andrena ;hattorfiana;NA;Spain;Asturias;Mieres de Limanes (Siero);43.3637;-5.763696;NA;2017;7;9;R.Martínez;A.Núñez;0;1;0;0;NA;Centaurea nigra;NA;NA;NA;NA
Andrena ;nigroaenea;NA;Spain;Asturias;Langreo;43.2916000;-5.6993800;NA;2016;4;11;D.Luna;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Osmia;bicornis;NA;Spain;Asturias;Villaviciosa;43.474481;-5.443605;NA;2018;4;9;A.Núñez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Panurgus;cephalotes;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2018;8;4;R.Martínez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Andrena ;marginata;NA;Spain;Asturias;Ceyanes;43.452423;-5.386444;NA;2016;10;7;D.Luna;A.Núñez;1;0;0;0;NA;Knautia arvensis;NA;NA;NA;NA
Eucera;nigrescens;NA;Spain;Asturias;Pañeda Nueva (Siero);43.425936;-5.71511;NA;2017;4;19;R.Martínez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Megachile;maritima;NA;Portugal;Terras de Bouro;Brufe;41.764298;-8.23545;NA;2018;8;9;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthidium ;septemspinosum;NA;Spain;Asturias;Priesca;43.485051;-5.360553;NA;2017;7;NA;A.Núñez;C.Molina;1;0;0;0;NA;NA;NA;NA;NA;NA
Nomada ;argentata;NA;Spain;Asturias;La Lloraza;43.528812;-5.44904;NA;2018;9;17;A.Núñez;A.Núñez;1;0;0;0;NA;Succisa pratensis;NA;NA;NA;NA
Colletes ;hederae;NA;Spain;Asturias;Villaviciosa;43.4814;-5.43535;NA;2018;9;17;A.Núñez;A.Núñez;0;1;0;0;NA;Hedera helix;NA;NA;NA;NA
Colletes ;cunicularius;NA;Spain;Asturias;Playa de Rodiles;43.532132;-5.375405;NA;2019;3;2;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Andrena ;agilissima;NA;Spain;Asturias;Caravia;43.4576;-5.19014;NA;2017;4;22;R.Martínez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Hylaeus;variegatus;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2018;8;4;R.Martínez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthidium ;manicatum;NA;Spain;Asturias;Puerto de Vega;43.566538;-6.649009;NA;2018;7;7;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Lasioglossum ;zonulum;NA;Spain;Asturias;La Lloraza;43.528812;-5.44904;NA;2018;10;22;A.Núñez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Lasioglossum ;albipes;NA;Spain;Asturias;La Lloraza;43.528812;-5.44904;NA;2018;10;22;A.Núñez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Dasypoda;hirtipes;NA;Spain;Asturias;La Lloraza;43.528812;-5.44904;NA;2018;9;20;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthophora;bimaculata;NA;Spain;Galicia;Islas Cíes;42.22703;-8.900016;NA;2018;8;11;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Osmia;niveata;NA;Spain;Asturias;Villaviciosa;43.4814;-5.43535;NA;2018;7;5;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Eucera;nigrifacies;NA;Spain;Asturias;Verdera (Nava);43.403172;-5.500578;NA;2018;6;13;A.Núñez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Andrena ;carantonica;NA;Spain;Asturias;Villaviciosa;43.491797;-5.419347;NA;2018;5;17;A.Núñez;A.Núñez;1;0;0;0;NA;Malus domestica;NA;NA;NA;NA
Andrena ;agilissima;NA;Spain;Asturias;La Rasa (Villaviciosa);43.514807;-5.347964;NA;2018;6;2;A.Núñez;A.Núñez;1;0;0;0;NA;Raphanus raphanistrum;NA;NA;NA;NA
Osmia;leaiana;NA;Spain;Asturias;Villaviciosa;43.4814;-5.43535;NA;2018;4;30;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA

