Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Lithurgus;cornutus;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2018;8;4;R.Martínez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthidium ;florentinum;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2018;8;4;R.Martínez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Eucera;nigrifacies;NA;Spain;Asturias;Caldones;43.492067;-5.631048;NA;2017;7;4;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Andrena ;albopunctata;spp.melona;Spain;Murcia;Calasparra;38.224605;-1.698912;NA;2017;4;15;R.Martínez;O.Aguado;1;0;0;0;NA;NA;NA;NA;NA;NA
Halictus;brunnescens;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2018;8;4;R.Martínez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthophora;retusa;NA;Spain;Asturias;Langreo;43.2916000;-5.6993800;NA;2016;4;11;D.Luna;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Anthophora;atroalba;NA;Spain;León;Villaquejida;42.14581;-5.592914;NA;2016;3;26;R.Martínez;O.Aguado;0;1;0;0;NA;Prunus dulcis;NA;NA;NA;NA
Ceratina;chalcites;NA;Spain;León;Montejos del Camino;42.614432;-5.732133;NA;2017;8;10;A.Núñez;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Colletes ;hederae;NA;Spain;Asturias;Villaviciosa;43.474481;-5.443605;NA;2016;9;20;M.Miñarro;O.Aguado;1;0;0;0;NA;Hedera helix;NA;NA;NA;NA
Nomada ;fuscicornis;NA;Spain;Asturias;Selorio;43.514807;-5.347964;NA;2016;4;19;D.Luna;A.Núñez;1;0;0;0;NA;Senecio sp.;NA;NA;NA;NA
Andrena ;pilipes;NA;Spain;Asturias;Langreo;43.2916000;-5.6993800;NA;2016;4;11;D.Luna;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Anthophora;plumipes;NA;Spain;Asturias;Langreo;43.2916000;-5.6993800;NA;2016;4;11;D.Luna;A.Núñez;1;0;0;0;NA;NA;NA;NA;NA;NA
Panurgus;banksianus;NA;Spain;Asturias;Villaviciosa;43.474481;-5.443605;NA;2015;8;21;A.Núñez;A.Núñez;0;1;0;0;NA;NA;NA;NA;NA;NA
Osmia;caerulescens;NA;Spain;Asturias;Sevares;43.354587;-5.265892;NA;2019;4;12;A.Núñez;A.Núñez;0;1;0;0;NA;Centaurea nigra;NA;NA;NA;NA
