Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Ceratina;Euceratina;dallatorreana;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;dentiventris;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;gravidula;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;mocsaryi;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;nigrolabiata;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Epeolus;NA;cruciger;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Tetralonia;NA;alticincta;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Tetralonia;NA;salicariae;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Thyreus;NA;histrionicus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Thyreus;NA;ramosus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
