HABITAT/FIELD PLOTc_ODE;medio;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;
Eo17a_Bd1_226;Olivar;F. Javier Ortiz Sánchez;2010-04-26;Apis mellifera;4;
Eo17a_Bd2_227;Olivar;;2010-05-24;;0;
Eo17a_Bd3_228;Olivar;;2010-06-07;;0;
Eo17lc_Bd1_229;Olivar;F. Javier Ortiz Sánchez;2010-04-26;Apis mellifera;3;
Eo17lc_Bd2_230;Olivar;G. González Bornay;2010-05-24;Apis mellifera;4;
Eo17lc_Bd3_231;Olivar;G. González Bornay;2010-06-07;Apis mellifera;11;
Eo18a_Bd1_232;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Andrena sp.;1;
Eo18a_Bd2_233;Olivar;G. González Bornay;2010-05-26;Apis mellifera;4;
Eo18a_Bd3_234;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;
Eo18a_Bd3_234;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Bombus terrestris lusitanicus;1;
Eo18b_Bd1_235;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Apis mellifera;5;
Eo18b_Bd2_236;Olivar;;2010-05-26;;0;
Eo18b_Bd3_237;Olivar;;2010-06-08;;0;
Eo18c_Bd1_238;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Andrena (micro) sp.;1;
Eo18c_Bd1_238;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Apis mellifera;15;
Eo18c_Bd2_239;Olivar;;2010-05-26;;0;
Eo18c_Bd3_240;Olivar;;2010-06-08;;0;
Eo19a_Bd1_241;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Eucera codinai;1;
Eo19a_Bd2_242;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;
Eo19a_Bd2_242;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Anthophora salviae;1;
Eo19a_Bd2_242;Olivar;G. González Bornay;2010-05-26;Apis mellifera;7;
Eo19a_Bd3_243;Olivar;G. González Bornay;2010-06-14;Apis mellifera;1;
Eo19a_Bd3_243;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum (Lasiog.) sp.;1;
Eo19a_Bd3_243;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus calcaratus;3;
Eo19a_Bd3_243;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus perezi;1;
Eo20a_Bd1_244;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Andrena sp.;1;
Eo20a_Bd1_244;Olivar;G. González Bornay;2010-04-30;Apis mellifera;4;
Eo20a_Bd1_244;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Panurgus calcaratus;1;
Eo20a_Bd2_245;Olivar;G. González Bornay;2010-05-26;Apis mellifera;2;
Eo20a_Bd3_246;Olivar;;2010-06-14;;0;
Eo20b_Bd1_247;Olivar;G. González Bornay;2010-04-30;Apis mellifera;2;
Eo20b_Bd2_248;Olivar;G. González Bornay;2010-05-26;Apis mellifera;4;
Eo20b_Bd2_248;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris lusitanicus;2;
Eo20b_Bd3_249;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Andrena (micro) sp.;2;
Eo20b_Bd3_249;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus canescens;1;
Eo20b_Bd3_249;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus cephalotes;1;
Eo20c_Bd1_250;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Lasioglossum (Evy.) sp.;1;
Eo20c_Bd1_250;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Panurgus calcaratus;5;
Eo20c_Bd2_251;Olivar;G. González Bornay;2010-05-26;Apis mellifera;6;
Eo20c_Bd2_251;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Lasioglossum malachurum;2;
Eo20c_Bd3_252;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Ceratina cucurbitina;1;
Eo20c_Bd3_252;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum malachurum;2;
Eo20d_Bd1_253;Olivar;;2010-04-30;;0;
Eo20d_Bd2_254;Olivar;G. González Bornay;2010-05-26;Apis mellifera;4;
Eo20d_Bd3_255;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Andrena (micro) sp.;1;
Eo20d_Bd3_255;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Hoplitis adunca contraria;1;
Eo20d_Bd3_255;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum malachurum;3;
Eo20d_Bd3_255;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus canescens;2;
Eo20e_Bd1_256;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Andrena sp.;1;
Eo20e_Bd1_256;Olivar;G. González Bornay;2010-04-30;Apis mellifera;1;
Eo20e_Bd1_256;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Lasioglossum malachurum;1;
Eo20e_Bd2_257;Olivar;G. González Bornay;2010-05-26;Apis mellifera;6;
Eo20e_Bd3_258;Olivar;;2010-06-14;;0;
Eo20f_Bd1_259;Olivar;;2010-04-30;;0;
Eo20f_Bd2_260;Olivar;;2010-05-26;;0;
Eo20f_Bd3_261;Olivar;G. González Bornay;2010-06-14;Apis mellifera;1;
Eo20f_Bd3_261;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum (Evy.) sp.;1;
Eo20g_Bd1_262;Olivar;;2010-04-30;;;
Eo20g_Bd2_263;Olivar;;2010-05-26;;;
Eo20g_Bd3_264;Olivar;;2010-06-14;;;
Eo20h_Bd1_265;Olivar;;2010-04-30;;0;
Eo20h_Bd2_266;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo20h_Bd2_266;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum malachurum;1;
Eo20h_Bd3_267;Olivar;;2010-06-14;;0;
Eo20i_Bd1_268;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Anthophora dispar;1;
Eo20i_Bd2_269;Olivar;;2010-05-26;;0;
Eo20i_Bd3_270;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Andrena sp.;1;
Eo20i_Bd3_270;Olivar;G. González Bornay;2010-06-14;Apis mellifera;11;
Eo20i_Bd3_270;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum malachurum;1;
Eo20j_Bd1_271;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Andrena sp.;1;
Eo20j_Bd1_271;Olivar;F. Javier Ortiz Sánchez;2010-04-30;Panurgus calcaratus;10;
Eo20j_Bd2_272;Olivar;G. González Bornay;2010-05-26;Apis mellifera;5;
Eo20j_Bd3_273;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Lasioglossum (Lasiog.) sp.;1;
Eo20j_Bd3_273;Olivar;F. Javier Ortiz Sánchez;2010-06-14;Panurgus cephalotes;1;
Eo20la_Bd1_274;Olivar;G. González Bornay;2010-04-30;Apis mellifera;3;
Eo20la_Bd2_275;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Anthophora balneorum;1;
Eo20la_Bd2_275;Olivar;G. González Bornay;2010-05-26;Apis mellifera;2;
Eo20la_Bd3_276;Olivar;;2010-06-14;;0;
