"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","1 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","2 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthidium",NA,"Anthidium manicatum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","4 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","5 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","6 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","7 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","11 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","12 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera longicornis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","13 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Andrena",NA,"Andrena labialis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","14 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","15 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthophora ",NA,"Anthophora fulvitarsis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","17 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","18 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","19 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","20 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus hypnorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","21 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Nomada",NA,"Nomada merceti",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","23 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","29 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","29b GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Anthophora ",NA,"Anthophora fulvitarsis",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","30 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","32 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","33 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","34 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus muscorum",NA,"Portugal","Leiria","Óbidos","39.392314"," -9.166054","<100m",2019,5,2,2019-05-02,2019-05-02,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","35 GOPolimax (CEF-UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus eurygnathus",NA,"Portugal","Leiria","Alcobaça","39.550693"," -8.959638","<100m",2018,4,20,2018-04-20,2018-04-20,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","1 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,4,27,2018-04-27,2018-04-27,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","2 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
