"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Ceratina","cucurbitina",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","J. Bosch",1,1,0,0,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Ceratina","cyanea",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","J. Bosch",2,0,0,0,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Andrena","flavipes",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","B. Arroyo-Correa",2,1,0,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Dufourea","halictula",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1,0,0,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","fulvicorne",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1,0,0,0,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Anthidium","septemdentatum",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","J. Bosch",0,1,0,0,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Nomada","guttulata",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1,0,0,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Chelostoma","campanularum",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",2019,6,NA,"B. Arroyo-Correa","J. Bosch",1,0,0,0,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Bombus","terrestris",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Xylocopa","violacea",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Xylocopa","cantabrita",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
