Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;"Coordinate precision (e.g. GPS; ~10km) ";Year;month;day;Collector;Determined by;Female;Male;Worker;Not specified;Reference (doi);Flowers visited;Local Box No.;Local_ID;Authors to give credit;Any other additional data;Notes and queries;;;;
Anthophora;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000045;F. Torres;Fuego 1998;NA;;;;
Anthophora;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000046;F. Torres;Fuego 2002;NA;;;;
Colletes;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000047;F. Torres;Fuego 1998;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000048;F. Torres;Fuego 1998;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000049;F. Torres;Fuego1998;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000050;F. Torres;Fuego1998;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000051;F. Torres;Fuego 1998;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000052;F. Torres;Fuego 2003;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000053;F. Torres;Fuego 2003;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000054;F. Torres;Fuego 2003;NA;;;;
Nomada;NA;NA;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000055;F. Torres;Fuego 2003;NA;;;;
Camptopoeum;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000056;F. Torres;Fuego 1998;NA;;;;
Camptopoeum;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000057;F. Torres;Fuego 1998;NA;;;;
Camptopoeum;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000058;F. Torres;Fuego 1998;NA;;;;
Camptopoeum;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000059;F. Torres;Fuego 1998;NA;;;;
Sphecodes;NA;NA;NA;Spain ;Salamanca ;Cabeza de Framontanos;41,22564;-6,45066;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000060;F. Torres;Fuego ;NA;;;;
Sphecodes;NA;NA;NA;Spain ;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000061;F. Torres;Fuego 1998;NA;;;;
Sphecodes;NA;NA;NA;Spain ;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000062;F. Torres;Fuego 2003;NA;;;;
Rophites;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000063;F. Torres;Fuego 1998;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000064;F. Torres;Fuego 2002;NA;;;;
