Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;"Coordinate precision (e.g. GPS; ~10km) ";Year;month;day;Collector;Determined by;Female;Male;Worker;Not specified;Reference (doi);Flowers visited;Local Box No.;Local_ID;Authors to give credit;Any other additional data;Notes and queries;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;29;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003680;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003681;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Segovia;Fuentidueña;NA;NA;NA;1986;6;20;E. Asensio;Dardón;1;0;0;0;NA;NA;12;APO-003682;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003683;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;14;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003684;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003685;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;14;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003686;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;5;7;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003687;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003688;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;9;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003689;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;5;7;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003690;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003691;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003692;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003693;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;9;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003694;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Soria;Martialay;NA;NA;NA;1989;7;18;J Garcia;Dardón;0;1;0;0;NA;NA;12;APO-003695;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Madrid;Navacerrada;NA;NA;NA;1979;7;18;C P-Iñigo ;Dardón;1;0;0;0;NA;NA;12;APO-003696;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Salamanca;Sanchotello;NA;NA;NA;1977;6;23;S Fdez Gayubo;Dardón;0;1;0;0;NA;NA;12;APO-003697;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;2;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003698;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003699;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Soria;Alalo ;NA;NA;NA;1990;6;12;J Garcia;Dardón;0;1;0;0;NA;NA;12;APO-003700;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Villadiezma;NA;NA;NA;1987;4;26;C Heras;Dardón;0;1;0;0;NA;NA;12;APO-003701;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;fabrella;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;3;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003702;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;meseta;Spain;Madrid;Robledo de Chavela;NA;NA;NA;1979;5;9;C P Iñigo;Dardón;0;1;0;0;NA;NA;12;APO-003703;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;meseta;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;3;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003704;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;fabrella;meseta;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;5;7;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003705;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Navacarros;NA;NA;NA;1977;7;22;S Fdez Gayubo ;Dardón;1;0;0;0;NA;NA;12;APO-003706;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Badajoz;Reina;NA;NA;NA;1985;6;14;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003707;Félix Torres;;;;;;;;;;;;;
