ID;Familia;Especie;Fecha;Localidad;Municipio;Provincia;País;Hábitat;Altitud;Hora;Sexo;Recolector;Identificador;Identificador 2;Identificador 3;Fila;Armario/estantería;Balda;Caja;latitud;longitud;Observaciones;Identificación inicial;Otra identificación posterior
BOS-HYM-N00001;Tenthredinidae;Athalia circularis circularis;28/09/1979;Trubia;Oviedo;Asturias;España;Huerta;;;;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00002;Tenthredinidae;Athalia circularis circularis;28/10/1979;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00003;Tenthredinidae;Athalia circularis circularis;05/10/1979;Llantrales;Grado;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00004;Tenthredinidae;Athalia circularis circularis;05/10/1979;Llantrales;Grado;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00005;Tenthredinidae;Athalia circularis circularis;28/09/1979;Trubia;Oviedo;Asturias;España;Huerta;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00006;Tenthredinidae;Athalia circularis circularis;18/09/1979;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00007;Tenthredinidae;Athalia circularis circularis;18/08/1976;Trubia;Oviedo;Asturias;España;Huerta;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00008;Tenthredinidae;Athalia circularis circularis;02/09/1980;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00009;Tenthredinidae;Athalia rufoscutellata;15/09/1981;Trubia;Oviedo;Asturias;España;Prado con frutales;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00010;Tenthredinidae;Selandria serva;_/05/1976;Pola de Siero;Siero;Asturias;España;;;;Hembra;Carmen S. Lavin;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00011;Tenthredinidae;Selandria padi;28/07/1976;Trubia;Oviedo;Asturias;España;Prado;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00012;Tenthredinidae;Selandria padi;12/06/1980;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00013;Tenthredinidae;Selandria morio;18/06/1980;Trubia;Oviedo;Asturias;España;Prado;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00014;Tenthredinidae;Selandria morio;13/03/1977;Trubia;Oviedo;Asturias;España;Bosque;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00015;Tenthredinidae;Aneugmenus coronatus var. analis;31/07/1981;Trubia;Oviedo;Asturias;España;Prado con frutales;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00016;Tenthredinidae;Strombocerus delicatulus;26/05/1981;Trubia;Oviedo;Asturias;España;Bosque;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00017;Tenthredinidae;Strombocerus delicatulus;15/05/1981;Trubia;Oviedo;Asturias;España;Bosque;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
