Genus,Species,Full name,Country,Province,Locality,Latitude,Longitude,Start date,End date,Collector,Determiner,Source,Female,Male,Worker,Flowers visited
Hoplitis,perezi,Hoplitis perezi,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Lasioglossum,immunitum,Lasioglossum immunitum,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Lasioglossum,interruptum,Lasioglossum interruptum,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,4,,NA,NA
Megachile,sicula,Megachile sicula,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Nomada,fucata,Nomada fucata,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Nomada,merceti,Nomada merceti,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,,2,NA,NA
Nomada,rubricoxa,Nomada rubricoxa,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,4,NA,NA
Nomiapis,albocincta,Nomiapis albocincta,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Nomioides,facilis,Nomioides facilis,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,,1,NA,NA
Panurgus,calcaratus,Panurgus calcaratus,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
Panurgus,canescens,Panurgus canescens,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,1,NA,NA
Systropha,planidens,Systropha planidens,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,Convolvulus altheoides
Trachusa,laeviventris,Trachusa laeviventris,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,,3,NA,NA
Xylocopa,cantabrita,Xylocopa cantabrita,Spain,Sevilla,"Aznalcazar, S of Pinares de Aznalcazar",37.2622,-62.216,21/5/21,21/5/21,T.Wood,T.Wood,TJW Colln.,1,,NA,NA
