Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Anthidium;NA;punctatum;Crta El Bonillo  (7);NA;Ciudad Real;España;10;6;2009;;895;30SWJ299055;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Anthidium;Proanthidium;oblongatum;Ruta de la Laguna Blanca (8);Lagunas de Ruidera;Albacete;España;9;6;2008;;825;30SWJ156083;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Anthidium;Proanthidium;oblongatum;Ruta de la Laguna Blanca (8);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;NA;NA
Anthidium. ;Proanthidium;oblongatum;Laguna Tomilla Entrada camino a la Ruta de la Laguna Blanca (8);Borde de la laguna;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Anthidium. ;Proanthidium;oblongatum;Laguna Tomilla Entrada camino a la Ruta de la Laguna Blanca (8);Borde de la laguna;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;NA;NA
Pseudoanthidium;NA;lituratum;Laguna Tomilla (9);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;UCME;NA
Afranthidium;NA;schultessi;Laguna Tomilla (9);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;1;NA;UCME;NA
Afranthidium;NA;carduele malacopygum;Laguna Tomilla (9);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;UCME;NA
Afranthidium;NA;carduele malacopygum;Laguna Tomilla (9);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C Ornosa;NA;NA;1;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;6;NA;Salamanca;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Anthidium;NA;florentinum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;NA;florentinum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;NA;UCME;NA
Anthidium;NA;florentinum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;NA;florentinum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;Proanthidium;oblongatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidiellum;NA;strigatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;NA;UCME;NA
Anthidium;Proanthidium;oblongatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;1;NA;UCME;NA
Anthidium;Proanthidium;oblongatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;Proanthidium;oblongatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;NA;florentinum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;1;NA;UCME;NA
Anthidium;Proanthidium;oblongatum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Anthidium;NA;florentinum poco desarrollado;Madridejos  (12);NA;Toledo;NA;11;6;2009;;610;30SVJ535682;C. Ornosa/F Torres;C. Ornosa;NA;NA;NA;UCME;NA
Chalicodoma;Chalicodoma;parietina;Subida Veleta (4);Sierra Nevada;Granada;NA;30;6;2009;;2622;30SVG65980458;C. Ornosa;C. Ornosa;NA;NA;1;UCME;NA
Chalicodoma;Chalicodoma;parietina;Subida Veleta (5) un poco más arriba;Sierra Nevada;Granada;NA;30;6;2009;;100 m aprox más arriba;NA;Jesús Gomez;C. Ornosa;NA;NA;1;UCME;NA
Chalicodoma;Chalicodoma;parietina;Subida Veleta Refugio militar;Sierra Nevada;Granada;NA;30;6;2009;;2523;30SVG65560532;C. Ornosa;C. Ornosa;NA;NA;1;UCME;NA
Chalicodoma;Chalicodoma;parietina;Subida Veleta Refugio militar (8);Sierra Nevada;Granada;NA;30;6;2009;;2523;30SVG65560532;C. Ornosa;C. Ornosa;NA;NA;1;UCME;NA
Chalicodoma;Chalicodoma;parietina;Subida Veleta Refugio militar (8);Sierra Nevada;Granada;NA;30;6;2009;;2523;30SVG65560532;C. Ornosa;C. Ornosa;NA;NA;1;UCME;NA
Osmiini;Osmia;emarginata;Cerro Colgado;Cercedilla;Madrid;NA;17;5;2009;;NA;NA;C. Ornosa;F. Torres;NA;NA;1;NA;NA
Pseudoanthidium;Royanth;melanurum;Río Escarra  (3);Valle de Tena;Huesca;NA;9;7;2009;;1160;30TYN19663469;C. Ornosa;C. Ornosa;NA;NA;1;NA;NA
Anthidium;Anthidium;manicatum;Biescas (4)  ;Valle de Tena;Huesca;NA;9;7;2009;;925;30TYN21442178;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Anthidium;Anthidium;manicatum;Biescas (4)  ;Valle de Tena;Huesca;NA;9;7;2009;;925;30TYN21442178;C. Ornosa;C. Ornosa;NA;NA;1;NA;NA
Megachile;Megachile;centuncularis;Biescas (4)  ;Valle de Tena;Huesca;NA;9;7;2009;;925;30TYN21442178;C. Ornosa;J. Ortiz;NA;NA;1;NA;NA
Megachile;lagopoda;NA;Valsaín;Venta de lo Mosquitos;NA;NA;14;7;2009;;NA;NA;R. Outerelo;J.  Ortiz;NA;NA;1;NA;NA
Megachile;Eutricharaea;pilidens;Ribas de Freser  (9);Afueras, crta. Bruguera;Gerona;NA;24;7;2009;;950;NA;C. Ornosa;J. Ortiz;NA;NA;1;NA;NA
Anthidium;Proanthidium;oblongatum;Ribas de Freser  (9);Afueras, crta. Bruguera;Gerona;NA;24;7;2009;;950;NA;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Anthidium;Proanthidium;oblongatum;Ribas de Freser  (9);Afueras, crta. Bruguera;Gerona;NA;24;7;2009;;950;NA;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Anthidium;Proanthidium;oblongatum;Ribas de Freser  (9);Afueras, crta. Bruguera;Gerona;NA;24;7;2009;;950;NA;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Anthidium;Proanthidium;oblongatum;Ribas de Freser  (9);Afueras, crta. Bruguera;Gerona;NA;24;7;2009;;950;NA;C. Ornosa;C. Ornosa;NA;NA;1;NA;NA
Coelioxys;Coelioxys;inermis;Bellver de Cerdanya (10);La Cerdanya;Lérida;NA;25;7;2009;;960;30TXM02929124;C. Ornosa;J. Ortiz;NA;NA;1;NA;NA
Anthidium;Proanthidium;oblongatum;Crta La Molina (11);La Cerdanya;Gerona;NA;25;7;2009;;1690;30TWM85158545;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Anthidium;Proanthidium;oblongatum;Crta La Molina (11);La Cerdanya;Gerona;NA;25;7;2009;;1690;30TWM85158545;C. Ornosa;C. Ornosa;NA;1;NA;NA;NA
Megachile;Eutricharaea;pilidens; ;Venta de lo Mosquitos;NA;NA;24;7;2009;;NA;NA;C. Ornosa;J. Ortiz;NA;NA;1;NA;NA
Megachile;Xanthosarus;maritima;Garganta de los Conventos;Gredos;Á06la;NA;23;7;2009;;NA;NA;E. Anat;J. Ortiz;NA;1;NA;J Botánico/UCME;NA
Anthidium;Proanthidium;oblongatum;Garganta de los Conventos;Gredos;Á06la;NA;24;7;2009;;NA;NA;E. Anat;C. Ornosa;NA;1;NA;J Botánico/UCME;NA
Anthidium;Proanthidium;oblongatum;Garganta de los Conventos;Gredos;Á06la;NA;24;7;2009;;NA;NA;E. Anat;C. Ornosa;NA;NA;1;J Botánico/UCME;NA
Chalicodoma;Chalicodoma;pyrenaica;Sierra Nevada;Sierra Nevada;Granada;NA;24;7;2009;;100 m aprox más arriba;NA;P. Vargas/JL Blanco;J. Ortiz;NA;NA;1;J Botánico/UCME;NA
Chalicodoma;Chalicodoma;pyrenaica;Sierra Nevada;Sierra Nevada;Granada;NA;24;7;2009;;100 m aprox más arriba;NA;P. Vargas/JL Blanco;J. Ortiz;NA;NA;1;J Botánico/UCME;NA
Megachile;NA;lagopoda?;Baqueira. Rudal (8);Pirineos;Lérida;NA;27;7;2006;;1550;NA;C. Ornosa;C. Ornosa;NA;1;NA;J Botánico/UCME;NA
Trachusa;NA;byssina;Canfranc. Estación (1);Pirineos;Huesca;NA;3;7;2009;;1430;NA;C. Ornosa;C. Ornosa;NA;1;NA;J Botánico/UCME;NA
Trachusa;NA;byssina;Ordesa. Pradera (3b);Pirineos;Huesca;NA;4;7;2009;;1310;NA;C. Ornosa;C. Ornosa;NA;NA;1;J Botánico/UCME;NA
Trachusa;NA;byssina;Pto. De la Bonaigua (9);Pirineos;Lérida;NA;4;7;2009;;2072;NA;C. Ornosa;C. Ornosa;NA;NA;1;J Botánico/UCME;NA
Megachile;Xanthosarus;analis;Soldeu Andorra (11);Pirineos;Andorra;Andorra;28;7;2009;;2300;NA;C. Ornosa;J. Ortiz;NA;NA;1;J Botánico/UCME;NA
Megachilini;Xanthosarus;analis;Soldeu Andorra (11);Pirineos;Andorra;Andorra;28;7;2010;;2300;NA;C. Ornosa;J. Ortiz;NA;NA;1;J Botánico/UCME;NA
Stelis;Pseudostelis;signata;Pina de Ebro;NA;Zaragoza;NA;12;8;1990;;NA;NA;J. Blasco;F. Torres/ C. Ornosa;NA;NA;1;Salamanca/UCME;NA
Trachusa;Trachusa;byssina;Puerto de Orihuela;Los Collados;Teruel;NA;2;7;2005;;1620;NA;L. Castro;C. Ornosa;NA;NA;1;Almería/UCME;NA
Pseudoanthidium;Exanthidium;eximium;Río Laroles.  Laroles;Sierra Nevada;Granada;NA;23;7;2006;;1790;30SVF9502;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Pseudoanthidium;Exanthidium;eximium;Puerto de la Ragua. Ferreira;Sierra Nevada;Granada;NA;23;7;2006;;2000;30SVG9708;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Icteranthidium;NA;ferrugineum;Punta de le Hoardada;NA;Alicante;NA;5;9;2006;;5;30SXG9794;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Icteranthidium;NA;ferrugineum;Punta de le Hoardada;NA;Alicante;NA;5;9;2006;;5;30SXG9794;J. Ortiz;C. Ornosa;NA;NA;1;Almería/UCME;NA
Stelis;Pseudostelis;signata;Peñarrubia;Sierra Cambrón;Murcia;NA;8;5;1994;;1000;30SXG1694;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Icteranthidium;NA;grohmanni;Topares;Velez Blanco;Almería;NA;23;7;2005;;1200;30SWG6891;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Icteranthidium;NA;grohmanni;Topares;Velez Blanco;Almería;NA;23;7;2005;;1200;30SWG6891;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Icteranthidium;NA;grohmanni;Alcalá de Henares;Universidad;Madrid;NA;12;9;2008;;610;NA;L. Castro;C. Ornosa;NA;1;NA;Almería/UCME;NA
Pseudoanthidium;Royanthidium;melanurum;Palacio Doñana;Almonte;Huelva;NA;18;6;2005;;2;29SQA2897;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Pseudoanthidium;Royanthidium;melanurum;Palacio Doñana;Almonte;Huelva;NA;18;6;2005;;2;29SQA2897;J. Ortiz;C. Ornosa;NA;NA;1;Almería/UCME;NA
Anthidiellum;Anthidiellum;strigatum;Puerto Orihuela;Los Collados;Teruel;NA;2;7;2005;;NA;NA;L. Castro;C. Ornosa;NA;1;NA;Almería/UCME;NA
Anthidiellum;Anthidiellum;strigatum;Ja06er;NA;Navarra;NA;3;7;2008;;NA;30TXN4618;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Pseudoanthidium;Royanthidium;reticulatum;Berja;Sª Gádor;Almería;NA;16;5;2006;;500;30SWF0679;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Anthidiellum;NA;strigatum;Alcalá de Henares;Universidad;Madrid;NA;12;8;2008;;600;NA;L. Castro;C. Ornosa;NA;1;NA;Almería/UCME;NA
Stelis;Pseudostelis;signata;Fuentemilanos;NA;Sego06a;NA;3;8;2009;;1025;30TUL9625;J. Ortiz;C. Ornosa;NA;NA;1;Salamanca/UCME;NA
Afranthidium;NA;shultessi;Río Laroles.  Laroles;Sierra Nevada;Granada;NA;23;7;2006;;1790;30SVF9502;J. Ortiz;C. Ornosa;NA;NA;1;Almería/UCME;NA
Trachusa;Trachusa;byssina;Puerto de Orihuela;Los Collados;Teruel;NA;2;7;2005;;1620;NA;L. Castro;C. Ornosa;NA;1;NA;Almería/UCME;NA
Rhodanthidium;NA;infuscatum;Foz de Lumbier;NA;Navarra;NA;8;7;2008;;445;30TXN3822;J. Ortiz;C. Ornosa;NA;1;NA;Almería/UCME;NA
Trachusa;NA;laticeps;Cortijo de la Cruz. Dalías;Sierra Gádor;Sierra Gádor;NA;14;6;2007;;1430;30SWf1979;J. Ortiz;C. Ornosa;NA;NA;1;Almería/UCME;NA
Anthidiellum;Anthidiellum;strigatum;Taradell;NA;Barcelona;NA;25;7;2009;;NA;NA;J. Bosch;C. Ornosa;NA;1;NA;UCME;NA
Anthidiellum;Anthidiellum;strigatum;Taradell;NA;Barcelona;NA;25;7;2009;;NA;NA;J. Bosch;C. Ornosa;NA;1;NA;UCME;NA
Pseudoanthidium;NA;lituratum;Taradell;NA;Barcelona;NA;15;7;2009;;NA;NA;J. Bosch;C. Ornosa;NA;1;NA;UCME;NA
Pseudoanthidium;NA;lituratum;Taradell;NA;Barcelona;NA;15;7;2009;;NA;NA;J. Bosch;C. Ornosa;NA;1;NA;UCME;NA
