id;FAMILIA;GeNERO;SUBGÃ‰NERO;ESPECIE;SUBESPECIE;SEXO;DÃA;MES;AÃ‘O;LOCALIDAD;PROVINCIA;COLECTOR;DETERMINADOR;en quÃ© planta
OA43;NA;Andrena;Suandrena;suerinensis;NA;Macho;13;5;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Eruca  vesicaria
OA44;NA;Andrena;NA;morio;NA;Hembra;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Silybum marianum
OA45;NA;Panurgus;NA;banksianus;NA;Hembra;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA46;NA;Panurgus;NA;banksianus;NA;Hembra;14;4;2016;Toro;Za;G. Aguado;L.O. A.M;Taraxacum officinalis
OA47;NA;Andrena;NA;thoracica;NA;Hembra;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA48;NA;Andrena;NA;thoracica;NA;Macho;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA49;NA;Andrena;NA;thoracica;NA;Macho;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;NA
OA50;NA;Andrena;Hoplandrena;trimmerana;NA;Hembra;14;5;2016;Olmedo;Va;G. Aguado;L.O. A.M;Cirsium arvense
OA51;NA;Andrena;Hoplandrena;trimmerana;NA;Hembra;14;5;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Cirsium arvense
OA52;NA;Andrena;Hoplandrena;trimmerana;NA;Hembra;14;5;2016;Olmedo;Va;G. Aguado;L.O. A.M;Cirsium arvense
OA53;NA;Andrena;NA;nitida;NA;Hembra;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;Centaurea sp.
OA54;NA;Andrena;NA;nitida;NA;Hembra;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Cirsium arvense
OA55;NA;Andrena;Zonandrena;flavipes;NA;Macho;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA56;NA;Andrena;Zonandrena;flavipes;NA;Macho;13;5;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Centaurea sp.
OA57;NA;Andrena;Zonandrena;flavipes;NA;Macho;12;4;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Crataegus monogyna
OA58;NA;Andrena;Zonandrena;flavipes;NA;Macho;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA59;NA;Andrena;Zonandrena;flavipes;NA;Macho;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA60;NA;Andrena;Zonandrena;flavipes;NA;Hembra;14;5;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Echium vulgare
OA61;NA;Andrena;Zonandrena;flavipes;NA;Hembra;14;5;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA62;NA;Andrena;Zonandrena;flavipes;NA;Macho;14;5;2016;Olmedo;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA63;NA;Andrena;Zonandrena;flavipes;NA;NA;25;8;2016;Toro;Za;G. Aguado;L.O. A.M;Eryngium campestre
OA64;NA;Andrena;Zonandrena;flavipes;NA;NA;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA65;NA;Andrena;Plastandrena;pilipes;NA;Macho;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;NA
OA66;NA;Andrena;Plastandrena;pilipes;NA;Hembra;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA67;NA;Andrena;Plastandrena;pilipes;NA;Hembra;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA68;NA;Andrena;Plastandrena;pilipes;NA;Hembra;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA69;NA;Andrena;Plastandrena;pilipes;NA;Hembra;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA70;NA;Andrena;Agandrena;agilissima;NA;Macho;13;5;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Eruca  vesicaria
OA71;NA;Andrena;Melandrena;albopunctata;NA;Hembra;11;6;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA72;NA;Andrena;Melandrena;albopunctata;NA;Hembra;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA73;NA;Andrena;Melandrena;albopunctata;NA;Hembra;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA74;NA;Andrena;NA;ovatula;NA;Macho;14;5;2016;Olmedo;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA75;NA;Andrena;NA;ovatula;NA;Macho;13;5;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Thapsia villosa
OA76;NA;Andrena;NA;ovatula;NA;Macho;14;5;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Achillea millefolium
OA77;NA;Andrena;NA;ovatula;NA;Macho;12;4;2016;auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Lamium Amplexicaule
OA78;NA;Andrena;NA;ovatula;NA;Hembra;14;5;2016;hornillos de Eresma;Va;G. Aguado;L.O. A.M;Thapsia villosa
OA79;NA;Andrena;NA;ovatula;NA;Hembra;13;5;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Thapsia villosa
OA80;NA;Andrena;Melanapis;fuscosa;NA;Macho;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA81;NA;Andrena;NA;fuscosa;fuscosa;Macho;11;6;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA82;NA;Andrena;NA;fuscosa;fuscosa;Macho;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA83;NA;Andrena;Melandrena;hispania;NA;Hembra;10;6;2016;Hornillos de Eresma;NA;G. Aguado;L.O. A.M;Eryngium campestre
OA84;NA;Pangonius;Melapangonius;micans;NA;Macho;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;Centaurea sp.
OA85;NA;Pangonius;NA;micans;NA;Hembra;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA86;NA;Bombylius;Zephyrectes;cruciatus;NA;Macho;15;7;2016;Hornillos de Eresma;Va;G. Aguado;P. A. Fidalgo;Cirsium arvense
