",""id"",""genus"",""species"",""num_individuals"",""sex"",""m_IT"",""day"",""month"",""year"",""collector"",""taxonomist"",""Lat2"",""Long2"""
"135,NA,""Megachile"",""centuncularis"",1,""female"",3.5,NA,NA,1972,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"136,3895,""Osmia"",""caerulescens"",1,""female"",2,12,5,1979,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"137,3411,""Stelis"",""punctulatissima"",1,""female"",2.5,NA,NA,1980,""E. Asensio"",""Van Der Zanden "",41.698036,-4.708621"
"138,3626,""Megachile"",""pilidens"",1,""female"",NA,27,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"139,3660,""Megachile"",""rotundata"",2,""female"",NA,NA,NA,1980,""E. Asensio"",""Tkalcu M.pacifica Pz."",41.698036,-4.708621"
"140,4241,""Colletes"",""albomaculatus"",1,""female"",NA,22,6,1976,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"141,4449,""Prosopis"",""sinuatus"",1,""male"",1.1,13,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"142,3661,""Megachile"",""rotundata"",5,""female"",NA,NA,NA,1981,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"143,3308,""Anthidium"",""oblongatum"",1,""female"",3.8,13,7,1983,""E. Asensio"",""Van Der Zanden"",41.698036,-4.708621"
"144,3671,""Megachile"",""rotundata"",1,""male"",2.4,NA,NA,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"145,3235,""Pseudoanthidium"",""lituratum"",2,""female"",NA,NA,NA,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"146,4213,""Hoplitis"",""tridentata"",1,""male"",3,NA,NA,1983,""n? 27,21,40 E. Asensio"",""G. v. d. Zanden solo tridentata"",41.698036,-4.708621"
"147,3474,""Megachile"",""centuncularis"",2,""male"",2.8,NA,NA,1983,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"148,4014,""Osmia"",""fulviventris"",1,""male"",2.5,17,6,1979,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"149,3868,""Anthocopa"",""bisulca"",3,""male"",NA,NA,NA,NA,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"150,3665,""Megachile"",""rotundata"",1,""male"",NA,NA,NA,1982,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"151,3245,""Pseudoanthidium"",""lituratum"",5,""male"",NA,NA,NA,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"152,3564,""Megachile"",""maritima"",1,""male"",4.8,27,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.698036,-4.708621"
"153,3408,""Stelis"",""punctulatissima"",1,""female"",NA,NA,NA,1979,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"154,3672,""Megachile"",""rotundata"",1,""female"",NA,NA,NA,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"155,3862,""Anthocopa"",""bisulca"",1,""female"",NA,11,7,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"156,3449,""Megachile"",""apicalis"",2,""male"",2,NA,NA,1983,""E. Asensio"",""Van Der Zanden "",41.698036,-4.708621"
"157,4364,""Prosopis"",""clypearis"",1,""male"",0.3,13,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"158,3970,""Osmia"",""dimidiata"",1,""male"",2.4,17,6,1979,""E. Asensio"",""correg? a G. v. d. Zanden"",41.698036,-4.708621"
"159,3497,""Megachile"",""centuncularis"",2,""female"",NA,NA,NA,1983,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"160,4130,""Hoplitis"",""rufohirta"",1,""female"",1.9,16,6,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"161,4797,""Melitta"",""leporina"",3,""male"",NA,27,6,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"162,3524,""Megachile"",""ericetorum"",2,""female"",NA,12,7,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"163,3948,""Hoplitis"",""crenulata"",1,""female"",NA,4,7,1984,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"164,4476,""Prosopis"",""variegatus"",1,""male"",1.2,12,7,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"165,3668,""Megachile"",""rotundata"",1,""female"",2.9,NA,NA,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"166,3447,""Megachile"",""apicalis"",5,""female"",NA,NA,NA,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"167,3446,""Megachile"",""apicalis"",9,""male"",NA,NA,NA,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"168,4343,""Prosopis"",""brevicornis"",1,""male"",0.9,13,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"169,3203,""Anthidium"",""florentinum"",2,""female"",NA,27,6,1982,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"170,4181,""Osmia"",""tricornis"",1,""male"",3,22,5,1976,""E. Asensio"",""tkalcu"",41.698036,-4.708621"
"171,3864,""Anthocopa"",""bisulca"",1,""female"",4,4,7,1984,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"172,3197,""Anthidium"",""florentinum"",1,""female"",4.6,29,6,1978,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"173,3414,""Stelis"",""punctulatissima"",1,""female"",NA,4,7,1984,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"174,4221,""Metallinella"",""brevicornis"",1,""female"",3,22,5,1974,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"175,3254,""Pseudoanthidium"",""lituratum"",1,""female"",2.1,NA,NA,1985,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"176,4431,""Hylaeus"",""pictus"",1,""male"",NA,4,7,1984,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"177,3442,""Megachile"",""apicalis"",2,""male"",1,NA,10,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"178,5041,""Ceratina"",""cucurbitina"",1,""male"",0.9,27,6,1982,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"186,3979,""Osmia"",""emarginata"",1,""female"",5,13,5,1976,""E. Asensio"",""Tkalcu"",40.452735,-6.120541"
"187,5260,""Sphecodes"",""ruficrus"",1,""female"",2,13,5,1976,""E. Asensio"",""Warncke"",40.452735,-6.120541"
"188,3979,""Osmia"",""emarginata"",2,""female"",NA,13,5,1976,""E. Asensio"",""Tkalcu"",40.452735,-6.120541"
"189,4734,""Bombus"",""terrestris"",10,""female"",NA,13,5,1976,""E. Asensio"",""Tkalcu"",40.452735,-6.120541"
"190,3149,""Lasioglossum"",""xanthopum"",1,""female"",3,13,5,1976,""E. Asensio"",""Asensio"",40.452735,-6.120541"
"191,3024,""Lasioglossum"",""albocinctum"",1,""female"",2.9,13,5,1976,""E. Asensio"",""Ebmer"",40.452735,-6.120541"
"192,4921,""Xylocopa"",""violacea"",1,""female"",7,13,5,1976,""E. Asensio"",""Asensio"",40.452735,-6.120541"
"193,4734,""Bombus"",""terrestris"",1,""female"",7.8,13,5,1976,""E. Asensio"",""Tkalcu"",40.452735,-6.120541"
"194,4922,""Xylocopa"",""violacea"",1,""male"",6.5,13,5,1976,""E. Asensio"",""Asensio"",40.452735,-6.120541"
"195,3044,""Lasioglossum"",""bimaculatum"",1,""female"",NA,13,5,1976,""E. Asensio"",""Ebmer"",40.452735,-6.120541"
"281,1885,""Anthophora"",""atroalba"",1,""male"",4.5,NA,6,1971,""E. Asensio"",""Asensio"",37.318546,-5.405757"
"282,1884,""Anthophora"",""atroalba"",1,""female"",5,NA,6,1971,""E. Asensio"",""Lieftinck"",37.318546,-5.405757"
"319,55,""Coelioxys"",""afra"",1,""male"",2.2,20,8,1971,""E. Asensio"",""Pasteels"",41.643131,-4.748269"
"332,232,""Thyreus"",""ramosus"",1,""female"",3,9,10,1972,""To?o"",""Lieftinck"",37.424518,-5.986031"
"333,806,""Andrena"",""flavipes"",1,""male"",NA,19,3,1983,""E. Asensio"",""Warncke"",41.643099,-4.747883"
"334,1211,""Andrena"",""spreta"",2,""female"",NA,19,3,1983,""E. Asensio"",""Warncke"",41.643099,-4.747883"
"335,953,""Andrena"",""medeninensis"",1,""female"",NA,19,3,1983,""E. Asensio"",""Warncke"",41.643099,-4.747883"
"336,1549,""Eucera"",""trivittata"",2,""male"",NA,19,3,1983,""E. Asensio"",""Asensio"",41.643099,-4.747883"
"337,NA,""Andrena"",""spreta"",1,""male"",1.1,19,3,1983,""E. Asensio"",""Warncke"",41.643099,-4.747883"
"338,1476,""Eucera"",""nigrilabris"",4,""male"",NA,19,3,1983,""E. Asensio"",""Asensio"",41.643099,-4.747883"
"341,1179,""Andrena"",""schencki"",1,""male"",1.6,9,6,1972,""E. Asensio"",""Warncke"",41.643131,-4.748269"
"342,1098,""Andrena"",""ovatula"",2,""female"",NA,NA,6,1972,""E. Asensio"",""Warncke"",41.643131,-4.748269"
"343,261,""Biastes"",""brevicornis"",2,""female"",NA,NA,6,1974,""E. Asensio"",""Asensio"",41.525359,-5.392351"
"344,260,""Biastes"",""brevicornis"",1,""male"",1.2,NA,6,1974,""E. Asensio"",""Asensio"",41.525359,-5.392351"
"345,263,""Epeolus"",""cruciger"",1,""female"",1.7,9,6,1974,""E. Asensio"",""Warncke"",41.525359,-5.392351"
"346,249,""Ammobates"",""punctatus"",1,""female"",2,9,6,1974,""E. Asensio"",""Asensio"",41.525359,-5.392351"
"347,NA,""Biastes"",""brevicornis"",1,""female"",2,NA,6,1974,""E. Asensio"",""Asensio"",41.525359,-5.392351"
"379,1149,""Andrena"",""pandosa"",1,""female"",NA,10,6,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"380,593,""Andrena"",""carbonaria"",1,""female"",3.9,13,5,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"381,1128,""Andrena"",""ovatula"",1,""female"",NA,13,5,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"382,1563,""Eucera"",""tuberculata"",4,""male"",NA,13,5,1979,""E. Asensio"",""Tkalcu"",41.900884,-4.864371"
"383,1030,""Andrena"",""nitida"",1,""female"",NA,10,6,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"384,1150,""Andrena"",""pandosa"",1,""male"",0.8,10,6,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"385,594,""Andrena"",""carbonaria"",1,""male"",2.4,13,5,1979,""E. Asensio"",""Warncke"",41.900884,-4.864371"
"386,2224,""Tetralonia"",""berlandi"",1,""male"",5,13,5,1979,""E. Asensio"",""Tkalcu"",41.863553,-4.859384"
"387,1845,""Anthophora"",""aestivalis"",3,""female"",4,NA,6,1979,""E. Asensio"",""Tkalcu"",41.863553,-4.859384"
"388,1844,""Anthophora"",""aestivalis"",2,""male"",3.5,NA,6,1979,""E. Asensio"",""Tkalcu"",41.863553,-4.859384"
"389,1830,""Anthophora"",""acervorum"",2,""male"",4.5,13,5,1979,""E. Asensio"",""Asensio"",41.863553,-4.859384"
"390,184,""Melecta"",""luctuosa"",1,""male"",2.4,13,5,1979,""E. Asensio"",""Tkalcu"",41.863553,-4.859384"
"408,2113,""Anthophora"",""sp b"",1,""female"",NA,5,6,1979,""E. Asensio"",""Tkalcu"",42.231878,-8.363188"
"413,2030,""Anthophora"",""leucophaea"",2,""male"",NA,2,3,1984,""A. Lacasa"",""Asensio"",37.886829,-1.354663"
"414,2067,""Anthophora"",""pubescens"",4,""male"",3,11,3,1985,""E. Asensio"",""Asensio"",37.886829,-1.354663"
"415,2040,""Anthophora"",""leucophaea"",1,""male"",NA,11,3,1985,""E. Asensio"",""Asensio"",37.886829,-1.354663"
"416,2066,""Anthophora"",""pubescens"",3,""male"",3,19,2,1985,""E. Asensio"",""Asensio"",37.886829,-1.354663"
"417,1983,""Anthophora"",""ferruginea"",2,""female"",6,20,5,1985,""E. Asensio de A. Lacasa"",""Asensio"",37.886829,-1.354663"
"418,1984,""Anthophora"",""ferruginea"",7,""male"",5,20,5,1985,""E. Asensio de A. Lacasa"",""Asensio"",37.886829,-1.354663"
"419,1071,""Andrena"",""obsoleta"",1,""female"",1.2,2,3,1984,""A. Lacasa"",""Asensio"",37.886829,-1.354663"
"426,1802,""Anthophora"",""acervorum"",2,""female"",5,25,4,1974,""E. Asensio"",""Asensio"",41.951498,-5.283"
"427,1927,""Anthophora"",""crinipes"",3,""male"",NA,18,5,1972,""E. Asensio"",""Lieftinck"",41.951498,-5.283"
"428,1949,""Anthophora"",""crinipes"",1,""female"",4,22,5,1978,""E. Asensio"",""J. Herrera"",41.951498,-5.283"
"429,154,""Lithurgus"",""chrysurus"",1,""female"",3.5,20,7,1979,""E. Asensio"",""Van Der Zanden"",41.951498,-5.283"
"430,167,""Lithurgus"",""cornutus"",7,""male"",NA,20,7,1979,""E. Asensio"",""Van Der Zanden"",41.951498,-5.283"
"431,166,""Lithurgus"",""cornutus"",2,""female"",NA,20,7,1979,""E. Asensio"",""Van Der Zanden"",41.951498,-5.283"
"472,1653,""Nomada"",""fucata"",3,""male"",NA,NA,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"473,2642,""Lasioglossum"",""ibericum"",1,""male"",0.4,4,7,1984,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
