",""id"",""genus"",""species"",""num_individuals"",""sex"",""m_IT"",""day"",""month"",""year"",""collector"",""taxonomist"",""Lat2"",""Long2"""
"1556,1721,""Nomada"",""mutabilis"",1,""female"",1,15,6,1981,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1557,1721,""Nomada"",""mutabilis"",2,""female"",NA,15,6,1981,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1558,5078,""Ceratina"",""cyanea"",1,""female"",NA,15,6,1981,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1559,3231,""Pseudoanthidium"",""lituratum"",1,""female"",2,NA,NA,NA,""F. D. Parker"",""Van Der Zanden"",41.257376,-3.927324"
"1560,1595,""Nomada"",""basalis"",1,""female"",2,15,6,1981,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1561,248,""Ammobates"",""muticus"",1,""female"",3,15,6,1981,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1562,4941,""Ceratina"",""callosa"",2,""male"",NA,NA,NA,NA,NA,""Daly"",41.257376,-3.927324"
"1563,4950,""Ceratina"",""callosa"",1,""male"",1.6,21,10,1981,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1564,5058,""Ceratina"",""cyanea"",3,""male"",NA,26,9,1977,NA,""Daly"",41.257376,-3.927324"
"1565,908,""Andrena"",""labiata"",1,""male"",NA,11,6,1980,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1566,5058,""Ceratina"",""cyanea"",1,""male"",1,26,9,1977,NA,""Daly"",41.257376,-3.927324"
"1567,5322,""Nomia"",""diversipes"",1,""female"",2.9,15,6,1981,""E. Asensio"",""G. v. d. Zanden"",41.257376,-3.927324"
"1568,2238,""Tetralonia"",""fulvescens"",2,""male"",3,15,6,1981,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1569,3232,""Pseudoanthidium"",""lituratum"",1,""male"",1.9,NA,NA,NA,""F. D. Parker"",""Van Der Zanden"",41.257376,-3.927324"
"1570,5150,""Sphecodes"",""alternatus"",1,""female"",1.75,15,6,1981,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1571,2208,""Heliophila"",""bimaculata"",1,""female"",NA,15,6,1981,""E. Asensio"",""J. Herrera"",41.257376,-3.927324"
"1572,4975,""Ceratina"",""chalcites"",1,""male"",1.9,NA,NA,1979,""E. Asensio"",""Asensio"",41.257376,-3.927324"
"1573,18,""Heriades"",""maroccana"",1,""male"",NA,15,6,1981,""E. Asensio"",""Van Der Zanden"",41.257376,-3.927324"
"1574,5077,""Ceratina"",""cyanea"",6,""male"",NA,21,10,1981,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1575,4949,""Ceratina"",""callosa"",2,""female"",NA,NA,NA,1979,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1576,5281,""Sphecodes"",""spinulosus"",1,""male"",NA,14,6,1975,""E. Asensio"",""Warncke"",41.257376,-3.927324"
"1577,5076,""Ceratina"",""cyanea"",1,""female"",1.1,21,10,1981,""E. Asensio"",""Tkalcu"",41.257376,-3.927324"
"1578,4942,""Ceratina"",""callosa"",1,""female"",1.6,NA,NA,NA,NA,""Daly"",41.257376,-3.927324"
"1581,3417,""Stelis"",""signata"",2,""female"",2,7,7,1983,""E. Asensio"",""Asensio"",41.652174,-5.996549"
"1582,NA,""Stelis"",""signata"",1,""male"",2,7,7,1983,""E. Asensio"",""Asensio"",41.652174,-5.996549"
"1583,NA,""Sphecodes"",""pseudofasciatus"",1,""female"",0.8,27,7,1987,""A. Rueda  (Univ. Salamanca)"",""Schwarz"",37.005561,-1.941065"
"1584,2460,""Halictus"",""seladonius"",10,""male"",1,28,7,1987,""A. Rueda"",""Asensio"",37.003916,-1.934542"
"1585,5125,""Ceratina"",""nigrolabiata"",1,""female"",1.1,28,7,1987,""A. Rueda  (Univ. Salamanca)"",""Asensio"",37.003916,-1.934542"
"1589,4285,""Colletes"",""fodiens"",2,""male"",2.5,7,8,1985,""C. Heras y A. Espeso (Univ. Salamanca)"",""Asensio"",41.120984,-4.266644"
"1590,4310,""Colletes"",""ligatus"",1,""female"",NA,7,8,1985,""A. Espeso (Univ. Salamanca)"",""Schwarz"",41.120984,-4.266644"
"1591,2129,""Amegilla"",""fasciata"",1,""female"",NA,4,4,1983,""Arranz (Univ. Salamanca)"",""Tkalcu"",36.702516,-3.442194"
"1594,1805,""Anthophora"",""acervorum"",1,""female"",5,13,3,1975,""E. Asensio"",""Asensio"",41.602232,-4.548941"
"1595,769,""Andrena"",""flavipes"",1,""female"",NA,30,7,1975,""E. Asensio"",""Warncke"",41.602232,-4.548941"
"1596,1806,""Anthophora"",""acervorum"",1,""male"",NA,13,3,1975,""E. Asensio"",""Asensio"",41.602232,-4.548941"
"1597,506,""Andrena"",""assimilis"",1,""male"",NA,30,7,1975,""E. Asensio"",""Warncke"",41.602232,-4.548941"
"1598,3923,""Osmia"",""cornuta"",1,""male"",2.9,13,3,1975,""E. Asensio"",""Tkalcu"",41.603313,-4.549422"
"1600,1615,""Nomada"",""carnifex"",1,""male"",1.8,15,4,1985,""M. Rodr?guez (Univ. Salamanca)"",""Schwarz"",40.978801,-5.76145"
"1601,1431,""Eucera"",""eucneidea"",1,""female"",NA,5,6,1976,""S. Fdez. Gayubo  (Univ. Salamanca)"",""Tkalcu"",43.510548,-5.602528"
"1602,3265,""Anthidium"",""manicatum"",1,""male"",5,25,9,1972,""E. Asensio, m?o de To?o"",""Asensio"",36.712907,-4.629587"
"1608,4132,""Anthocopa"",""serrilabris"",1,""female"",4,15,7,1986,""A. Rueda  (Univ. Salamanca)"",""Asensio"",42.056442,-4.643519"
"1609,255,""Ammobates"",""rufiventris"",1,""female"",2,15,7,1986,""F. L?pez"",""Asensio"",42.056442,-4.643519"
"1610,3598,""Megachile"",""picicornis"",1,""female"",3,15,7,1986,""A. Rueda  (Univ. Salamanca)"",""Asensio"",42.056442,-4.643519"
"1611,61,""Coelioxys"",""afra"",1,""female"",2.5,15,7,1986,""F. L?pez"",""F.Torres"",42.056442,-4.643519"
"1613,2643,""Lasioglossum"",""ibericum"",1,""male"",NA,15,7,1986,""F. L?pez (Univ. Salamanca)"",""Ebmer"",42.056786,-4.644565"
"1614,125,""Dioxys"",""cincta"",1,""female"",2.9,NA,NA,1973,""E. Asensio"",""Asensio"",40.981513,-1.45912e-07"
"1615,3784,""Osmia"",""bidentata"",6,""female"",3.2,NA,NA,1973,""E. Asensio"",""Asensio (1hembra conf. Tk.)"",40.981343,-0.145804"
"1616,3783,""Osmia"",""bidentata"",1,""male"",NA,NA,NA,1973,""E. Asensio"",""Asensio (1hembra conf. Tk.)"",40.981343,-0.145804"
"1617,NA,""Osmia"",""anceyi"",1,""female"",3,NA,NA,1973,""E. Asensio"",""Asensio"",40.981343,-0.145804"
"1618,3728,""Osmia"",""adunca"",13,""male"",NA,NA,NA,1973,""E. Asensio"",""Asensio"",40.981343,-0.145804"
"1619,3729,""Osmia"",""adunca"",12,""female"",NA,NA,NA,1973,""E. Asensio"",""Asensio"",40.981343,-0.145804"
"1622,127,""Dioxys"",""cincta"",1,""male"",NA,NA,NA,1974,""E. Asensio"",""Warncke"",41.337631,-3.789226"
"1623,136,""Dioxys"",""rotundata"",1,""female"",1.4,NA,NA,1974,""E. Asensio"",""Asensio"",41.337631,-3.789226"
"1624,137,""Dioxys"",""rotundata"",1,""male"",1,NA,NA,1974,""E. Asensio"",""Asensio"",41.337631,-3.789226"
"1625,4216,""Osmia"",""viridiana"",1,""female"",1.4,15,6,1979,""E. Asensio"",""G. v. d. Zanden"",41.337873,-3.788732"
"1640,4477,""Prosopis"",""variegatus"",1,""female"",NA,18,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1641,741,""Andrena"",""flavipes"",1,""male"",2.4,8,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1642,991,""Andrena"",""nigroaenea"",3,""male"",2.3,8,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1643,3421,""Megachile"",""albisecta"",1,""male"",4,18,9,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1644,3448,""Megachile"",""apicalis"",1,""female"",2.5,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1645,NA,""Andrena"",""congruens"",1,""female"",2.2,15,4,1984,""J. Herrera"",""Warncke"",38.125509,-2.718551"
"1646,3354,""Anthidium"",""taeniatum"",1,""female"",3,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1647,3632,""Megachile"",""pilidens"",1,""male"",3,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1648,2499,""Halictus"",""subauratus"",3,""female"",NA,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1649,628,""Andrena"",""congruens"",2,""female"",NA,15,4,1984,""J. Herrera"",""Warncke"",38.125509,-2.718551"
"1650,2007,""Anthophora"",""fulvodimidiata"",2,""female"",NA,16,8,1982,""J. Herrera"",""Tkalcu"",38.125509,-2.718551"
"1651,2580,""Lasioglossum"",""capitale"",1,""female"",NA,8,4,1983,""J. Herrera"",""Ebmer"",38.125509,-2.718551"
"1652,2581,""Lasioglossum"",""capitale"",1,""female"",NA,15,4,1984,""J. Herrera"",""Ebmer"",38.125509,-2.718551"
"1653,5116,""Ceratina"",""mocsaryi"",2,""male"",NA,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1654,NA,""Eucera"",""decolorata"",3,""male"",2.8,11,7,1986,""C. M. Herrera"",""L. O. Aguado"",38.125509,-2.718551"
"1655,NA,""Andrena"",""nigriceps"",1,""male"",3,20,4,1988,""C. Herrera"",""L. O. Aguado"",38.125509,-2.718551"
"1656,5074,""Ceratina"",""cyanea"",1,""female"",NA,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1657,5115,""Ceratina"",""mocsaryi"",1,""female"",2,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1658,4119,""Osmia"",""rufa"",3,""male"",NA,8,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1659,5115,""Ceratina"",""mocsaryi"",2,""female"",NA,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1660,3035,""Lasioglossum"",""albocinctum"",1,""female"",NA,17,8,1985,""Carlos Herrera"",""Asensio"",38.125509,-2.718551"
"1661,2831,""Lasioglossum"",""nigripes"",1,""female"",NA,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1662,NA,""Andrena"",""nigriceps"",1,""male"",3,15,4,1988,""C. Herrera"",""L. O. Aguado"",38.125509,-2.718551"
"1663,3170,""Anthidiellum"",""breviusculum"",1,""female"",2.2,6,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1664,2411,""Halictus"",""scabiosae"",2,""female"",2.5,17,8,1985,""Carlos Herrera"",""Asensio  "",38.125509,-2.718551"
"1665,3631,""Megachile"",""pilidens"",6,""female"",NA,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1666,1307,""Andrena"",""variabilis"",2,""female"",NA,10,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1667,3116,""Lasioglossum"",""pallens"",1,""female"",NA,15,4,1984,""J. Herrera"",""Ebmer"",38.125509,-2.718551"
"1668,2843,""Lasioglossum"",""parvulum"",1,""female"",1.3,21,3,1990,""C. M. Herrera"",""Ebmer"",38.125509,-2.718551"
"1669,3170,""Anthidiellum"",""breviusculum"",4,""female"",NA,6,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1670,1282,""Andrena"",""trimmerana"",1,""female"",3,8,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1671,3571,""Megachile"",""melanopyga"",1,""female"",4,15,9,1984,""J. Herrera"",""Tkalcu"",38.125509,-2.718551"
"1672,2785,""Lasioglossum"",""mediterraneum"",1,""female"",1.8,8,4,1983,""J. Herrera"",""Ebmer"",38.125509,-2.718551"
"1673,NA,""Andrena"",""praecox"",1,""female"",3,15,4,1988,""C. M. Herrera"",""L. O. Aguado"",38.125509,-2.718551"
"1674,NA,""Eucera"",""decolorata"",1,""female"",3.3,NA,NA,NA,""C. M. Herrera"",""L. O. Aguado"",38.125509,-2.718551"
"1675,2432,""Halictus"",""tetrazonius"",1,""female"",2,15,8,1984,""J. Herrera"",""Ebmer"",38.125509,-2.718551"
"1676,5108,""Ceratina"",""mocsaryi"",1,NA,NA,29,5,1974,""Torchio y Asensio"",NA,38.125509,-2.718551"
"1677,1275,""Andrena"",""tibialis"",4,""male"",NA,8,4,1983,""J. Herrera"",""Det. 2 Warncke y 2 Asensio"",38.125509,-2.718551"
"1678,1275,""Andrena"",""tibialis"",4,""male"",2.1,8,4,1983,""J. Herrera"",""Det. 2 Warncke y 2 Asensio"",38.125509,-2.718551"
"1679,609,""Andrena"",""carbonaria"",1,""male"",2.5,8,4,1983,""J. Herrera"",""Warncke"",38.125509,-2.718551"
"1680,3939,""Osmia"",""cornuta"",2,""male"",NA,NA,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1681,4998,""Ceratina"",""chalybea"",1,NA,NA,29,5,1974,""Torchio y Asensio"",NA,38.125509,-2.718551"
"1682,NA,""Anthophora"",""crassipes"",1,""male"",NA,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1683,1283,""Andrena"",""trimmerana"",3,""male"",NA,15,4,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1684,2144,""Amegilla"",""garrula"",1,""female"",5,NA,NA,NA,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1685,4983,""Ceratina"",""chalcites"",1,NA,NA,29,5,1974,""Torchio y yo"",""Daly"",38.125509,-2.718551"
"1686,3321,""Rhodanthidium"",""septemdentatum"",1,""male"",NA,17,8,1985,""C.Herrera"",""Asensio"",38.125509,-2.718551"
"1687,3583,""Megachile"",""octosignata"",1,""female"",NA,17,8,1985,""C. Herrera"",""Asensio"",38.125509,-2.718551"
"1688,992,""Andrena"",""nigroaenea"",1,""female"",NA,15,4,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1689,3938,""Osmia"",""cornuta"",2,""female"",NA,NA,4,1983,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1690,5021,""Ceratina"",""cucurbitina"",1,NA,NA,29,5,1974,""Torchio y Asensio"",NA,38.125509,-2.718551"
"1691,1922,""Anthophora"",""crassipes"",3,""male"",NA,15,8,1984,""J. Herrera"",""Asensio"",38.125509,-2.718551"
"1692,492,""Andrena"",""angustior"",2,""female"",NA,25,1,1988,""J. Ort?z"",""Asensio"",36.814301,-3.696031"
"1704,4321,""Colletes"",""similis"",1,""female"",2.7,12,10,1983,""J. Bosch Esteva (Univ. Salamanca)"",""Warncke"",41.483602,2.123899"
"1705,1409,""Eucera"",""clypeata"",1,""male"",3,18,6,1965,""L. Moreda"",NA,37.883926,-6.777429"
"1706,2864,""Lasioglossum"",""pauperatum"",1,""female"",NA,20,4,1986,""E. Asensio"",""Asensio"",42.867118,-4.499199"
"1713,3353,""Anthidium"",""taeniatum"",1,""female"",NA,20,8,1978,NA,""Asensio"",40.571929,-3.163843"
"1714,NA,""Anthophora"",""atroalba"",1,""female"",4,18,3,1983,""A. Lacasa"",""L. O. Aguado"",38.240915,-1.420249"
"1715,2216,""Tetralonia"",""atroalba"",1,""female"",5.2,10,3,1983,""E. Asensio"",""Tkalcu"",38.240915,-1.420249"
"1716,2892,""Lasioglossum"",""planulum"",1,""female"",1,10,3,1983,""E. Asensio"",""Ebmer"",38.240915,-1.420249"
"1717,573,""Andrena"",""brevisccopa"",1,""female"",2.1,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1718,5268,""Sphecodes"",""ruficrus"",1,""female"",2.2,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1719,498,""Andrena"",""asperrima"",1,""female"",3,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1720,1581,""Nomada"",""agrestis"",2,""female"",NA,10,3,1983,""E. Asensio"",""Asensio"",38.240915,-1.420249"
"1721,569,""Andrena"",""brevisccopa"",4,""female"",NA,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1722,1477,""Eucera"",""nigrilabris"",3,""female"",4.5,10,3,1983,""E. Asensio"",""Tkalcu"",38.240915,-1.420249"
"1723,823,""Andrena"",""fria"",1,""male"",1.4,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1724,NA,""Andrena"",""brevisccopa"",1,""female"",3,10,3,1983,""E. Asensio"",""Warncke"",38.240915,-1.420249"
"1725,NA,""Megachile"",""rotundata"",1,""female"",3,20,7,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1726,3174,""Anthidium"",""cingulatum"",1,""female"",NA,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1727,NA,""Megachile"",""rotundata"",2,""male"",2.4,20,7,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1728,4977,""Ceratina"",""chalcites"",1,""female"",2,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1729,4387,""Hylaeus"",""euryscapus"",1,""female"",NA,30,6,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1730,3351,""Anthidium"",""taeniatum"",1,""male"",NA,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1731,NA,""Megachile"",""rotundata"",1,""male"",2,20,7,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1732,5324,""Nomia"",""diversipes"",3,""male"",NA,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1733,2675,""Lasioglossum"",""interruptum"",1,""female"",1.3,2,6,1983,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1734,4806,""Melitta"",""seitzi"",1,""female"",3.2,30,6,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1735,1550,""Eucera"",""trivittata"",2,""female"",4,30,6,1982,""E. Asensio"",""Tkalcu"",41.757706,-4.697975"
"1736,2466,""Halictus"",""smaragdulus"",1,""female"",NA,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1737,410,""Melitturga"",""clavicornis"",1,""male"",4.8,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1738,2673,""Lasioglossum"",""interruptum"",2,""female"",NA,22,5,1982,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1739,4050,""Anthocopa"",""grumi"",1,""female"",3,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1740,931,""Andrena"",""lepida"",1,""female"",NA,30,6,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1741,3854,""Anthocopa"",""bisulca"",1,""female"",3.7,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1742,NA,""Megachile"",""rotundata"",1,""female"",1.4,20,7,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1743,2288,""Halictus"",""consobrinus"",1,""female"",2,2,6,1983,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1744,687,""Andrena"",""ferrugineicrus"",1,""female"",4,22,5,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1745,2777,""Lasioglossum"",""maurusium"",1,""female"",1.1,7,6,1983,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1746,3529,""Megachile"",""fertoni"",1,""male"",2.1,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1747,1870,""Anthophora"",""agama"",2,""male"",NA,2,6,1983,""E. Asensio"",""Tkalcu"",41.757706,-4.697975"
"1748,2269,""Tetralonia"",""tricincta"",1,""female"",4,22,7,1983,""E. Asensio"",""Tkalcu"",41.757706,-4.697975"
"1749,1168,""Andrena"",""relata"",1,""female"",2,22,5,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1750,2599,""Lasioglossum"",""corvinum"",1,""female"",1.4,22,5,1982,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1751,1137,""Andrena"",""ovatula"",1,""female"",NA,2,6,1983,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1752,3854,""Anthocopa"",""bisulca"",1,""female"",3.2,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1753,1441,""Eucera"",""hispana"",1,""male"",4,2,6,1983,""E. Asensio"",""Tkalcu"",41.757706,-4.697975"
"1754,3026,""Lasioglossum"",""albocinctum"",1,""female"",NA,22,5,1982,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1755,3271,""Anthidium"",""manicatum"",1,""female"",4,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1756,3627,""Megachile"",""pilidens"",3,""female"",NA,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1757,3854,""Anthocopa"",""bisulca"",2,""female"",NA,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1758,2773,""Lasioglossum"",""marginatum"",2,""female"",1.8,2,6,1983,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1759,1135,""Andrena"",""ovatula"",1,""male"",NA,30,6,1982,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1760,3048,""Lasioglossum"",""bimaculatum"",1,""female"",2,2,6,1983,""E. Asensio"",""Ebmer"",41.757706,-4.697975"
"1761,3350,""Anthidium"",""taeniatum"",1,""female"",3,30,6,1982,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1762,3865,""Anthocopa"",""bisulca"",1,""female"",3.9,13,7,1984,""E. Asensio"",""Asensio"",41.757706,-4.697975"
"1763,3718,""Osmia"",""acuticornis"",1,""female"",3,30,6,1982,""E. Asensio"",""Van d. Zanden acuticornis"",41.757706,-4.697975"
"1764,1193,""Andrena"",""senecionis"",1,""male"",NA,2,6,1983,""E. Asensio"",""Warncke"",41.757706,-4.697975"
"1765,2024,""Anthophora"",""leucophaea"",1,""female"",NA,22,5,1982,""E. Asensio"",""J. Herrera"",41.757706,-4.697975"
"1766,4171,""Anthocopa"",""tergestensis"",1,""female"",1.7,30,6,1982,""E. Asensio"",""G. v. d. Zanden"",41.757706,-4.697975"
"1767,1482,""Eucera"",""nigrilabris"",1,""male"",NA,2,6,1983,""E. Asensio"",""Tkalcu"",41.757706,-4.697975"
"1768,4748,""Bombus"",""terrestris"",1,""male"",3.4,13,6,1983,""E. Asensio"",""Tkalcu"",43.207121,-4.617695"
"1769,4021,""Osmia"",""fulviventris"",1,""male"",2.5,13,6,1983,""E. Asensio"",""G. v. d. Zanden"",43.207121,-4.617695"
"1770,2115,""Anthophora"",""sp b"",1,""female"",NA,13,6,1983,""E. Asensio"",""Tkalcu"",43.207121,-4.617695"
"1771,2409,""Halictus"",""scabiosae"",1,""female"",NA,13,6,1983,""E. Asensio"",""Asensio  "",43.207121,-4.617695"
"1772,454,""Andrena"",""agilissima"",1,""female"",3,13,6,1983,""E. Asensio"",""Warncke"",43.207121,-4.617695"
"1773,3805,""Hoplitis"",""anthocopoides"",1,""female"",2.4,13,6,1983,""E. Asensio"",""G. v. d. Zanden"",43.207121,-4.617695"
"1774,4114,""Osmia"",""rufa"",4,""female"",NA,13,6,1983,""E. Asensio"",""Asensio ssp.cornigera Rossi "",43.207121,-4.617695"
"1775,4569,""Bombus"",""lucorum"",1,""male"",6,13,6,1983,""E. Asensio"",""Paddy?Ornosa"",43.207121,-4.617695"
"1776,4629,""Megabombus"",""pascuorum"",1,""female"",4,13,6,1983,""E. Asensio"",""Paddy?Ornosa"",43.207121,-4.617695"
"1777,3581,""Megachile"",""octosignata"",1,""female"",3.8,13,6,1983,""E. Asensio"",""G. v. d. Zanden"",43.207121,-4.617695"
"1778,4527,""Megabombus"",""humilis"",1,""male"",NA,13,6,1983,""E. Asensio"",""Paddy?Ornosa"",43.207121,-4.617695"
"1779,4162,""Osmia"",""submicans"",1,""female"",2,13,6,1983,""E. Asensio"",""G. v. d. Zanden"",43.207121,-4.617695"
"1780,488,""Andrena"",""alfkenella"",1,""female"",1.1,5,8,1988,""E. Asensio"",""Warncke"",43.207121,-4.617695"
"1781,4022,""Osmia"",""fulviventris"",3,""female"",2.5,13,6,1983,""E. Asensio"",""Asensio"",43.207121,-4.617695"
"1782,4509,""Megabombus"",""hortorum"",1,""female"",8,13,6,1983,""E. Asensio"",""Paddy?Ornosa"",43.207121,-4.617695"
"1783,5250,""Sphecodes"",""puncticeps"",1,""male"",0.6,3,9,1985,""F. Sanza (Univ. Salamanca)"",""Schwarz"",41.095351,-3.530387"
"1784,740,""Andrena"",""flavipes"",1,""female"",NA,8,7,1984,""E. Asensio"",""Warncke"",40.582314,-4.375178"
"1785,1664,""Nomada"",""fulvicornis"",2,""female"",NA,8,7,1984,""E. Asensio"",""Schwarz"",40.582314,-4.375178"
"1786,305,""Panurgus"",""calcaratus"",2,""male"",NA,8,7,1984,""E. Asensio"",""Asensio"",40.582314,-4.375178"
"1787,4856,""Dasypoda"",""morotei"",2,""female"",NA,8,7,1984,""E. Asensio"",""Asensio"",40.582314,-4.375178"
"1788,3746,""Osmia"",""adunca"",1,""female"",NA,8,7,1984,""E. Asensio"",""Asensio"",40.582314,-4.375178"
"1789,1778,""Nomada"",""striata"",1,""female"",NA,8,7,1984,""E. Asensio"",""Schwarz"",40.582314,-4.375178"
"1790,4856,""Dasypoda"",""morotei"",1,""female"",4,8,7,1984,""E. Asensio"",""Asensio"",40.582314,-4.375178"
"1791,5038,""Ceratina"",""cucurbitina"",1,""female"",1,8,7,1984,""E. Asensio"",""Asensio"",40.582314,-4.375178"
"1792,4249,""Colletes"",""cunicularius"",1,""male"",4.6,NA,3,1976,""M. Gonzalez (Univ. Salamanca)"",""asensio"",40.597856,-6.530968"
"1793,591,""Andrena"",""carbonaria"",1,""male"",2.4,1,5,1979,""E. Asensio"",""Warncke"",41.509872,-4.318593"
"1794,590,""Andrena"",""carbonaria"",1,""female"",4,1,5,1979,""E. Asensio"",""Warncke"",41.509872,-4.318593"
"1795,3911,""Osmia"",""caerulescens"",1,""male"",1.6,1,5,1979,""E. Asensio"",""Asensio"",41.509872,-4.318593"
"1796,2362,""Halictus"",""quadricinctus"",1,""female"",3,1,5,1979,""E. Asensio"",""Asensio"",41.509872,-4.318593"
"1797,1545,""Eucera"",""trivittata"",1,""male"",NA,1,5,1979,""E. Asensio"",""Tkalcu"",41.509872,-4.318593"
"1798,1697,""Nomada"",""lathburiana"",1,""female"",2,7,4,1982,""Vielba (Universidad Salamanca)"",""Asensio"",42.662593,-2.879996"
"1799,3323,""Rhodanthidium"",""septemdentatum"",1,""male"",5,4,6,1980,""J. Bosch Esteva (Univ. Salamanca)"",""Asensio"",41.411737,2.073803"
"1800,2209,""Heliophila"",""bimaculata"",3,""female"",NA,2,7,1982,""E. Asensio"",""J. Herrera"",37.234705,-5.975069"
"1801,352,""Panurgus"",""perezi"",2,""male"",NA,2,7,1982,""E. Asensio"",""Asensio"",37.234705,-5.975069"
"1802,556,""Andrena"",""bimaculata"",1,""female"",2.2,2,7,1982,""G. Aguado"",""Warncke"",37.234705,-5.975069"
"1803,2245,""Tetralonia"",""iberica"",1,""male"",2,2,7,1982,""E. Asensio"",""Tkalcu"",37.234705,-5.975069"
"1804,19,""Heriades"",""rubicola"",2,""female"",0.5,2,7,1982,""E. Asensio"",""Van Der Zanden"",37.234705,-5.975069"
"1805,20,""Heriades"",""rubicola"",1,""male"",0.5,2,7,1982,""E. Asensio"",""Van Der Zanden"",37.234705,-5.975069"
