"eventID","organismQuantity","organismQuantityType","occurrenceID.x","ScientificName","occurrenceID.y","scientificName","occurrenceRemarks","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","country","countryCode","habitat","samplingProtocol","basisOfRecord","locality","verbatimLocality"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1002138","Cistus salviifolius","LIFE4POLL1688-a-1002137","Tebenna micalis","na","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1002137","Cistus salviifolius","LIFE4POLL1688-a-1001472","Mordellidae","feeding","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1002137","Cistus salviifolius","LIFE4POLL1688-a-1002138","Mordellidae","na","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1002137","Cistus salviifolius","LIFE4POLL1688-a-1002137","Tebenna micalis","na","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1001472","Cistus salviifolius","LIFE4POLL1688-a-1001472","Mordellidae","feeding","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1001472","Cistus salviifolius","LIFE4POLL1688-a-1002138","Mordellidae","na","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1001472","Cistus salviifolius","LIFE4POLL1688-a-1002137","Tebenna micalis","na","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1688","more than ten","individuals","LIFE4POLL1688-p-1002138","Cistus salviifolius","LIFE4POLL1688-a-1001472","Mordellidae","feeding","20/05/2023","42.377822","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1689","more than ten","individuals","LIFE4POLL1689-p-1001473","Coleostephus myconis","LIFE4POLL1689-a-1001473","Tebenna micalis","feeding","20/05/2023","42.375793","-8.938751","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL169","more than ten","individuals","LIFE4POLL169-p-1000148","Medicago arborea","LIFE4POLL169-a-1000148","Anthophora rubricrus","na","21/04/2022","39.111407","26.563616","WGS84","Greece","GR","island, archaeological site","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1690","more than ten","individuals","LIFE4POLL1690-p-1001474","Coleostephus myconis","LIFE4POLL1690-a-1001474","Glyphipterix simpliciella","feeding","20/05/2023","42.380865","-8.937378","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1691","more than ten","individuals","LIFE4POLL1691-p-1001475","Coleostephus myconis","LIFE4POLL1691-a-1001475","Scythris knochella","na","20/05/2023","42.38188","-8.935318","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1692","na","na","LIFE4POLL1692-p-1001476","Caprifoliaceae","LIFE4POLL1692-a-1001476","Erebia sp.","na","27/05/2023","42.22553","-6.87624","WGS84","Spain","ES","mountain","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000437|ES1130007","observation located in Natura 2000 sites with codes ES0000437|ES1130007"
"LIFE4POLL1693","na","na","LIFE4POLL1693-p-1001477","Armeria sp.","LIFE4POLL1693-a-1001477","Mylabris quadripunctata","na","27/05/2023","42.225848","-6.877356","WGS84","Spain","ES","mountain","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000437|ES1130007","observation located in Natura 2000 sites with codes ES0000437|ES1130007"
"LIFE4POLL1694","na","na","LIFE4POLL1694-p-1001478","Caprifoliaceae","LIFE4POLL1694-a-1001478","Erebia sp.","na","27/05/2023","42.224895","-6.878128","WGS84","Spain","ES","mountain","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000437|ES1130007","observation located in Natura 2000 sites with codes ES0000437|ES1130007"
"LIFE4POLL1695","more than ten","individuals","LIFE4POLL1695-p-1001479","Oenanthe pimpinelloides","LIFE4POLL1695-a-1001479","Trichodes sp.","feeding","02/06/2023","44.482094","11.200225","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1696","more than ten","individuals","LIFE4POLL1696-p-1002139","Oenanthe pimpinelloides","LIFE4POLL1696-a-1001480","Stenopterus sp.","mating","02/06/2023","44.482347","11.200007","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1696","more than ten","individuals","LIFE4POLL1696-p-1002139","Oenanthe pimpinelloides","LIFE4POLL1696-a-1002139","Stenopterus sp.","mating","02/06/2023","44.482347","11.200007","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1696","more than ten","individuals","LIFE4POLL1696-p-1001480","Oenanthe pimpinelloides","LIFE4POLL1696-a-1002139","Stenopterus sp.","mating","02/06/2023","44.482347","11.200007","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1696","more than ten","individuals","LIFE4POLL1696-p-1001480","Oenanthe pimpinelloides","LIFE4POLL1696-a-1001480","Stenopterus sp.","mating","02/06/2023","44.482347","11.200007","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1697","more than ten","individuals","LIFE4POLL1697-p-1001481","Medicago sp.","LIFE4POLL1697-a-1001481","Oxythyrea funesta","feeding","02/06/2023","44.482237","11.199968","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1698","less than ten","individuals","LIFE4POLL1698-p-1001482","Senecio jacobaea","LIFE4POLL1698-a-1001482","Anthophila fabriciana","feeding","11/07/2020","42.251059","-8.69335","WGS84","Spain","ES","urban","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1699","more than ten","individuals","LIFE4POLL1699-p-1001483","Asteraceae","LIFE4POLL1699-a-1001483","Pontia daplidice","feeding","11/07/2020","42.472097","-9.011536","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES1110006","observation located in Natura 2000 site with code ES1110006"
"LIFE4POLL17","na","na","LIFE4POLL17-p-1000012","Bellis perennis","LIFE4POLL17-a-1000012","Episyrphus balteatus","feeding","13/06/2021","45.541255","9.209332","WGS84","Italy","IT","urban","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL170","na","na","LIFE4POLL170-p-1000149","Malva sylvestris","LIFE4POLL170-a-1000149","Coleoptera","na","2022-04-21*","na","na","na","na","na","na","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","na","observation without coordinates"
"LIFE4POLL1700","more than ten","individuals","LIFE4POLL1700-p-1001484","Pulicaria odora","LIFE4POLL1700-a-1001484","Maniola jurtina","feeding","23/08/2020","42.472097","-9.011536","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES1110006","observation located in Natura 2000 site with code ES1110006"
"LIFE4POLL1701","individual/singular","individuals","LIFE4POLL1701-p-1001485","Punica granatum","LIFE4POLL1701-a-1001485","Apis mellifera","na","12/06/2023","37.955128","23.755875","WGS84","Greece","GR","urban","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
