Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Lasioglossum;NA;pauxillum;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;5;24;NA;NA;Marta Rodríguez;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Andrena;NA;hispania;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;5;29;NA;NA;Ana Vázquez;Concepción Ornosa;NA;NA;NA;NA;NA;Reseda stricta;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Lasioglossum;NA;pauxillum;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;5;29;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Anthophora;NA;atroalba;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;3;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Lasioglossum;NA;pauxillum;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;3;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Andrena;NA;morio;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;5;NA;NA;Ana Vázquez;Concepción Ornosa;NA;NA;NA;NA;NA;Reseda stricta;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Andrena;NA;humilis;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;13;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Colletes;NA;abeillei;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;13;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Reseda phyteuma;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Osmia;NA;lunata;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;13;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Frankenia thymifolia;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Amegilla;NA;quadrifasciata;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;20;NA;NA;Ana Vázquez;Concepción Ornosa;NA;NA;NA;NA;NA;Phlomis lychnitis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Andrena;NA;humilis;NA;Spain;Cuenca;Belinchón;40,07468905;-3,07287606;100 m;2013;6;24;NA;NA;Marta Rodríguez;Concepción Ornosa;NA;NA;NA;NA;NA;Helianthemum squamatum;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
Lasioglossum;NA;pauxillum;NA;Spain;Cuenca;Belinchón;40,07503238;-3,071328359;100 m;2013;5;24;NA;NA;Jesús López-Angulo;Concepción Ornosa;NA;NA;NA;NA;NA;Launaea fragilis;NA;Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria;NA;NA
