Genus,Subgenus,Species,Subspecies,Name,Country,Province,Locality,Municipality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,3,3/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,3,3/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,3,3/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,4,18,18/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,scabiosae,NA,Halictus scabiosae,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,C. Gómez-Martínez,M. A. González-Estévez,m
