LABEL;coord x;coord y;HABITAT/FIELD PLOT CODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;
;;;Ed01m_Bd3_036;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;6;;;;;;
Ed_01n;222818,027138;4455116,90259;Ed01n_Bd1_037;G. González Bornay;2010-05-19;Apis mellifera;2;;;;;;
;;;Ed01n_Bd2_038;G. González Bornay;2010-06-02;Apis mellifera;11;;;;;;
;;;Ed01n_Bd3_039;G. González Bornay;2010-06-17;Apis mellifera;3;;;;;;
;;;Ed01n_Bd3_039;F. Javier Ortiz Sánchez;2010-06-17;Nomada sabulosa;1;;;;;;
;;;Ed01n_Bd3_039;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;6;;;;;;
;;;Ed01n_Bd3_039;F. Javier Ortiz Sánchez;2010-06-17;Panurgus canescens;1;;;;;;
;;;Ed01n_Bd3_039;F. Javier Ortiz Sánchez;2010-06-17;Panurgus perezi;1;;;;;;
Ed_01o;224014,912806;4454919,61375;Ed01o_Bd1_040;G. González Bornay;2010-05-19;Apis mellifera;5;;;;;;
;;;Ed01p_Bd2_041;G. González Bornay;2010-06-02;Apis mellifera;7;;;;;;
;;;Ed01o_Bd3_042;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;10;;;;;;
Ed_01p;223804,47137;4454476,80989;Ed01p_Bd1_043;G. González Bornay;2010-05-19;Apis mellifera;1;;;;;;
;;;Ed01p_Bd1_044;F. Javier Ortiz Sánchez;2010-06-02;Andrena sp.;1;;;;;;
;;;Ed01p_Bd1_045;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;3;;;;;;
Ed_02c;237030,57;4446748,1;Ed02c_Bd1_046;;2010-05-20;;0;;;;;;
;;;Ed02c_Bd2_047;G. González Bornay;2010-06-01;Apis mellifera;3;;;;;;
;;;Ed02c_Bd3_048;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;1;;;;;;
;;;Ed02c_Bd3_048;F. Javier Ortiz Sánchez;2010-06-18;Anthidium  taeniatum;1;;;;;;
;;;Ed02c_Bd3_048;G. González Bornay;2010-06-18;Apis mellifera;1;;;;;;
Ed_02d;237147,32;4446473,3;Ed02d_Bd1_049;F. Javier Ortiz Sánchez;2010-05-20;Andrena sp.;1;;;;;;
;;;Ed02d_Bd1_049;G. González Bornay;2010-05-20;Apis mellifera;1;;;;;;
;;;Ed02d_Bd1_049;F. Javier Ortiz Sánchez;2010-05-20;Lasioglossum malachurum;2;;;;;;
;;;Ed02d_Bd2_050;;2010-06-01;;0;;;;;;
;;;Ed02d_Bd3_051;;2010-06-18;;0;;;;;;
;;;Ed02e_Bd1_052;G. González Bornay;2010-05-20;Apis mellifera;13;;;;;;
Ed_02e;237103,68;4446834,2;Ed02e_Bd2_053;F. Javier Ortiz Sánchez;2010-06-01;Anthophora balneorum;1;;;;;;
;;;Ed02e_Bd2_053;G. González Bornay;2010-06-01;Apis mellifera;12;;;;;;
;;;Ed02e_Bd3_054;G. González Bornay;2010-06-01;Apis mellifera;4;;;;;;
Ed_02f;236883,87;4447926,9;Ed02f_Bd1_055;F. Javier Ortiz Sánchez;2010-05-20;Andrena sp.;1;;;;;;
;;;Ed02f_Bd1_055;G. González Bornay;2010-05-20;Apis mellifera;9;;;;;;
;;;Ed02f_Bd2_056;G. González Bornay;2010-06-01;Apis mellifera;15;;;;;;
;;;Ed02f_Bd3_057;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;7;;;;;;
;;;Ed02f_Bd3_057;G. González Bornay;2010-06-18;Apis mellifera;9;;;;;;
;;;Ed02f_Bd3_057;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;3;;;;;;
Ed_02g;236077,59;4447003,5;Ed02g_Bd1_058;;2010-05-20;;0;;;;;;
;;;Ed02g_Bd2_059;;2010-06-01;;0;;;;;;
;;;Ed02g_Bd3_060;;2010-06-18;;0;;;;;;
Ed_02i;236996,37;4446857,8;Ed02i_Bd1_061;F. Javier Ortiz Sánchez;2010-05-20;Andrena sp.;2;;;;;;
;;;Ed02i_Bd2_062;F. Javier Ortiz Sánchez;2010-06-01;Andrena sp.;1;;;;;;
;;;Ed02i_Bd2_062;G. González Bornay;2010-06-01;Apis mellifera;2;;;;;;
;;;Ed02i_Bd3_063;;2010-06-18;;0;;;;;;
Ed_02J;236973,96;4446646,7;Ed02j_Bd1_064;F. Javier Ortiz Sánchez;2010-05-20;Andrena sp.;1;;;;;;
;;;Ed02j_Bd1_064;G. González Bornay;2010-05-20;Apis mellifera;6;;;;;;
;;;Ed02j_Bd2_065;G. González Bornay;2010-06-01;Apis mellifera;2;;;;;;
