nNoCatalogo;bTipo;nNoCatTipos;tCategoTipo;nEjemplares;Superfamilia;Familia;Subfamilia;tGenero;tSubgenero;tEspecie;Infra;tAutor;tNotas;tNotasTaxonomicas;LocalidadOrig;tLocalidad;tMunicipio;Provincia;Comunidad;Pais;tFechaCaptura;nDia;nMes;nAnio;nDia2;nMes2;nAnio2;tColector;tNotasCaptura;tAltitud;tUTM;tSexo;tProcedencia;tAutorDeterminacion;nAnioDeterminacion;tEtiquetaEn;NotasFechas
315154;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel hembra M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Rocafort Valencia (España);Rocafort;;Valencia;Comunidad Valenciana;España;1-IX-60;1;9;1960;;;;S.V. Peris;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315155;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel macho M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 macho det. P. Álvarez 2021.;Rocafort Valencia (España);Rocafort;;Valencia;Comunidad Valenciana;España;1-IX-60;1;9;1960;;;;S.V. Peris;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315157;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes caspicus ? Mor. hembra C. P-Iñigo det.//Colletes nigricans Gistel hembra M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Coto Doñana Huelva (España);Coto Doñana;;Huelva;Andalucía;España;30-IX-67;30;9;1967;;;;E. Mingo;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315158;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigrans//Colletes det. C. P-Iñigo 1977//Colletes nigricans Gistel hembra M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Villaviciosa;Villaviciosa de Odón;;Madrid;Madrid;España;29-6-9;29;6;1909;;;;Dusmet;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315159;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel hembra det. Noskiewicz.//Colletes nigricans Gistel hembra M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Sierra Nevada;Sierra Nevada;;Granada;Andalucía;España;VI-26;;6;1926;;;;Dusmet;En Dusmet (1935) donde habla de sus andanzas entomológicas, especifica que en Sª Nevada estuvo en el Hotel Sierra Nevada, prov. de Granada. Nunca estuvo en Sª Nevada en prov. de Almería ni habla de que haya estado de caza en otras zonas de Granada.;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315160;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel macho det. Noskiewicz.//Colletes nigricans Gistel, 1857 macho det. P. Álvarez 2021.;Maison Carrée;Nimes;;Languedoc-Roussillon;;Francia;5-9-20;5;9;1920;;;;sin datos;;;;macho;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315161;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel macho M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 macho det. P. Álvarez 2021.;Tifarit;Tifariti;;;;Sahara Occidental;Mayo 1945;;5;1945;;;;sin datos;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315162;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes nigricans Gistel hembra M. Kuhlmann det. 1998//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Tifarit;Tifariti;;;;Sahara Occidental;Mayo 1945;;5;1945;;;;sin datos;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315545;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes flavescens Nosk. det. Dr. Warncke//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Spanien Madrona;;;;;España;10/8-60;10;8;1960;;;;O. Lundblad;;;;hembra;Etiqueta verde de Riksmuseum Stokholm.;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315546;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;nigricans;;Gistel, 1857;;Etiquetas: Colletes flavescens Nosk. det. Dr. Warncke//Colletes nigricans Gistel, 1857 hembra det. P. Álvarez 2021.;Spanien Madrona;;;;;España;10/8-60;10;8;1960;;;;O. Lundblad;;;;hembra;Etiqueta verde de Riksmuseum Stokholm.;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315181;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;ligatus;;Erichson, 1835;;Etiquetas: Colletes ligatus Er. macho det. Noskiewicz//Colletes ligatus Erichson, 1835 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;18-9-11;18;9;1911;;;;Dusmet;;;;macho;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315182;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;ligatus;;Erichson, 1835;;Etiquetas: Colletes ligatus Er. macho det. Noskiewicz//Colletes ligatus Erichson, 1835 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;9-8-13;9;8;1913;;;;Dusmet;;;;macho;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315183;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;ligatus;;Erichson, 1835;;Etiquetas: Colletes ligatus Er. macho det. Noskiewicz//Colletes ligatus Erichson, 1835 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;9-8-13;9;8;1913;;;;Dusmet;;;;macho;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315184;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;ligatus;;Erichson, 1835;;Etiquetas: Colletes ligatus Er. macho det. Noskiewicz//Colletes ligatus Erichson, 1835 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;23-8-15;23;8;1915;;;;Dusmet;;;;macho;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315185;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;ligatus;;Erichson, 1835;;Etiquetas: Colletes ligatus Er. macho det. Noskiewicz//Colletes ligatus Erichson, 1835 macho det. P. Álvarez 2021.;Murcia;Murcia;;Murcia;Murcia;España;25-VI-922;25;6;1922;;;;V. Muedra S.J.;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315186;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315187;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315188;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315189;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315190;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315191;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315192;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315193;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315194;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315195;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315196;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315197;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315198;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315199;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315200;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. hembra M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315201;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. hembra M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;El Pardo;El Pardo;Madrid;Madrid;Madrid;España;26-6-10;26;6;1910;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315202;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. hembra M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;Valencia Hispania;Valencia;;Valencia;Comunidad Valenciana;España;sin datos;;;1905;;;1913;Moroder;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1905-1913
315203;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;Valencia;Valencia;;Valencia;Comunidad Valenciana;España;sin datos;;;1905;;;1913;Moroder;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1905-1913
315204;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. hembra M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;Valencia;Valencia;;Valencia;Comunidad Valenciana;España;sin datos;;;1905;;;1913;Moroder;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1905-1913
315205;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. hembra det. Noskiewicz//Colletes pulchellus Pér. hembra M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 hembra det. P. Álvarez 2021.;Valencia;Valencia;;Valencia;Comunidad Valenciana;España;sin datos;;;1905;;;1913;Moroder;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1905-1913
315206;SANT;10140;Paralectotipo;1;Apoidea;Colletidae;Colletinae;Colletes;;pulchellus;;Pérez, 1903;Paralectotipo de Colletes ibericus Noskiewicz, 1936. MNCN Cat. Tipos Nº 10140;Etiquetas: Colletes ibericus Nosk. macho det. Noskiewicz//Colletes pulchellus Pér. M. Kuhlmann det. 2000//Colletes pulchellus Pérez, 1903 macho det. P. Álvarez 2021.;Valencia;Valencia;;Valencia;Comunidad Valenciana;España;sin datos;;;1905;;;1913;Moroder;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1905-1913
315210;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);;Etiquetas: Colletes C. Rey det.//Colletes fodiens hispanicus Nosk. hembra Ortiz det. 2000//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Escorial (Urb. Los Arroyos);San Lorenzo de El Escorial;;Madrid;Madrid;España;9-IX-80;9;9;1980;;;;C. Rey;;;;hembra;ex. Col. C. Rey;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315211;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);;Etiquetas: Colletes C. Rey det.//Colletes fodiens hispanicus Nosk. hembra Ortiz det. 2000//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;S. Leonardo de Yagüe Soria;San Leonardo de Yagüe;;Soria;Castilla y León;España;20-VIII-1983;20;8;1983;;;;C. Rey;;;;hembra;ex. Col. C. Rey;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315212;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;23-7-11;23;7;1911;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315213;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;8-8-11;8;8;1911;;;;Dusmet;;;;hembra;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315214;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. macho det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;8-8-11;8;8;1911;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315215;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. macho det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;16-8-11;16;8;1911;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315216;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. macho det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 macho det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;16-8-11;16;8;1911;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315217;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;16-8-11;16;8;1911;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315218;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;16-8-11;16;8;1911;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315219;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Sierra de Guadarrama;Sierra de Guadarrama;;;;España;16-8-11;16;8;1911;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315207;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);;Etiquetas: Colletes fodiens hispanicus Nosk. hembra M. Kuhlmann det. 1998//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Puerto del Escudo;Puerto del Escudo;;Cantabria;Cantabria;España;4-VIII-54;4;8;1954;;;;S.V. Peris;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315208;SANT;9885;Sintipo;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);Sintipo de Colletes fodiens hispanicus Noskiewicz, 1936. MNCN Cat. Tipos Nº 9885;Etiquetas: Colletes fodiens hispanicus Nosk. hembra det. Noskiewicz//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Mondariz;Mondariz;;Pontevedra;Galicia;España;10-8-10;10;8;1910;;;;Dusmet;;;;hembra;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
315209;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;fodiens;;(Geoffroy, 1785);;Etiquetas: Colletes C. Rey det.//Colletes fodiens hispanicus Nosk. hembra Ortiz det. 2000//Colletes fodiens Geoffroy in Fourcroy, 1785 hembra det. P. Álvarez 2021.;Hontoria del Pinar Burgos;Hontoria del Pinar;;Burgos;Castilla y León;España;10-VII-82;10;7;1982;;;;C. Rey;;;;hembra;ex. Col. C. Rey;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
