Genus,Subgenus,Species,Subspecies,name,Country,Province,Locality,Locality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Ginard,Campos,3.941.623,307.946,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Ginard,Campos,3.941.623,307.946,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Ginard,Campos,3.941.623,307.946,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Ginard,Campos,3.941.623,307.946,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Ginard,Campos,3.941.623,307.946,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Mut Nou,Llucmajor,3.946.187,282.565,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Mut Nou,Llucmajor,3.946.187,282.565,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,f
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,f
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,m
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,f
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,f
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,m
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,binominata,NA,Andrena binominata,Spain,"Balears, Illes",Son Sali,Campos,3.943.795,297.731,2018,11,8,8/11/18,NA,M. A. González-Estévez,NA
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,6,10,10/6/18,NA,M. A. González-Estévez,m
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Sa Ritxola,Sineu,3.965.353,299.953,2018,6,4,4/6/18,NA,M. A. González-Estévez,m
