Genus;Subgenus;Species;Locality;Municipe;Province;Country;Year;Month;Day;Start.date;End.date;Altitud;GPS.(N);GPS.(E);Collector;Determined.by;Year.ident;Male;Female;Worker;Proced/caja;Notes.and.queries;Comentarios
Apis ;NA;mellifera;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;NA;NA;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
