"","x"
"1","A. Núñez"
"2","Amparo Lázaro"
"3","Ana Montero-Castaño"
"4","Anna Traveset"
"5","B. Arroyo-Correa"
"6","C. Heras"
"7","C. Molina"
"8","C. O’Connor"
"9","C. Ornosa"
"10","C. Pérez-Iñigo Mora"
"11","Carlos Lara-Romero"
"12","Compiled by T. Wood"
"13","Concepción Ornosa"
"14","Concepción Ornosa Gallego"
"15","D. Paredes"
"16","D. Romero"
"17","David Alomar"
"18","F. J. Ortiz-Sánchez"
"19","F. Javier Ortiz-Sánchez"
"20","F. López-Núñez"
"21","F. Perfectti"
"22","F. Torres"
"23","F.J. Ortiz-Sanchez"
"24","Félix Torres"
"25","Francisco Javier Ortiz-Sánchez"
"26","H. Gaspar"
"27","I. Bartomeus"
"28","I.M. Liberal"
"29","Isabel María Liberal"
"30","J. Ascher"
"31","J. Banaszak"
"32","J. Bosch"
"33","J. Dusmet"
"34","J. Gonzalez-varo"
"35","J. L. Blanco-Pastor"
"36","J. Loureiro"
"37","J. R. Obeso"
"38","J.A. González"
"39","J.Bosch"
"40","J.D. Alche"
"41","J.D. Asís"
"42","J.M. Gómez"
"43","Javier Herrera"
"44","Javier Morente-López"
"45","Joana Costa"
"46","José Iriondo"
"47","Jose Luis Blanco-Pastor"
"48","Juan Arroyo"
"49","L. Castro"
"50","Luis Navarro"
"51","M. Campos"
"52","M. Miñarro"
"53","M. Porcel"
"54","M.D. Martínez"
"55","M.J. Dardón"
"56","M.L. Fernández"
"57","M.Vilà"
"58","Manuel Baena"
"59","Marina Alonso Solano"
"60","Mario Fernández-Mazuecos"
"61","Martínez-Núñez C."
"62","Miguel A. González-Estévez"
"63","Montserrat Vilà"
"64","P. Vargas"
"65","Pablo Vargas"
"66","Pedro Coello"
"67","Pilar de la Rúa"
"68","R. Alcalá"
"69","R. Carvalho"
"70","R. Heleno"
"71","Rey P.J."
"72","S. Castro"
"73","S. Castro & J. Loureiro"
"74","S.F. Gayubo"
"75","Victoria Ferrero"
"76","Volker HAESELER"
