"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","23","23/05/2011","23/05/2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_20"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","13/06/2011","13/06/2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_21"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","27","24/05/2012","31/05/2012","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_22"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","10","05/06/2012","18/06/2012","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_23"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","5","05/06/2010","05/06/2010","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_24"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","30","30/05/2011","30/05/2011","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_25"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","12","04/06/2011","26/06/2011","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_26"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","31","31/05/2012","31/05/2012","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_27"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","20","20/06/2012","20/06/2012","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_28"
"Bombus",NA,"pascuorum",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","12/06/2011","14/06/2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_29"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","22","17/05/2011","27/05/2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_30"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","03/06/2011","24/06/2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_31"
"Ceratina",NA,"callosa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","26","24/05/2011","29/05/2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_32"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","25","22/05/2010","31/05/2010","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_33"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","8","01/06/2010","25/06/2010","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_34"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"07","2","02/07/2010","02/07/2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_35"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","24","23/05/2011","25/05/2011","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_36"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","05/06/2011","29/06/2011","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_37"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","24","24/05/2012","25/05/2012","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_38"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","2","01/06/2012","04/06/2012","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_39"
"Crysura",NA,"dichroa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","4","04/06/2011","04/06/2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_40"
