"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Xylocopa",NA,"violacea",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1962,3,4,63,63,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Xylocopa violacea, by Manuel Assunção Diniz","ZOO.0026195"
"Panurgus",NA,"calcaratus",NA,"PT","Setúbal","Lagoa de Albufeira",38.507761,-9.177246,1e-06,1951,5,3,123,123,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus calcaratus, by Manuel Assunção Diniz","ZOO.0017846"
"Lasioglossum",NA,"mesosclerum",NA,"PT","Beja","Aljustrel",37.874845,-8.165612,1e-06,1953,7,1,182,182,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019341"
"Bombus",NA,"humilis",NA,"PT","Aveiro","Buçaco",40.374868,-8.364734,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus pascuorum, by Manuel Assunção Diniz","ZOO.0026252"
"Halictus",NA,"scabiosae",NA,"PT","Coimbra","Coimbra",40.204759,-8.421371,1e-06,NA,NA,NA,NA,NA,"André","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus scabiosae, by Manuel Assunção Diniz","ZOO.0018783"
"Andrena",NA,"dorsata",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,17,77,77,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena propinqua, by Klaus Warncke","ZOO.0027421"
"Bombus",NA,"sylvarum",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1971,6,26,177,177,"Manuel Assunção Diniz","Pierre Rasmont;Guillaume Ghisbain",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus humilis, by Manuel Assunção Diniz","ZOO.0026807"
"Anthophora",NA,"dispar",NA,"PT","Castelo Branco","Fundão",40.136982,-7.50062,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora sp., by H Gaspar","ZOO.0029804"
"Lasioglossum",NA,"interruptum",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,5,10,131,131,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Lasioglossum sp., by Manuel Assunção Diniz","ZOO.0028829"
"Andrena",NA,"orbitalis",NA,"PT","Faro","Armação de Pera, Praia dos Beijinhos",37.101072,-8.373972,1e-06,1966,4,5,95,95,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena orbitalis tangama, by Klaus Warncke","ZOO.0017208"
"Panurgus",NA,"perezi",NA,"PT","Aveiro","Albergaria-a-Velha",40.688357,-8.480147,1e-06,1968,7,27,209,209,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus perezi, by Manuel Assunção Diniz","ZOO.0018140"
"Andrena",NA,"flavipes",NA,"PT","Coimbra","Parque de Campismo",40.166237,-8.85775,1e-06,1968,4,12,103,103,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena flavipes, by Manuel Assunção Diniz","ZOO.0027079"
"Colletes",NA,"abeillei",NA,"PT","Lisboa","Carcavelos",38.689182,-9.337096,1e-06,1953,6,13,164,164,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Colletes abellei, by M Kuhlmann 1998","ZOO.0016350"
"Bombus",NA,"hortorum",NA,"PT","Coimbra","Serra da Boa Viagem",40.201696,-8.881317,1e-06,1967,6,20,171,171,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus sp., by Manuel Assunção Diniz","ZOO.0026468"
"Andrena",NA,"dorsata",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,5,30,151,151,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena propinqua, by Klaus Warncke","ZOO.0027452"
"Colletes",NA,"abeillei",NA,"PT","Lisboa","Carcavelos",38.689182,-9.337096,1e-06,1953,6,13,164,164,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Colletes abellei, by M Kuhlmann 1998","ZOO.0016354"
"Andrena",NA,"flavipes",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,15,75,75,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena flavipes, by Manuel Assunção Diniz","ZOO.0027169"
"Anthophora",NA,"atroalba",NA,"PT","Faro","Armação de Pera",37.100229,-8.357097,1e-06,1966,4,6,96,96,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora atroalba, by Manuel Assunção Diniz","ZOO.0025102"
"Lasioglossum",NA,"interruptum",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,6,3,154,154,"Maciel Correia","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Ceratina sp., by H Gaspar","ZOO.0031827"
"Anthidium",NA,"taeniatum",NA,"PT","Setúbal","Trafaria",38.671162,-9.23268,1e-06,1951,7,1,182,182,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthidium taeniatum, by Manuel Assunção Diniz","ZOO.0021619"
"Lasioglossum",NA,"malachurum",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1969,2,26,57,57,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Lasioglossum malachurum, by Andreas Werner Ebmer 1972","ZOO.0032344"
"Eucera",NA,"nigrilabris",NA,"PT","Lisboa","Lisboa",38.733832,-9.137138,1e-06,1953,2,8,39,39,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Eucera nigrilabris, by Manuel Assunção Diniz","ZOO.0024334"
"Panurginus",NA,"albopilosus",NA,"PT","Lisboa","Estoril",38.712093,-9.396118,1e-06,1951,4,5,95,95,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurginus albopilosus, by Nuno Freire de Andrade","ZOO.0018544"
"Anthophora",NA,"plumipes",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1969,2,27,58,58,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora plumipes, by Manuel Assunção Diniz","ZOO.0025617"
"Lasioglossum",NA,"malachurum",NA,"PT","Évora","Évora",38.570907,-7.908722,1e-06,1953,7,3,184,184,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019319"
