"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Lasioglossum",NA,"immunitum",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_24"
"Lasioglossum",NA,"interruptum",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",4,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_25"
"Megachile",NA,"sicula",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_26"
"Nomada",NA,"fucata",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_27"
"Nomada",NA,"merceti",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,2,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_28"
"Nomada",NA,"rubricoxa",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,4,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_29"
"Nomiapis",NA,"albocincta",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_30"
"Nomioides",NA,"facilis",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_31"
"Panurgus",NA,"calcaratus",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_32"
"Panurgus",NA,"canescens",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_33"
"Systropha",NA,"planidens",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,"Convolvulus altheoides",NA,"T. Wood",NA,NA,"58_Wood_34"
"Trachusa",NA,"laeviventris",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,3,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_35"
"Xylocopa",NA,"cantabrita",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_36"
