"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena","Trachandrena","haemorrhoa",NA,"España","Burgos","Villalonquéjar",NA,NA,NA,NA,NA,NA,NA,NA,"F. de la Torre","P. Álvarez",1,0,"ex. Col. F. de la Torre",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Hylaeus","Prosopis","confusus",NA,"España","Asturias","Campomanes",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",1,0,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Andrena","Plastandrena","pilipes",NA,"España","Asturias","Armada",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",1,0,"",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",1,0,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Helicosmia","aurulenta",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",1,0,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Vega del Rey",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
"Osmia","Hoplosmia","spinulosa",NA,"España","Asturias","Pola de Lena",NA,NA,NA,NA,NA,NA,NA,NA,"F. Fresno","P. Álvarez",0,1,"ex. Colección F. Fresno",0,NA,NA,NA,"Piluca Alvarez Fidalgo and MNCN",NA,NA
