"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Megachile ",NA,"pilidens ",NA,"Spain","Granada ","Cumbres Verdes","37,088434","-3,5348916","100 m ",2021,10,22,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Ditrichia viscosa (L.) ",NA,NA,NA,NA,"64_Zafra1"
"Amegilla",NA,"quadrifasciata ",NA,"Spain","Granada ","Granada","37,1814","-3,61761","100 m ",2021,10,28,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,5,NA,"Prasium majus L.",NA,NA,"Todas parasitadas por tipanosomatidos ",NA,"64_Zafra2"
"Anthophora ",NA,"bimaculata",NA,"Spain","Granada ","Guadix","37,32466","-3,12891","100 m ",2021,11,29,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Centaurea paniculata L.",NA,NA,NA,NA,"64_Zafra3"
"Eucera",NA,"longicornus",NA,"Spain","Granada ","Cumbres Verdes","37,093675","-3,536796","100 m ",2022,3,2,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,2,NA,"Salvia Rosmarinus ",NA,NA,NA,NA,"64_Zafra4"
"Lasioglossum",NA,"immunitum",NA,"Spain","Granada ","Durcal","37,00539","-3,56647","100 m ",2021,10,23,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Sonchus tenerrimus",NA,NA,NA,NA,"64_Zafra5"
"Lasioglossum",NA,"immunitum",NA,"Spain","Granada ","Granada","37,1814","-3,61761","100 m ",2021,10,31,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Sonchus tenerrimus",NA,NA,NA,NA,"64_Zafra6"
"Lasioglossum",NA,"immunitum",NA,"Spain","Granada ","Granada","37,1769","-3,6139","100 m ",2022,2,18,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Sonchus tenerrimus",NA,NA,"Parasitada por tipanosomatidos ",NA,"64_Zafra7"
"Bombus ",NA,"terrestris",NA,"Spain","Granada ","Granada","37,1769","-3,6139","100 m ",2022,2,18,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,3,NA,"Teucrium fruticans L. ",NA,NA,"Todas parasitadas por tipanosomatidos  y dos contenian Pneumolaelaps ",NA,"64_Zafra8"
"Bombus ",NA,"terrestris",NA,"Spain","Granada ","Cumbres Verdes ","37,093675","-3,536796","100 m ",2022,3,2,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,1,NA,"Salvia Rosmarinus ",NA,NA,"Parasitada por tipanosomatidos ",NA,"64_Zafra9"
"Andrena",NA,"flavipes ",NA,"Spain","Granada ","Cumbres Verdes","37,093675","-3,536796","100 m ",2022,3,2,NA,NA,"Maria Zafra ","Maria Zafra ",NA,NA,NA,2,NA,"Salvia Rosmarinus ",NA,NA,NA,NA,"64_Zafra10"
