"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus",NA,"terrestris",NA,"España","Asturias","Luarca",NA,NA,NA,"1991",4,18,NA,NA,"CA(C)sar GonzA!lez","Ana Murguizu",NA,NA,NA,1,NA,NA,"BOS-HYM-N01525","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Miranda",NA,NA,NA,"1991",2,22,NA,NA,"F. J. P. Bustelo","F. J. P. Bustelo",NA,NA,NA,1,NA,NA,"BOS-HYM-N01526","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Cazanes",NA,NA,NA,"1991",4,21,NA,NA,"E. GarcA-a","E. García",NA,NA,NA,1,NA,NA,"BOS-HYM-N01527","Oviedo Museum","","Tiene moho"
"Bombus",NA,"lucorum",NA,"España","Asturias","Somió",NA,NA,NA,"1989",11,19,NA,NA,"Celestino Glez","Celestino Glez",NA,NA,NA,1,NA,NA,"BOS-HYM-N01528","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Luarca",NA,NA,NA,"1990",10,25,NA,NA,"E. Celada CastaA+/-A�n","E. Celada Castañón",NA,NA,NA,1,NA,NA,"BOS-HYM-N01529","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Playa de Barayo",NA,NA,NA,"1987",3,23,NA,NA,"J. M. Santaeufemia","J. M. Santaeufemia",NA,NA,NA,1,NA,NA,"BOS-HYM-N01530","Oviedo Museum","En dunas de playa",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Cabo Busto",NA,NA,NA,"1990",10,22,NA,NA,"Jorge JA!uregui","Jorge Jáuregui",NA,NA,NA,1,NA,NA,"BOS-HYM-N01531","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","S. Lázaro",NA,NA,NA,"1991",5,14,NA,NA,"Amaia Irizar","Isabel Sánchez",NA,NA,NA,1,NA,NA,"BOS-HYM-N01532","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Somió",NA,NA,NA,"1990",7,3,NA,NA,"A. Busto","A. Busto",NA,NA,NA,1,NA,NA,"BOS-HYM-N01533","Oviedo Museum","","Tiene moho"
"Bombus",NA,"terrestris",NA,"España","Asturias","Pico Seana",NA,NA,NA,"1991",3,19,NA,NA,"M. Pelaez Cruz","M. Pelaez Cruz",NA,NA,NA,1,NA,NA,"BOS-HYM-N01534","Oviedo Museum","",""
"Bombus",NA,"lucorum",NA,"España","Asturias","El Villar (Luarca)",NA,NA,NA,"1990",10,23,NA,NA,"C. ViA+/-a HerbA�n","C. Viña Herbón",NA,NA,NA,1,NA,NA,"BOS-HYM-N01535","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Jove ",NA,NA,NA,"1991",5,26,NA,NA,"MA� JesA�s Glez","Mª Jesús Glez",NA,NA,NA,1,NA,NA,"BOS-HYM-N01536","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Villar (Luarca)",NA,NA,NA,"1990",10,24,NA,NA,"Hugo Mortera","Hugo Mortera",NA,NA,NA,1,NA,NA,"BOS-HYM-N01537","Oviedo Museum","",""
"Bombus",NA,"pascuarum",NA,"España","Asturias","Los Maizales (Gijón)",NA,NA,NA,"1991",5,17,NA,NA,"M. A. Paredes","M. A. Paredes",NA,NA,NA,1,NA,NA,"BOS-HYM-N01538","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","La Robla",NA,NA,NA,"1990",NA,NA,NA,NA,"E. B. G.","E. B. G.",NA,NA,NA,1,NA,NA,"BOS-HYM-N01539","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Oviedo",NA,NA,NA,"1989",3,18,NA,NA,"Jorge GonzA!lez","Jorge González",NA,NA,NA,1,NA,NA,"BOS-HYM-N01540","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","La Bolgachina",NA,NA,NA,"1991",5,5,NA,NA,"Amaia Irizar","Amaia Irizar",NA,NA,NA,1,NA,NA,"BOS-HYM-N01541","Oviedo Museum","Campo",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Los Pericones",NA,NA,NA,"1991",4,22,NA,NA,"Diana Cifuentes","Diana Cifuentes",NA,NA,NA,1,NA,NA,"BOS-HYM-N01542","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Burgos","Edesa de Montija",NA,NA,NA,"1991",3,28,NA,NA,"B. Baranda","B. Baranda",NA,NA,NA,1,NA,NA,"BOS-HYM-N01543","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Villar (Luarca)",NA,NA,NA,"1990",10,24,NA,NA,"G. MutuberrA-a DA-az","G. Mutuberría Díaz",NA,NA,NA,1,NA,NA,"BOS-HYM-N01544","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Cantabria","Santander",NA,NA,NA,"1990",9,9,NA,NA,"R. Rosario Ruiz","R. Rosario Ruiz",NA,NA,NA,1,NA,NA,"BOS-HYM-N01545","Oviedo Museum","Jardín",""
"Bombus",NA,"terrestris",NA,"España","Vizcaya","Ereño",NA,NA,NA,NA,NA,NA,NA,NA,"Bombus terrestris","R. Echeandia",NA,NA,NA,1,NA,NA,"BOS-HYM-N01546","Oviedo Museum","",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Las Caldas",NA,NA,NA,"1983",4,NA,NA,NA,"A�ngeles GarcA-a CosA-o","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01547","Oviedo Museum","",""
"Bombus",NA,"lucorum",NA,"España","Asturias","Tereñes",NA,NA,NA,"1978",5,1,NA,NA,"MA� JesA�s A�lvarez","Mª Jesús Álvarez",NA,NA,NA,1,NA,NA,"BOS-HYM-N01548","Oviedo Museum","Sobre planta",""
"Bombus",NA,"terrestris",NA,"España","Asturias","Santa Marina",NA,NA,NA,"1983",5,5,NA,NA,"E. ArbesA� SuA!rez","Eulalia Arbesú",NA,NA,NA,1,NA,NA,"BOS-HYM-N01549","Oviedo Museum","Sobre Brassicaceas",""
"Bombus",NA,"sp.",NA,"España","Asturias","Gijón",NA,NA,NA,"1979",11,4,NA,NA,"E. Cuesta GarcA-a","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01550","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Navia",NA,NA,NA,"1983",4,NA,NA,NA,"Esther Lomas","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01551","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Avilés",NA,NA,NA,"1983",6,14,NA,NA,"MA� Elvira Torres","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01552","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Posada de Llanera",NA,NA,NA,"1975",3,7,NA,NA,"MA� JesA�s Glez","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01553","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Perlora",NA,NA,NA,"1978",5,1,NA,NA,"Rosa GA�mez","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01554","Oviedo Museum","Sobre planta",""
"Bombus",NA,"terrestris",NA,"España","Asturias","El Cristo (Oviedo)",NA,NA,NA,"1989",6,29,NA,NA,"Teresa Sobrino","A. Bouso Yáñez",NA,NA,NA,1,NA,NA,"BOS-HYM-N01555","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Colloto",NA,NA,NA,"1983",4,5,NA,NA,"Luis Reiriz","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01556","Oviedo Museum","",""
"Bombus",NA,"sp.",NA,"España","Asturias","Veriña",NA,NA,NA,"1983",5,NA,NA,NA,"Gregorio Llanes","",NA,NA,NA,1,NA,NA,"BOS-HYM-N01557","Oviedo Museum","","Atropellada por coche"
"Bombus",NA,"sp.",NA,"España","","San Martín",NA,NA,NA,"1983",6,8,NA,NA,"MA� Dolores Rivas","Mª Dolores Rivas",NA,NA,NA,1,NA,NA,"BOS-HYM-N01558","Oviedo Museum","",""
