"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena","Chlorandrena","rhenana",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,4,15,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Alvaro Asenjo Guerra",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6998",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Chrysandrena","hesperis",NA,"Spain","A Coruña","Elviña",43.330111,-8.414682,75,2024,4,27,NA,NA,"Yamil Jimenez Rodríguez, Laura Torrado Blanco","Piluca Alvarez Fidalgo",1,1,0,0,"https://doi.org/10.70186/baeeNRAG6999",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Cnemidrandrena","dendiculata",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2023,7,19,NA,NA,"Yamil Jimenez Rodríguez, Maria Jose Servia Garcia","Alejandro Nuñez Carbajal",1,NA,0,0,"https://doi.org/10.70186/baeeNRAG7000",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","allosa",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2023,3,29,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Alejandro Nuñez Carbajal",3,1,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","allosa",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2023,4,15,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Alejandro Nuñez Carbajal",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","angustior",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2023,3,30,NA,NA,"Maria Jose Servia Garcia","Piluca Alvarez Fidalgo",2,0,0,0,"https://doi.org/10.70186/baeeNRAG6996",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","angustior",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2024,5,31,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Alvaro Asenjo Guerra",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6997",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","angustior",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2023,3,29,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Alejandro Nuñez Carbajal",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6998",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","angustior",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2024,4,17,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Piluca Alvarez Fidalgo",0,3,0,0,"https://doi.org/10.70186/baeeNRAG6999",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Euandrena","angustior",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2023,6,14,NA,NA,"Diego Benito Teno, Yamil Jimenez Rodríguez","Alejandro Nuñez Carbajal",3,0,0,0,"https://doi.org/10.70186/baeeNRAG7000",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
