"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Bombus",NA,"terrestris",NA,"España","Vizcaya","Ereño",NA,NA,NA,NA,NA,NA,NA,NA,"Bombus terrestris","R. Echeandia",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102422"
"Bombus",NA,"terrestris",NA,"España","Asturias","Las Caldas",NA,NA,NA,NA,NA,NA,NA,NA,"Ángeles García Cosío","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102423"
"Bombus",NA,"lucorum",NA,"España","Asturias","Tereñes",NA,NA,NA,"1978",5,1,NA,NA,"Mª Jesús Álvarez","Mª Jesús Álvarez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Sobre planta",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102424"
"Bombus",NA,"terrestris",NA,"España","Asturias","Santa Marina",NA,NA,NA,"1983",5,5,NA,NA,"E. Arbesú Suárez","Eulalia Arbesú",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Sobre Brassicaceas",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102425"
"Bombus",NA,"sp.",NA,"España","Asturias","Gijón",NA,NA,NA,"1979",11,4,NA,NA,"E. Cuesta García","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102426"
"Bombus",NA,"sp.",NA,"España","Asturias","Navia",NA,NA,NA,NA,NA,NA,NA,NA,"Esther Lomas","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102427"
"Bombus",NA,"sp.",NA,"España","Asturias","Avilés",NA,NA,NA,"1983",6,14,NA,NA,"Mª Elvira Torres","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102428"
"Bombus",NA,"sp.",NA,"España","Asturias","Posada de Llanera",NA,NA,NA,"1975",3,7,NA,NA,"Mª Jesús Glez","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102429"
"Bombus",NA,"sp.",NA,"España","Asturias","Perlora",NA,NA,NA,"1978",5,1,NA,NA,"Rosa Gómez","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Sobre planta",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102430"
"Bombus",NA,"terrestris",NA,"España","Asturias","El Cristo (Oviedo)",NA,NA,NA,"1989",6,29,NA,NA,"Teresa Sobrino","A. Bouso Yáñez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102431"
"Bombus",NA,"sp.",NA,"España","Asturias","Colloto",NA,NA,NA,"1983",4,5,NA,NA,"Luis Reiriz","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102432"
"Bombus",NA,"sp.",NA,"España","Asturias","Veriña",NA,NA,NA,NA,NA,NA,NA,NA,"Gregorio Llanes","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,"Atropellada por coche","87_NOCOMPLEXHymenopteros_OVIEDO_2023102433"
"Bombus",NA,"sp.",NA,"España",NA,"San Martín",NA,NA,NA,"1983",6,8,NA,NA,"Mª Dolores Rivas","Mª Dolores Rivas",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102434"
"Bombus",NA,"terrestris",NA,"España","Asturias","S. Pedro (Soto de Luiña)",NA,NA,NA,"1979",5,27,NA,NA,"Manón Funes","Manón Funes",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102435"
"Bombus",NA,"terrestris",NA,"España","Asturias","El Cristo (Oviedo)",NA,NA,NA,"1989",4,14,NA,NA,"A. M. Navarro Incio","A. M. Navarro Incio",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102436"
"Bombus",NA,"sp.",NA,"España","Asturias","Rodiles",NA,NA,NA,NA,NA,NA,NA,NA,"Dolores Silva","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Prado",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102437"
