flag;checked;synonym_names;questionable;accepted_name;accepted_subspecies;Notes
Afranthidium schultessii;Afranthidium schulthessii;NA;NA;Afranthidium schulthessii;;
Amegilla candens;NA;NA;NA;Amegilla fasciata;;It is likely that actually Amegilla andresi is also a synonym of A. fasciata (P. Rasmont pers comm), but this is not published so we do not change it for now
Amegilla canifrons;NA;NA;NA;Remove;;Canarian species
Amegilla savignyi;NA;NA;NA;Amegilla magnilabris;;If Amgeilla savigyni is distinct, it is probably a North African species only
Amegilla talaris;NA;NA;NA;Amegilla albigena;talaris;The status of A. tallaris is not clear, it may be distinct but for now should be considered a subspecies of A. albigena
Ammobates major;NA;NA;NA;Ammobates muticus;;
Andrena aegyptiaca;NA;NA;NA;Remove;;Canarian species: Andrena aegyptiaca cannabina
Andrena alfkenella o nana;NA;NA; o ;Remove;;alfkenella or nana - identification uncertain, delete record
Andrena candida;NA;NA;NA;Remove;;Not an Iberian species - delete
Andrena carantonica;NA;NA;NA;Andrena scotica;;Great taxonomic confusion over this species, currently collate records under the single name scotica. This group needs to be revised in Iberia
Andrena carbonaria;NA;NA;NA;Andrena pilipes;;
Andrena chalcogastra;NA;NA;NA;Remove;;Canarian species
Andrena clarkella;NA;NA;NA;Andrena clarkella;;This species would be new for the Iberian peninsula - possible misidentification? I would be very interested to see this specimen
Andrena curtula;Andrena urdula;NA;NA;Andrena spreta;;Great taxonomic confusion over this species, currently collate records under the single name spreta. This taxon needs to be revised
Andrena damara;Andrena avara;NA;NA;Andrena clarkella;;Canarian species
Andrena distinguenda;NA;NA;NA;Andrena nitidula;;True distinguenda does not occur in Iberia - records almost certaintly refer to nitidula
Andrena espanola;NA;NA;NA;Andrena truncatilabris;espanola;The status of espanola is not completely clear, keep as subspecies of truncatilabris for now
Andrena florea???;NA;NA;???;Remove;;Consider deleting because of the '???' indicating uncertainty over the identification
Andrena floricola;NA;NA;NA;Andrena floricola;;
Andrena fulvata;NA;NA;NA;Remove;;This species is currently unknown from the Iberian peninsula, probably a misidentification, I need to see the specimen
Andrena gelriae;NA;NA;NA;Andrena gredana;;Andrena gelriae s.l. material from Iberia is referrable to A. gredana, revision in progress
Andrena hillana;NA;NA;NA;Remove;;Canarian species
Andrena induta;NA;NA;NA;Remove;;Not an Iberian species - delete
Andrena isis;Andrena mitis;NA;NA;Remove;;Canarian species: Andrena isis canaria
Andrena leptopyga???;NA;NA;???;Remove;;Consider deleting because of the '???' indicating uncertainty over the identification
Andrena lineolata;NA;NA;NA;Remove;;Canarian species
Andrena macrocephala;NA;Andrena nigripes;NA;Remove;;Not an Iberian species - delete
Andrena maderensis;NA;NA;NA;Remove;;Madeiran species
Andrena mediovittata;NA;NA;NA;Remove;;Canarian species: Andrena mediovittata arvensis
Andrena nigroaenaea;Andrena nigroaenea;NA;NA;Andrena nigroaenea;;
Andrena nuptialis;Andrena nuptualis;NA;NA;Andrena nuptialis;;
Andrena ovatula_agg;NA;NA;_agg;Andrena ovatula;aggregate;Multiple species present in Iberia, aggregate required
Andrena ovulata;NA;NA;NA;Andrena ovatula;;
Andrena pilipes_agg;NA;NA;_agg;Andrena pilipes;;
Andrena proxima;NA;NA;NA;Andrena ampla;;Only one member of the proxima-group is present in Iberia, Andrena ampla
Andrena proxima_agg;NA;NA;_agg;Andrena ampla;;Only one member of the proxima-group is present in Iberia, Andrena ampla
Andrena rhyssonota;Andrena rhyssonata;NA;NA;Andrena rhyssonata;;
Andrena sagittaria;NA;NA;NA;Remove;;Canarian species
Andrena savignyi;NA;NA;NA;Remove;;Canarian species
Andrena scotica?;Andrena scotica;NA;?;Remove;;Delete - user uncertainty
Andrena sinuata;NA;NA;NA;Remove;;The Canarian Andrena damara and Andrena sagittaria were split out from Andrena sinuata which is North African. Check the specific island to get the species identity
Andrena spolata;Andrena polita;NA;NA;Remove;;Canarian species
Andrena squalida;NA;Andrena villipes;NA;Andrena villipes;;
Andrena subopaca;NA;NA;NA;Andrena subopaca;;
Andrena thomsonii;Andrena thomsoni;NA;NA;Andrena thomsoni;;
Andrena vachali;NA;NA;NA;Remove;;Canarian species
Andrena vaga;NA;NA;NA;Remove;;Not confirmed from Spain
Andrena wollastoni;NA;NA;NA;Remove;;Canarian species
Anthidium caturigense;NA;NA;NA;Rhodanthidium caturigense;;
Anthidium eximium;NA;NA;NA;Pseudoanthidium eximium;;
Anthidium ferrugineum;NA;NA;NA;Icteranthidium ferrugineum;;
Anthidium florentium;Anthidium florentinum;NA;NA;Anthidium florentinum;;
Anthidium fuscatum;NA;NA;NA;Remove;;No idea!
Anthidium grohmanni;NA;NA;NA;Icteranthidium grohmanni;;
Anthidium laterale;NA;NA;NA;Icteranthidium laterale;;
Anthidium laticeps;NA;NA;NA;Trachusa laticeps;;
Anthidium lituratum;NA;Pseudoanthidium scapulare;NA;Pseudoanthidium nanum;aggregate;This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate
Anthidium reticulatum;NA;NA;NA;Pseudoanthidium reticulatum;;
Anthidium schultessii;NA;NA;NA;Afranthidium schulthessii;;
Anthidium schulthessi;NA;NA;NA;Afranthidium schulthessii;;
Anthidium septemdentatum;NA;NA;NA;Rhodanthidium septemdentatum;;
Anthidium siculum;NA;NA;NA;Rhodanthidium siculum;;
Anthidium sticticum;NA;NA;NA;Rhodanthidium sticticum;;
Anthidium strigatum;NA;NA;NA;Anthidiellum strigatum;;
Anthocopa anceyi;NA;Hoplosmia anceyi;NA;Osmia anceyi;;
Anthocopa bidentata;NA;Hoplosmia bidentata;NA;Remove;;Not present in Iberia - greatly confused with Osmia anceyi and Osmia ligurica
Anthocopa bisulca;NA;NA;NA;Hoplitis bisulca;;
Anthocopa cristatitla;NA;NA;NA;Hoplitis cristatula;;
Anthocopa ligurica;NA;Hoplosmia ligurica;NA;Osmia ligurica;;
Anthocopa ononidis;NA;NA;NA;Osmia tergestensis;;
Anthocopa papaveris;NA;NA;NA;Hoplitis papaveris;;
Anthophora acervorum;NA;NA;NA;Anthophora plumipes;;
Anthophora alluaudi;NA;NA;NA;Remove;;Canarian species
Anthophora biciliata;NA;NA;NA;Anthophora affinis;;
Anthophora dispar?;Anthophora dispar;NA;?;Remove;;Delete - user uncertainty
Anthophora erschowi;NA;NA;NA;Remove;;Not known from Iberia
Anthophora nigrilabris;NA;NA;NA;Remove;;Maybe referring to Eucera nigrilabris? Would need to ask the author
Anthophora orotavae;NA;NA;NA;Remove;;Canarian species
Anthophora pubescens;NA;NA;NA;Anthophora pubescens;;
Anthophora pulverosa;NA;NA;NA;Remove;;Canarian species
Anthophora purpuraria;NA;NA;NA;Remove;;Canarian species
Anthophora quadricolor;NA;NA;NA;Anthophora gallica;;True quadricolor is a North African species
Anthophora rutilans;NA;NA;NA;Remove;;Not confirmed from Spain
Anthophora salviae;NA;NA;NA;Anthophora crinipes;;
Anthophora senescens;Anthophora canescens;NA;NA;Anthophora senescens;;Certainly distinct from Anthophora canescens
Anthophora subterranea;NA;Anthophorini;NA;Anthophora canescens;;
Anthophora testaceipes;NA;NA;NA;Remove;;No idea!
Anthophora thomsoni;NA;NA;NA;Anthophora atriceps;;
Apis henshawi;NA;NA;NA;Remove;;No idea!
Apis manicatum;NA;NA;NA;Remove;;Probably Anthidium manicatum, but this must be from a really old paper
Apis melifera;Apis mellifera;NA;NA;Apis mellifera;;
Apis villosa;NA;NA;NA;Remove;;No idea!
Bombus cerdanyensis;NA;NA;NA;Remove;;No idea!
Bombus cornutus;NA;NA;NA;Remove;;Osmia cornuta?
Bombus inexspectatus;Bombus inexpectatus;NA;NA;Bombus inexpectatus;;
Bombus laponicus;NA;NA;NA;Remove;;Not in Iberia
Bombus maxillosus;NA;NA;NA;Bombus barbutellus;;
Bombus mocsaryi;NA;NA;NA;Bombus laesus;;New synonymy
Bombus pascuroum;Bombus pascuorum;NA;NA;Bombus pascuorum;;
Bombus pauloensis;NA;NA;NA;Remove;;No idea!
Bombus reinigiellus;NA;NA;NA;Bombus hortorum;;New synonymy, will be published this year
Ceratina albosticta;NA;NA;NA;Remove;;Not in Iberia, confused with Ceratina cyanea
Ceratina centriventis;NA;NA;NA;Remove;;No idea!
