Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja
Creightonella;NA;albisecta;Colmenarejo;NA;Madrid;España;18;7;2007;NA;NA;NA;NA;P. Vargas;C. Ornosa;NA;1;NA;UCME
Anthidiellum;Anthidiell;strigatum;P.N. Cabañeros;NA;NA;España;NA;NA;NA;NA;NA;NA;NA;A. Recarte;C. Ornosa;NA;NA;1;de Alicante/UCME
Megachile;Eutrichar;leachella;P.N. Cabañeros;NA;NA;España;18;9;2007;NA;NA;NA;NA;A. Recarte;C. Ornosa;NA;NA;1;de Alicante/UCME
Megachile;Eutrichar;leachella;P.N. Cabañeros;NA;NA;España;19;9;2007;NA;NA;NA;NA;A. Recarte;C. Ornosa;NA;NA;1;de Alicante/UCME
Osmia ;Osmia;rufa;Cerro Colgado;Cercedilla ;Madrid;España;4;5;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32""W";C. Ornosa;C. Ornosa;NA;NA;1;UCME
Anthidium;Anthidium;cingulatum;Cabo de Gata;NA;Almería;España;20;5;2008;NA;NA;NA;NA;P. Vargas;C. Ornosa;NA;NA;1;UCME
Lithurgus;NA;chrysurus;Pozo de Don Juan ;Velez Blanco;Almería;España;29;7;2006;NA;NA;1180m;"37º49'40.1""N 02º12'57.4""W";J. Ortiz;J. Ortiz;2008;1;NA;UCME
Lithurgus;NA;chrysurus;Pozo de Don Juan ;Velez Blanco;Almería;España;29;7;2006;NA;NA;1180m;"37º49'40.1""N 02º12'57.4""W";J. Ortiz;J. Ortiz;2008;1;NA;UCME
Lithurgus;NA;chrysurus;Pozo de Don Juan ;Velez Blanco;Almería;España;29;7;2006;NA;NA;1180m;"37º49'40.1""N 02º12'57.4""W";J. Ortiz;J. Ortiz;2008;NA;1;UCME
Lithurgus;NA;chrysurus;Macián  ;Velez Blanco;Almería;España;12;7;2006;NA;NA;1200m;"37º49'40.1""N 02º12'57.4""W";J. Ortiz;J. Ortiz;2008;NA;1;UCME
Rhodanthidium;Rhodanthidium;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26;03;2008;NA;NA;NA;NA;673;J. Ortiz;2008;1;NA;UCME
Rhodanthidium;Rhodanthidium;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26;03;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2008;1;NA;UCME
Rhodanthidium;Rhodanthidium;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26;03;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2008;1;NA;UCME
Rhodanthidium;NA;septemdentatum;Tibi;NA;Alicante;España;6;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;UCME
Anthidium;Anthidium;florentinum;Tibi;NA;Alicante;España;6;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Tibi;NA;Alicante;España;6;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Albaida;NA;Valencia;España;7;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Proanthid;oblongatum;Albaida;NA;Valencia;España;7;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Albaida;NA;Valencia;España;7;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Albaida;NA;Valencia;España;7;6;2008;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Galapagar;NA;Madrid;España;25;7;2008;NA;NA;930 m;40.576642ºN 4.14372W;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Anthidium;Anthidium;florentinum;Galapagar;NA;Madrid;España;25;7;2009;NA;NA;931 m;40.576642ºN 4.014372W;J. Ortiz;C. Ornosa;2008;1;NA;  de Almería
Stelis ;Stelis;phaeoptera;La Tejera.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;540m;NA;F. Torres;C. Ornosa;2008;1;NA;NA
Stelis ;Stelis;phaeoptera;La Tejera.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;540m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Stelis ;Stelis;phaeoptera;La Tejera.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;540m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Stelis ;Stelis;phaeoptera;La Tejera.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;540m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Stelis ;Stelis;phaeoptera;La Tejera.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;540m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Stelis ;Stelis;phaeoptera;El Raso.   Agoncillo;NA;La Rioja;España;NA;05;2008;NA;NA;340m;NA;F. Torres;C. Ornosa;2008;1;NA;Salamanca UCME
Anthidium;Anthidium;manicatum;Las Arenillas.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;410m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
Anthidium;Anthidium;manicatum;Las Arenillas.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;410m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
Anthidium;Anthidium;manicatum;Las Arenillas.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;410m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Anthidium;Anthidium;manicatum;Las Arenillas.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;410m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Anthidium;Anthidium;manicatum;Las Arenillas.    San Asensio;NA;La Rioja;España;NA;05;2008;NA;NA;410m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca
Anthidium;Anthidium;manicatum;Hayedo.       Ventosa;NA;La Rioja;España;NA;05;2008;NA;NA;730m;NA;F. Torres;C. Ornosa;2008;1;NA;Salamanca
Anthidium;Anthidium;manicatum;Hayedo.       Ventosa;NA;La Rioja;España;NA;05;2008;NA;NA;730m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
Anthidium;Anthidium;manicatum;Hayedo.       Ventosa;NA;La Rioja;España;NA;05;2008;NA;NA;730m;NA;F. Torres;C. Ornosa;2008;1;NA;Salamanca
Anthidium;Anthidium;manicatum;Hayedo.       Ventosa;NA;La Rioja;España;NA;05;2008;NA;NA;730m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
Anthidium;Anthidium;manicatum;Hayedo.       Ventosa;NA;La Rioja;España;NA;05;2008;NA;NA;730m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
Anthidium;Anthidium;manicatum;Ribarrey.       Cenicero;NA;La Rioja;España;NA;05;2008;NA;NA;522m;NA;F. Torres;C. Ornosa;2008;1;NA;Salamanca
Anthidium;Anthidium;manicatum;Ribarrey.       Cenicero;NA;La Rioja;España;NA;05;2008;NA;NA;522m;NA;F. Torres;C. Ornosa;2008;NA;1;Salamanca UCME
