Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;17;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;17;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;01;01;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Megachile;Neoeutricharaea;apicalis;Cuesta Laguardia;Ventosa;La Rioja;España;01;01;2007;NA;NA;600 m;NA;L. Baños;Torres;2008;NA;1;NA
Megachile;Eutricharaea;leachella;Cerro Colgado;Cercedilla ;Madrid;España;27;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;NA;NA;1;NA
Megachile;Eutricharaea;leachella;Cerro Colgado;Cercedilla ;Madrid;España;28;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;NA;NA;1;NA
Trachusa ;byssina;NA;Puerto de Navafría    ;NA;Madrid;NA;23;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;NA;1;NA
Pseudoanthidium ;melanurum;NA;Navacerrada (Barranca);NA;Madrid;NA;27;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;1;NA;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;parietina;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Megachile;Xanthosarus;analis;Bco. Nacimiento (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2650;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;pyrenaica;Río Mulhacén (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2575;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;Chalicodoma;pyrenaica;Río Mulhacén (Sª Nevada);Capileira;Granada;España;3;8;2008;NA;NA;2575;"37º01'55,1""N 3º19'29,1""W";J. Ortiz;J. Ortiz;2008;NA;1;NA
Chalicodoma;NA;ericetorum;Río Blanco;Aguadulce;Sevilla;España;17;5;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2009;1;NA;Almería UCME
Chalicodoma;NA;ericetorum;Río Blanco;Aguadulce;Sevilla;España;17;5;2008;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2009;NA;1;Almería UCME
Trachusa ;byssina;NA;Puerto de Navafría    ;NA;Madrid;NA;23;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;NA;1;NA
Pseudoanthidium ;melanurum;NA;Navacerrada (Barranca);NA;Madrid;NA;27;7;1979;NA;NA;NA;NA;C. Pérez-Íñigo ;C. Ornosa;2008;1;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;Idesa;Ventosa;La Rioja;España;NA;NA;2007;NA;NA;600 m;NA;L. Baños;Torres;2009;NA;NA;NA
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;NA;1;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
Megachile;NA;centuncularis;San Cebrín;San Asensio;La Rioja;España;NA;NA;2007;NA;NA;500 m;NA;L. Baños;Torres;2008;1;NA;Salamanca    UCME
