;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
386;386;MED1CA;NA;Oxythyrea;funesta;unknown;Cistus;albidus;L.O. Aguado;13;5;2004
387;387;MED1CA;NA;Oxythyrea;funesta;unknown;Cistus;albidus;L.O. Aguado;13;5;2004
388;388;MED1CA;NA;Oxythyrea;funesta;unknown;Cistus;albidus;L.O. Aguado;13;5;2004
389;389;SEL2OP;NA;Oxythyrea;funesta;unknown;Dianthus;caryophyllus;L.O. Aguado;21;6;2004
390;390;SEL1OP;NA;Oxythyrea;funesta;unknown;Psoralea;bituminosa;L.O. Aguado;23;6;2004
391;391;SEL2OP;NA;Oxythyrea;funesta;unknown;Opuntia;sp;L.O. Aguado;21;6;2004
392;392;SEL2OP;NA;Oxythyrea;funesta;unknown;Opuntia;sp;L.O. Aguado;21;6;2004
393;393;SEL2OP;NA;Oxythyrea;funesta;unknown;Opuntia;sp;L.O. Aguado;21;6;2004
394;394;BAT2CA;NA;Tropinota;squalida;unknown;Comp4;NA;L.O. Aguado;27;4;2004
395;395;MEDCA;NA;Tropinota;squalida;unknown;Carpobrotus;edulis;L.O. Aguado;01;5;2005
396;396;SEL2OP;NA;Mylabris;quadripunctata;unknown;Psoralea;bituminosa;L.O. Aguado;21;6;2004
397;397;SEL2OP;NA;Mylabris;quadripunctata;unknown;NA;NA;L.O. Aguado;8;6;2005
398;398;SEL2OP;NA;Mylabris;quadripunctata;unknown;Opuntia;sp;L.O. Aguado;21;6;2004
399;399;MIQ2OP;NA;Mylabris;quadripunctata;unknown;Opuntia;sp;L.O. Aguado;6;7;2004
400;400;SEL2OP;NA;Mylabris;quadripunctata;unknown;Psoralea;bituminosa;L.O. Aguado;8;6;2005
401;401;SEL2OP;NA;Mylabris;quadripunctata;unknown;Psoralea;bituminosa;L.O. Aguado;21;6;2004
402;402;SEL2OP;NA;Mylabris;quadripunctata;unknown;Psoralea;bituminosa;L.O. Aguado;21;6;2004
403;403;MIQ2OP;NA;Mylabris;quadripunctata;unknown;Daucus;carota;L.O. Aguado;29;6;2004
404;404;MEDCA;NA;Chryptocephalus;sp;unknown;Sonchus;tenerrimus;L.O. Aguado;01;5;2006
405;405;MED4CA;NA;Chryptocephalus;sp;unknown;Cistus;albidus;L.O. Aguado;14;4;2005
406;406;MED1CA;NA;Chryptocephalus;sp;unknown;Cistus;salvifolius;L.O. Aguado;26;4;2005
407;407;MED1CA;NA;Chryptocephalus;sp;unknown;Cistus;salvifolius;L.O. Aguado;26;4;2005
408;408;MED3CA;NA;Chryptocephalus;sp;unknown;Cistus;albidus;L.O. Aguado;28;3;2005
409;409;SEL1OP;NA;Chryptocephalus;sp;unknown;Sedum;sp;I. Bartomeus;23;6;2004
410;410;BAT2CA;NA;Chryptocephalus;sp;unknown;Comp2;NA;I. Bartomeus;27;4;2004
411;411;BAT2CA;NA;Chryptocephalus;sp;unknown;Comp2;NA;I. Bartomeus;27;4;2004
412;412;BAT2CA;NA;Chryptocephalus;sp;unknown;Comp2;NA;I. Bartomeus;27;4;2004
413;413;BAT2CA;NA;Chryptocephalus;sp;unknown;Comp2;NA;I. Bartomeus;27;4;2004
414;414;BAT1CA;NA;Chryptocephalus;sp;unknown;Aetheorrina;bulbosa;I. Bartomeus;13;4;2005
415;415;MED4CA;NA;Chryptocephalus;sp;unknown;Sonchus;tenerrimus;I. Bartomeus;14;4;2005
416;416;BAT2CA;NA;Chryptocephalus;sp;unknown;Aetheorrina;bulbosa;I. Bartomeus;21;4;2005
417;417;MEDCA;NA;Chryptocephalus;sp;unknown;Sonchus;tenerrimus;I. Bartomeus;NA;5;2006
418;418;SEL1OP;NA;Trichodes;leucopsideus;unknown;Daucus;carota;L.O. Aguado;23;6;2004
419;419;SEL1OP;NA;Trichodes;leucopsideus;unknown;Daucus;carota;L.O. Aguado;23;6;2004
420;420;MIQ1OP;NA;Trichodes;leucopsideus;unknown;Eryngium;sp;L.O. Aguado;29;6;2004
421;421;SEL2OP;NA;Stenopterus;rufus;unknown;Sedum;sp;I. Bartomeus;21;6;2004
422;422;SEL2OP;NA;Tricocerus;sp;unknown;Umbelifera;NA;I. Bartomeus;21;6;2004
423;423;BAT2CA;NA;Oedemera;flavipes;unknown;Carpobrotus;edulis;I. Bartomeus;14;5;2004
424;424;MEDCA;NA;Oedemera;flavipes;unknown;Carpobrotus;edulis;I. Bartomeus;NA;5;2006
425;425;SEL1OP;NA;Oedemera;flavipes;unknown;Eryngium;sp;I. Bartomeus;23;6;2004
426;426;SEL1OP;NA;Oedemera;flavipes;unknown;Eryngium;sp;I. Bartomeus;23;6;2004
427;427;MED3CA;NA;Oedemera;flavipes;unknown;Cistus;monspeliensis;I. Bartomeus;13;5;2004
428;428;SEL2OP;NA;Oedemera;flavipes;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
429;429;SEL1OP;NA;Oedemera;flavipes;unknown;Eryngium;sp;I. Bartomeus;23;6;2004
430;430;MED2CA;NA;Oedemera;flavipes;unknown;Cistus;monpeliensis;I. Bartomeus;18;5;2004
431;431;BAT2CA;NA;Oedemera;flavipes;unknown;Sonchus;tenerrimus;I. Bartomeus;8;5;2005
432;432;SEL2OP;NA;Oedemera;flavipes;unknown;Opuntia;sp;I. Bartomeus;8;6;2005
433;433;SEL2OP;NA;Oedemera;flavipes;unknown;Opuntia;sp;I. Bartomeus;21;6;2005
434;434;MED2CA;NA;Oedemera;flavipes;unknown;Cistus;monpeliensis;I. Bartomeus;11;5;2005
435;435;BAT2CA;NA;Oedemera;flavipes;unknown;Sonchus;tenerrimus;I. Bartomeus;8;5;2005
436;436;BAT2CA;NA;Oedemera;flavipes;unknown;Sonchus;tenerrimus;I. Bartomeus;8;5;2005
437;437;SEL2OP;NA;Oedemera;lurida;unknown;Dianthus;caryophyllus;I. Bartomeus;21;6;2004
438;438;SEL2OP;NA;Oedemera;lurida;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
439;439;SEL1OP;NA;Oedemera;lurida;unknown;Daucus;sp;I. Bartomeus;23;6;2004
440;440;FRA1OP;NA;Oedemera;lurida;unknown;Daucus;sp;I. Bartomeus;22;6;2004
441;441;BAT2CA;NA;Oedemera;lurida;unknown;Carpobrotus;edulis;I. Bartomeus;8;5;2005
442;442;SEL2OP;NA;Oedemera;lurida;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
443;443;FRA2OP;NA;Oedemera;lurida;unknown;Sonchus;tenerrimus;I. Bartomeus;9;6;2005
444;444;BAT2CA;NA;Oedemera;lurida;unknown;Carpobrotus;edulis;I. Bartomeus;28;4;2005
445;445;MED3CA;NA;Oedemera;lurida;unknown;Cistus;albidus;I. Bartomeus;27;4;2005
446;446;BAT2CA;NA;Oedemera;nobilis;unknown;Carpobrotus;edulis;I. Bartomeus;8;5;2005
447;447;MED2CA;NA;Oedemera;nobilis;unknown;Cistus;monpeliensis;I. Bartomeus;18;3;2004
449;449;FRA2OP;NA;Oedemera;nobilis;unknown;Daucus;carota;I. Bartomeus;22;6;2004
450;450;SEL1OP;NA;Oedemera;nobilis;unknown;Eryngium;sp;I. Bartomeus;23;6;2004
451;451;SEL2OP;NA;Oedemera;nobilis;unknown;Umbelifera;sp;I. Bartomeus;21;6;2004
452;452;SEL1OP;NA;Oedemera;nobilis;unknown;Eryngium;sp;I. Bartomeus;23;6;2004
453;453;SEL1OP;NA;Oedemera;nobilis;unknown;Sedum;sp;I. Bartomeus;23;6;2004
454;454;SEL1OP;NA;Mordellistena;pumila;unknown;Sedum;sp;I. Bartomeus;23;6;2004
455;455;FRA1OP;NA;Mordellistena;pumila;unknown;Daucus;carota;I. Bartomeus;9;6;2005
456;456;SEL1OP;NA;Mordellistena;pumila;unknown;Eryngium;sp;I. Bartomeus;23;6;2005
457;457;FRA1OP;NA;Mordella;bipunctata;unknown;Daucus;sp;I. Bartomeus;22;6;2004
458;458;FRA1OP;NA;Mordella;bipunctata;unknown;Daucus;sp;I. Bartomeus;22;6;2004
459;459;SEL1OP;NA;Mordella;bipunctata;unknown;Daucus;sp;I. Bartomeus;23;6;2004
