"","x"
"1","Ancistrocerus"
"2","Anthaxia"
"3","Bibio"
"4","Bombilius"
"5","Callophorys"
"6","Camponotus"
"7","Cephus"
"8","Cetonia"
"9","Chryptocephalus"
"10","Chrysis"
"11","Chrysolina"
"12","Chrysoperla"
"13","Coccinella"
"14","Colias"
"15","Conophorus"
"16","Crysura"
"17","Dasyscolia"
"18","Euphorinae"
"19","Formosia"
"20","Graphosoma"
"21","Gymnosoma"
"22","Hedychridium"
"23","Hyponephele"
"24","Lasiopogon"
"25","Megachilini"
"26","Megascolia"
"27","Mordella"
"28","Mordellistena"
"29","Mylabris"
"30","Myopa"
"31","Netocia"
"32","Oedemera"
"33","Osmiini"
"34","Oxybelus"
"35","Oxythyrea"
"36","Paranthidiellum"
"37","Physocephala"
"38","Pieris"
"39","Platynochaetus"
"40","Polistes"
"41","Pontia"
"42","Psylotrix"
"43","Pyronia"
"44","Reanthidium"
"45","Rhagonycha"
"46","Scabiosa"
"47","Scolia"
"48","Selidopogon"
"49","Sphaerophoeria"
"50","Spheciade"
"51","Sphex"
"52","Stenopterus"
"53","Trichodes"
"54","Tricocerus"
"55","Tropinota"
"56","Vanessa"
"57","Vestitohalictus"
