"","db","query","genus","order","family"
"1","itis","Acrobasis porphyrella",NA,NA,NA
"2","itis","Afranthidium malacopygum","Afranthidium","Hymenoptera","Megachilidae"
"3","itis","Afranthidium schultessii",NA,NA,NA
"4","itis","Agrotis puta",NA,NA,NA
"5","itis","Amegilla albifrons",NA,NA,NA
"6","itis","Amegilla candens",NA,NA,NA
"7","itis","Amegilla canifrons","Amegilla","Hymenoptera","Apidae"
"8","itis","Amegilla savignyi","Amegilla","Hymenoptera","Apidae"
"9","itis","Amegilla talaris","Amegilla","Hymenoptera","Apidae"
"10","itis","Ammophila heydeni","Ammophila","Hymenoptera","Sphecidae"
"11","itis","Anarrhinum bellidifolium",NA,NA,NA
"12","itis","Ancistrocerus oviventris",NA,NA,NA
"13","itis","Andrena aegyptiaca","Andrena","Hymenoptera","Andrenidae"
"14","itis","Andrena albupunctata",NA,NA,NA
"15","itis","Andrena armata",NA,NA,NA
"16","itis","Andrena benoisti",NA,NA,NA
"17","itis","Andrena candida","Andrena","Hymenoptera","Andrenidae"
"18","itis","Andrena carantonica","Andrena","Hymenoptera","Andrenidae"
"19","itis","Andrena carbonaria",NA,NA,NA
"20","itis","Andrena chalcogastra","Andrena","Hymenoptera","Andrenidae"
"21","itis","Andrena coitana","Andrena","Hymenoptera","Andrenidae"
"22","itis","Andrena curtula","Andrena","Hymenoptera","Andrenidae"
"23","itis","Andrena damara","Andrena","Hymenoptera","Andrenidae"
"24","itis","Andrena distinguenda","Andrena","Hymenoptera","Andrenidae"
"25","itis","Andrena dourada","Andrena","Hymenoptera","Andrenidae"
"26","itis","Andrena dunningi","Andrena","Hymenoptera","Andrenidae"
"27","itis","Andrena espanola",NA,NA,NA
"28","itis","Andrena flava",NA,NA,NA
"29","itis","Andrena fortipunctata",NA,NA,NA
"30","itis","Andrena fulvata","Andrena","Hymenoptera","Andrenidae"
"31","itis","Andrena gallica","Andrena","Hymenoptera","Andrenidae"
"32","itis","Andrena gelriae","Andrena","Hymenoptera","Andrenidae"
"33","itis","Andrena hillana","Andrena","Hymenoptera","Andrenidae"
"34","itis","Andrena hispanica",NA,NA,NA
"35","itis","Andrena induta","Andrena","Hymenoptera","Andrenidae"
"36","itis","Andrena isis","Andrena","Hymenoptera","Andrenidae"
"37","itis","Andrena juliana",NA,NA,NA
"38","itis","Andrena levante",NA,NA,NA
"39","itis","Andrena lineolata","Andrena","Hymenoptera","Andrenidae"
"40","itis","Andrena macrocephala",NA,NA,NA
"41","itis","Andrena maderensis","Andrena","Hymenoptera","Andrenidae"
"42","itis","Andrena maderiensis",NA,NA,NA
"43","itis","Andrena mediovittata",NA,NA,NA
"44","itis","Andrena minuta",NA,NA,NA
"45","itis","Andrena nigroaenaea",NA,NA,NA
"46","itis","Andrena numida","Andrena","Hymenoptera","Andrenidae"
"47","itis","Andrena ocreata",NA,NA,NA
"48","itis","Andrena ornata","Andrena","Hymenoptera","Andrenidae"
"49","itis","Andrena orotavensis",NA,NA,NA
"50","itis","Andrena ovulata",NA,NA,NA
"51","itis","Andrena parvula",NA,NA,NA
"52","itis","Andrena proxima","Andrena","Hymenoptera","Andrenidae"
"53","itis","Andrena quadrimaculata","Andrena","Hymenoptera","Andrenidae"
"54","itis","Andrena rhyssonota","Andrena","Hymenoptera","Andrenidae"
"55","itis","Andrena sagittaria","Andrena","Hymenoptera","Andrenidae"
"56","itis","Andrena savignyi","Andrena","Hymenoptera","Andrenidae"
"57","itis","Andrena sinuata","Andrena","Hymenoptera","Andrenidae"
"58","itis","Andrena spolata","Andrena","Hymenoptera","Andrenidae"
"59","itis","Andrena squalida",NA,NA,NA
"60","itis","Andrena strohmella","Andrena","Hymenoptera","Andrenidae"
"61","itis","Andrena taraxaci","Andrena","Hymenoptera","Andrenidae"
"62","itis","Andrena ternuistriata",NA,NA,NA
"63","itis","Andrena thomsonii","Andrena","Hymenoptera","Andrenidae"
"64","itis","Andrena vachali","Andrena","Hymenoptera","Andrenidae"
"65","itis","Andrena vaga","Andrena","Hymenoptera","Andrenidae"
"66","itis","Andrena wollastoni","Andrena","Hymenoptera","Andrenidae"
"67","itis","Anthaxia dimidiata",NA,NA,NA
"68","itis","Anthaxia parallela",NA,NA,NA
"69","itis","Anthidium blongatum",NA,NA,NA
"70","itis","Anthidium canariensis",NA,NA,NA
"71","itis","Anthidium caturigense",NA,NA,NA
"72","itis","Anthidium eximium",NA,NA,NA
"73","itis","Anthidium ferrugineum",NA,NA,NA
"74","itis","Anthidium florentimun",NA,NA,NA
"75","itis","Anthidium florentium",NA,NA,NA
"76","itis","Anthidium fuscatum",NA,NA,NA
"77","itis","Anthidium grohmanni",NA,NA,NA
"78","itis","Anthidium laterale",NA,NA,NA
"79","itis","Anthidium laticeps",NA,NA,NA
"80","itis","Anthidium latreillei",NA,NA,NA
"81","itis","Anthidium lituratum",NA,NA,NA
"82","itis","Anthidium reticulatum",NA,NA,NA
"83","itis","Anthidium schultessii",NA,NA,NA
"84","itis","Anthidium schulthessi",NA,NA,NA
"85","itis","Anthidium septemdentatum",NA,NA,NA
"86","itis","Anthidium siculum",NA,NA,NA
"87","itis","Anthidium sticticum",NA,NA,NA
"88","itis","Anthidium stictium",NA,NA,NA
"89","itis","Anthidium strigatum",NA,NA,NA
"90","itis","Anthidium trematum",NA,NA,NA
"91","itis","Anthidium variegatum",NA,NA,NA
"92","itis","Anthophora acervorum",NA,NA,NA
"93","itis","Anthophora alluaudi","Anthophora","Hymenoptera","Apidae"
"94","itis","Anthophora biciliata",NA,NA,NA
"95","itis","Anthophora californica","Anthophora","Hymenoptera","Apidae"
"96","itis","Anthophora erschowi","Anthophora","Hymenoptera","Apidae"
"97","itis","Anthophora hispanicus",NA,NA,NA
"98","itis","Anthophora liefrincki",NA,NA,NA
"99","itis","Anthophora nigrilabris","Anthophora","Hymenoptera","Apidae"
"100","itis","Anthophora nigrocincta",NA,NA,NA
"101","itis","Anthophora orotavae","Anthophora","Hymenoptera","Apidae"
"102","itis","Anthophora pulverosa","Anthophora","Hymenoptera","Apidae"
"103","itis","Anthophora purpuraria","Anthophora","Hymenoptera","Apidae"
"104","itis","Anthophora quadricolor","Anthophora","Hymenoptera","Apidae"
"105","itis","Anthophora rutilans","Anthophora","Hymenoptera","Apidae"
"106","itis","Anthophora salviae",NA,NA,NA
"107","itis","Anthophora subterranea",NA,NA,NA
"108","itis","Anthophora testaceipes","Anthophora","Hymenoptera","Apidae"
"109","itis","Anthophora thomsoni","Anthophora","Hymenoptera","Apidae"
"110","itis","Anthophora toracica",NA,NA,NA
"111","itis","Apis henshawi",NA,NA,NA
"112","itis","Apis manicatum",NA,NA,NA
"113","itis","Apis melifera",NA,NA,NA
"114","itis","Aricia cramera",NA,NA,NA
"115","itis","Autographa gamma","Autographa","Lepidoptera","Noctuidae"
"116","itis","Bembix flavescens","Bembix","Hymenoptera","Crabronidae"
"117","itis","Bembix olivacea","Bembix","Hymenoptera","Crabronidae"
"118","itis","Bombus canariensis",NA,NA,NA
"119","itis","Bombus cerdanyensis",NA,NA,NA
"120","itis","Bombus cryptarum","Bombus","Hymenoptera","Apidae"
"121","itis","Bombus elegans","Bombus","Hymenoptera","Apidae"
"122","itis","Bombus inexpectatus",NA,NA,NA
"123","itis","Bombus laponicus",NA,NA,NA
"124","itis","Bombus maxillosus",NA,NA,NA
"125","itis","Bombus mocsaryi",NA,NA,NA
"126","itis","Bombus montincola",NA,NA,NA
"127","itis","Bombus pascuroum",NA,NA,NA
"128","itis","Bombus pauloensis","Bombus","Hymenoptera","Apidae"
"129","itis","Bombus qeistaeckeri",NA,NA,NA
"130","itis","Bombus reinigiellus",NA,NA,NA
"131","itis","Bombus rudararius",NA,NA,NA
"132","itis","Bombus sicheli",NA,NA,NA
"133","itis","Bombus silvestris",NA,NA,NA
"134","itis","Bombus subterraneous",NA,NA,NA
"135","itis","Bombus terrestri","Bombus","Hymenoptera","Apidae"
"136","itis","Bombus wuerflenii",NA,NA,NA
"137","itis","Bombus wurfleinii",NA,NA,NA
"138","itis","Bombylius argentifrons",NA,NA,NA
"139","itis","Bombylius ater",NA,NA,NA
"140","itis","Bombylius fulvescens",NA,NA,NA
"141","itis","Bombylius torquatus",NA,NA,NA
"142","itis","Callophorys rubi",NA,NA,NA
"143","itis","Camponotus lateralis","Camponotus","Hymenoptera","Formicidae"
"144","itis","Camponotus sicheli","Camponotus","Hymenoptera","Formicidae"
"145","itis","Cardiophorus bipunctatus",NA,NA,NA
"146","itis","Cataglyphis viatica",NA,NA,NA
"147","itis","Cephus pygmeus",NA,NA,NA
"148","itis","Ceratina albosticta","Ceratina","Hymenoptera","Apidae"
"149","itis","Ceratina calybea",NA,NA,NA
"150","itis","Ceratina centriventis",NA,NA,NA
"151","itis","Ceratina cucurbitula",NA,NA,NA
"152","itis","Ceratina curcubitina",NA,NA,NA
"153","itis","Cerceris arenaria","Cerceris","Hymenoptera","Crabronidae"
"154","itis","Cerceris rybiensis",NA,NA,NA
"155","itis","Cerocala scapulosa",NA,NA,NA
