",Var1,Freq,Locality,Lat ,Long ,""Precision(site, city, natural park, etcÉ)"","
"1,""""""Finca Zamadue?as"""""",248,Zamadue–as,41.698036,-4.708621,Site,"
2,Toro,234,Toro,41.524042,-5.393639,City,
3,Granja Escuela Jose Antonio,172,auditorio_Delibes,41.643131,-4.748269,Site,
4,Villab??ez,115,,,,,
5,Santo?a,105,SantoÐa,43.447315,-3.483581,Natural Park,Geotag taken from middle of Natural Park
6,Traspinedo,100,,41.585523,-4.477209,Municipality,
7,Do?ana,94,DoÐana,36.984063,-6.382262,National Park,Geotag taken from middle of park
"8,""""""""""Finca Zamadue?as"""""""""",78,ZamadueÐas,41.698036,-4.708621,Site,"
9,Hornillos,73,Hornillos,41.366347,-4.719036,Village,
10,Quintanilla de Abajo,72,,41.625675,-4.36155,Municipality,
11,Alba de los Cardaños,62,Alba de los Cardaños,42.908458,-4.718973,Village,
12,Íscar,60,,41.351162,-4.53232,Municipality,
"13,""""""Camino Hondo"""" Granja Escuela Jose Antonio"",60,auditorio_Delibes,,,,"
14,El Pinar,60,,,,,
15,Montes de Oca,54,,42.390258,-3.211928,Region,
16,Cazorla,52,,38.125509,-2.718551,National Park,
17,Cantalejo,49,,41.257376,-3.927324,Municipality,
18,Villafranca del Bierzo,49,,42.608515,-6.808033,Village ,
19,Batuecas,47,,40.420242,-6.187191,Natural park,
20,Paredes de Nava,47,,42.152683,-4.692188,Municipality,
21,Pe?afiel,44,PeÐafiel,41.59734,-4.120817,Town,
22,Cigales,43,,41.757706,-4.697975,Municipality,
23,Osera,43,,41.534312,-0.579094,Municipality,
24,Papiol,41,,41.44657,-0.023773,Natural Park,
25,Sanabria,41,,42.093411,-6.728564,Town ,
26,Fuentiduena,39,FuentidueÐa,41.441263,-3.964435,Municipality,
27,Sierra de Cazorla,39,,38.233389,-2.652265,Natural Park,
28,Villanueva,39,,38.973984,-5.795797,Municipality,
29,Mula,38,,38.039969,-1.491907,Municipality,
30,Quintanilla de Yuso,38,,42.241368,-6.377228,Village,
31,Valladolid,38,,41.63572,-4.732603,City,
32,San Miguel de Arroyo,36,,41.443061,-4.460218,Municipality,
33,Bejes,33,,43.24247,-4.64643,Village,
34,Roldan,31,,37.797301,-1.007145,Pedanía of the Torre Pacheco municipality,
35,Guisando,30,,40.213826,-5.13804,Municipality,
36,Parc. 16 Granja Escuela Jose Antonio,30,auditorio_Delibes,41.643099,-4.747883,Site,Farm school
37,Piedrafita del Cebrero,30,,42.726724,-7.021199,Municipality,
"38,""""""Los ?lamos"""""",29,,,,,"
39,Librilla,28,,37.886558,-1.354729,Village,
40,Alcala de Henares,26,,40.481974,-3.365991,City,
41,Fuensaldana,26,,41.706764,-4.765457,Municipality,
42,Mojados,26,,41.431092,-4.664313,Municipality,
"43,Perrozo,25,,43.117828,-4.550059,Site,""Perrozo is a place in the municipality of Cabezón de Liébana ( Cantabria , Spain )"""
44,Salamanca,24,,40.966933,-5.663033,City,
45,Fuentespina?,23,,41.633216,-3.686378,Municipality,
"46,""""""Granja de Ma?ces"""""",,,,,,"
47,Pastrana,21,,40.417562,-2.922062,Municipality ,
48,Quintanilla de abajo,21,,41.624969,-4.36228,Municipality ,
49,Tapia de Casariego,21,,43.570089,-6.944229,Municipality ,
50,Arnuero,20,,43.470643,-3.568431,Municipality ,
51,Alcazar?n,19,,,,,
52,Guadalupe,19,,39.452567,-5.326872,Municipality,
53,Padilla,19,,,,,Padilla de Abajo or Padilla de Arriba?
54,parc.16,,,,,,
55,La Alberca,18,,40.479137,-6.130809,Municipality,
56,Trillayo,18,,43.186728,-4.593621,Town,
"57,""""""Camino Hondo"""" Talud 1"",,,,,,"
58,Quintanilla de Onesimo,17,,41.625226,-4.362065,Municipality,
59,Taller Granja Escuela Jose Antonio,17,,41.643099,-4.747883,Farm School,
60,Canduela,16,,42.83373,-4.188593,Hamlet,
61,Herrera de Duero,16,,41.56388,-4.654119,Village,
62,La Granja,16,,40.902606,-4.007481,Town,
